Date/Time,InteriorLights:Electricity [J](Hourly),Heating:Gas [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),ElectricityNet:Facility [J](Hourly),Pumps:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),ElectricityPurchased:Facility [J](Hourly),Fans:Electricity [J](Hourly),Electricity:HVAC [J](Hourly),ExteriorLights:Electricity [J](Hourly),Gas:Facility [J](Hourly),Electricity:Facility [J](Hourly) 
 01/01  01:00:00,80771321.23,76284403.18,0,533073565.5,3107682240,8373339.757,2096326816,3107682240,216568229.1,749641794.6,153357479.7,86259956.27,3107682240
 01/01  02:00:00,80771321.23,29296411.4,0,523623286.6,3032456251,8321552.167,2096326816,3032456251,150844306.1,674467592.7,153357479.7,39271964.49,3032456251
 01/01  03:00:00,80771321.23,68799107.45,0,520969389.3,3049882387,8365261.867,2096326816,3049882387,170880630.2,691850019.5,153357479.7,78774660.53,3049882387
 01/01  04:00:00,80771321.23,58032880.56,0,520588795.4,3061606638,8352630.507,2096326816,3061606638,182998106.3,703586901.7,153357479.7,68008433.65,3061606638
 01/01  05:00:00,80771321.23,83320159.52,0,520952275.9,3148069109,34359319.57,2096326816,3148069109,198861751.2,718649967.1,197586135.8,93295712.6,3148069109
 01/01  06:00:00,80771321.23,83108860.37,0,518569290,3197770398,8379410.602,2096326816,3197770398,188468623.7,707037913.7,286043448,93084413.46,3197770398
 01/01  07:00:00,80771321.23,73607725.09,0,517805764.8,3478139238,8439400.191,2096326816,3478139238,199131758.2,716937522.9,556452688.2,83583278.18,3478139238
 01/01  08:00:00,77530308.89,32266958.51,0,517254029.2,3412988612,8395016.614,2096326816,3412988612,150672672.1,667926701.3,543598280.6,42242511.6,3412988612
 01/01  09:00:00,71602601.05,23714210.03,0,518264466.7,3306844627,8385860.557,2096326816,3306844627,150766832.6,669031299.3,442286560.9,33689763.12,3306844627
 01/01  10:00:00,69183078.21,18900698.69,0,519984998.9,3173824403,8380687.683,2096326816,3173824403,151136740.6,671121739.6,309600592.6,28876251.78,3173824403
