Date/Time,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),Gas:Facility [J](Hourly),Gas:HVAC [J](Hourly),Pumps:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),Electricity:HVAC [J](Hourly),ElectricityNet:Facility [J](Hourly),ElectricityPurchased:Facility [J](Hourly),Fans:Electricity [J](Hourly) 
 01/01  01:00:00,0,0,4597009.177,0,0,18840654,34480954.32,62009312.35,0,8687704.031,0,62009312.35,62009312.35,0
 01/01  02:00:00,0,0,4597009.177,0,0,18840654,34480954.32,62009312.35,0,8687704.031,0,62009312.35,62009312.35,0
 01/01  03:00:00,0,0,4597009.177,0,0,18840654,34480954.32,62009312.35,0,8687704.031,0,62009312.35,62009312.35,0
 01/01  04:00:00,0,0,4597009.177,0,0,18840654,34480954.32,62009312.35,0,8687704.031,0,62009312.35,62009312.35,0
 01/01  05:00:00,0,0,4597009.177,0,0,18840654,34480954.32,62009312.35,0,8687704.031,0,62009312.35,62009312.35,0
 01/01  06:00:00,0,0,4597009.177,0,0,18840654,34480954.32,62009312.35,0,8687704.031,0,62009312.35,62009312.35,0
 01/01  07:00:00,0,0,4597009.177,0,8652.895022,29158128,41716497.76,78736963.1,0,7853684.444,0,78736963.1,78736963.1,0
 01/01  08:00:00,0,0,4597009.177,0,8652.895022,9719376,41716497.76,59298211.1,0,7853684.444,0,59298211.1,59298211.1,0
 01/01  09:00:00,0,0,4597009.177,0,8652.895022,0,41716497.76,49578835.1,0,7853684.444,0,49578835.1,49578835.1,0
 01/01  10:00:00,0,0,4597009.177,0,8652.895022,0,41716497.76,49578835.1,0,7853684.444,0,49578835.1,49578835.1,0
 01/01  11:00:00,0,0,4597009.177,0,8652.895022,0,41716497.76,49578835.1,0,7853684.444,0,49578835.1,49578835.1,0
 01/01  12:00:00,0,0,4597009.177,0,8652.895022,0,41716497.76,49578835.1,0,7853684.444,0,49578835.1,49578835.1,0
 01/01  13:00:00,11682821.85,0,4597009.177,0,8652.895022,0,41716497.76,67077759.35,0,7853684.444,17498924.25,67077759.35,67077759.35,5816102.396
 01/01  14:00:00,17251142.34,0,4597009.177,0,8652.895022,0,41716497.76,74335244.25,0,7853684.444,24756409.16,74335244.25,74335244.25,7505266.818
 01/01  15:00:00,8896914.467,0,4597009.177,0,8652.895022,0,41716497.76,62493218.18,0,7853684.444,12914383.09,62493218.18,62493218.18,4017468.621
 01/01  16:00:00,5249101.111,0,4597009.177,0,8652.895022,0,41716497.76,57238417.38,0,7853684.444,7659582.284,57238417.38,57238417.38,2410481.173
 01/01  17:00:00,0,0,4597009.177,0,8652.895022,0,41716497.76,49578835.1,0,7853684.444,0,49578835.1,49578835.1,0
 01/01  18:00:00,0,0,4597009.177,0,8652.895022,19438752,41716497.76,69017587.1,0,7853684.444,0,69017587.1,69017587.1,0
 01/01  19:00:00,0,0,4597009.177,0,0,29158128,34480954.32,72326786.35,0,8687704.031,0,72326786.35,72326786.35,0
 01/01  20:00:00,0,0,4597009.177,0,0,29158128,34480954.32,72326786.35,0,8687704.031,0,72326786.35,72326786.35,0
 01/01  21:00:00,0,0,4597009.177,0,0,29158128,34480954.32,72326786.35,0,8687704.031,0,72326786.35,72326786.35,0
 01/01  22:00:00,0,0,4597009.177,0,0,29158128,34480954.32,72326786.35,0,8687704.031,0,72326786.35,72326786.35,0
 01/01  23:00:00,0,0,4597009.177,0,0,29158128,34480954.32,72326786.35,0,8687704.031,0,72326786.35,72326786.35,0
 01/01  24:00:00,0,0,4597009.177,0,0,29158128,34480954.32,72326786.35,0,8687704.031,0,72326786.35,72326786.35,0
 01/02  01:00:00,0,0,4597009.177,0,0,18840654,45974605.75,73502963.78,0,8687704.031,0,73502963.78,73502963.78,0
 01/02  02:00:00,0,0,4597009.177,0,0,18840654,45974605.75,73502963.78,0,8687704.031,0,73502963.78,73502963.78,0
 01/02  03:00:00,0,0,4597009.177,0,0,18840654,45974605.75,73502963.78,0,8687704.031,0,73502963.78,73502963.78,0
 01/02  04:00:00,0,0,4597009.177,0,0,18840654,45974605.75,73502963.78,0,8687704.031,0,73502963.78,73502963.78,0
 01/02  05:00:00,0,0,4597009.177,0,0,18840654,45974605.75,73502963.78,0,8687704.031,0,73502963.78,73502963.78,0
 01/02  06:00:00,0,0,4597009.177,0,0,18840654,45974605.75,633583752.9,482088591,17375408.06,551393085.1,633583752.9,633583752.9,69304494.09
 01/02  07:00:00,0,0,4597009.177,0,8652.895022,29158128,55621997.01,610155779.5,446264905.3,15707368.89,509659632.7,610155779.5,610155779.5,63394727.49
 01/02  08:00:00,0,41045384.08,45642393.25,41045384.08,8652.895022,9719376,96493080.11,563991043.2,366413811.4,47122106.66,410647827.6,563991043.2,563991043.2,44234016.19
 01/02  09:00:00,0,109373774.7,113970783.9,109373774.7,8652.895022,0,205723914.2,522620896.6,159061158.7,141366320,175522009.5,522620896.6,522620896.6,16460850.77
 01/02  10:00:00,0,58437850.78,63034859.96,58437850.78,8652.895022,0,175362538.2,447780103.2,115757136.5,141366320,131042592.1,447780103.2,447780103.2,15285455.62
 01/02  11:00:00,0,16931707.69,21528716.87,16931707.69,8652.895022,0,168356066.8,413404927.3,88501199.7,141366320,103673887.6,413404927.3,413404927.3,15172687.89
 01/02  12:00:00,289245.5063,0,4597009.177,0,8652.895022,0,175362538.2,404255006.6,72055562.08,141366320,87517495.48,404255006.6,404255006.6,15172687.89
 01/02  13:00:00,10320024.32,0,4597009.177,0,8652.895022,0,178973217.5,428159701.1,81752746.01,141366320,107811510.8,428159701.1,428159701.1,15738740.48
 01/02  14:00:00,13507991.25,0,8933574.538,0,8652.895022,0,181201264.4,400130980.6,48485425.09,141366320,77554743.36,400130980.6,400130980.6,15561327.01
 01/02  15:00:00,14994664.48,0,8779102.354,0,8652.895022,0,168356066.8,376634585.1,35900692.32,141366320,66903545.33,376634585.1,376634585.1,16008188.53
