Date/Time,ElectricityNet:Facility [J](Hourly),Heating:Electricity [J](Hourly),Heating:Gas [J](Hourly),Fans:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),WaterSystems:Electricity [J](Hourly),ElectricityPurchased:Facility [J](Hourly),ExteriorLights:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Electricity:HVAC [J](Hourly),Gas:Facility [J](Hourly),Gas:HVAC [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Electricity:Facility [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Cooling:Electricity [J](Hourly) 
 01/01  01:00:00,10918221.36,900000,0,0,3208796.996,2055596.969,10918221.36,2258096.4,0,900000,0,0,2495730.997,10918221.36,2055596.969,0
 01/01  02:00:00,10918221.36,900000,0,0,3208796.996,2055596.969,10918221.36,2258096.4,0,900000,0,0,2495730.997,10918221.36,2055596.969,0
 01/01  03:00:00,10918221.36,900000,0,0,3208796.996,2055596.969,10918221.36,2258096.4,0,900000,0,0,2495730.997,10918221.36,2055596.969,0
 01/01  04:00:00,10918221.36,900000,0,0,3208796.996,2055596.969,10918221.36,2258096.4,0,900000,0,0,2495730.997,10918221.36,2055596.969,0
 01/01  05:00:00,10918221.36,900000,0,0,3208796.996,2055596.969,10918221.36,2258096.4,0,900000,0,0,2495730.997,10918221.36,2055596.969,0
 01/01  06:00:00,10918221.36,900000,0,0,3208796.996,2055596.969,10918221.36,2258096.4,0,900000,0,0,2495730.997,10918221.36,2055596.969,0
 01/01  07:00:00,12031920.96,900000,0,0,3208796.996,2055596.969,12031920.96,3371796,0,900000,0,0,2495730.997,12031920.96,2055596.969,0
 01/01  08:00:00,10302921.68,900000,0,0,3165695.71,2055596.969,10302921.68,1685898,0,900000,0,0,2495730.997,10302921.68,2055596.969,0
 01/01  09:00:00,8349989.393,900000,0,0,2898661.426,2055596.969,8349989.393,0,0,900000,0,0,2495730.997,8349989.393,2055596.969,0
 01/01  10:00:00,8215530.115,900000,0,0,2764202.149,2055596.969,8215530.115,0,0,900000,0,0,2495730.997,8215530.115,2055596.969,0
 01/01  11:00:00,8209903.629,900000,0,0,2758575.663,2055596.969,8209903.629,0,0,900000,0,0,2495730.997,8209903.629,2055596.969,0
 01/01  12:00:00,8280168.88,900000,0,0,2828840.914,2055596.969,8280168.88,0,0,900000,0,0,2495730.997,8280168.88,2055596.969,0
 01/01  13:00:00,8148906.281,750000,0,0,2847578.314,2055596.969,8148906.281,0,0,750000,0,0,2495730.997,8148906.281,2055596.969,0
 01/01  14:00:00,7338009.73,0,0,0,2786681.763,2055596.969,7338009.73,0,0,0,0,0,2495730.997,7338009.73,2055596.969,0
 01/01  15:00:00,7317636.756,0,0,0,2766308.79,2055596.969,7317636.756,0,0,0,0,0,2495730.997,7317636.756,2055596.969,0
 01/01  16:00:00,7459358.093,0,0,0,2908030.126,2055596.969,7459358.093,0,0,0,0,0,2495730.997,7459358.093,2055596.969,0
 01/01  17:00:00,9746111.094,900000,0,0,3170851.128,2055596.969,9746111.094,1123932,0,900000,0,0,2495730.997,9746111.094,2055596.969,0
 01/01  18:00:00,12031920.96,900000,0,0,3208796.996,2055596.969,12031920.96,3371796,0,900000,0,0,2495730.997,12031920.96,2055596.969,0
