Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Monthly),Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE1 OFFICE ZN:Zone Air Temperature [C](Hourly),ZONE1 OFFICE ZN:Zone Air Relative Humidity [%](Hourly),ZONE2 FINE STORAGE ZN:Zone Air Temperature [C](Hourly),ZONE2 FINE STORAGE ZN:Zone Air Relative Humidity [%](Hourly),ZONE3 BULK STORAGE ZN:Zone Air Temperature [C](Hourly),ZONE3 BULK STORAGE ZN:Zone Air Relative Humidity [%](Hourly),Electricity:Facility [J](TimeStep),Gas:Facility [J](TimeStep) 
 01/01  00:15:00,,-1.2749999999999997,,,,,,,10004511.314636462,33889659.68783598 
 01/01  00:30:00,,0.25,,,,,,,10298544.009810375,39666358.89609153 
 01/01  00:45:00,,1.7749999999999997,,,,,,,10298544.009810375,38168880.53063292 
 01/01  01:00:00,,3.3,15.510240203556254,27.59244004872335,15.523163209852754,28.299079968815638,10.064965251074977,43.97190501241283,10298544.009810375,35448315.185278128 
 01/01  01:15:00,,3.0249999999999996,,,,,,,8185158.006596316,0.0 
 01/01  01:30:00,,2.75,,,,,,,10338853.801580282,32216147.728923367 
 01/01  01:45:00,,2.475,,,,,,,10298544.009810375,25388036.879918688 
 01/01  02:00:00,,2.2,15.385636333224398,30.180932712388285,15.122164497642583,31.521305957936396,10.18061600771187,44.40943631979654,10298544.009810375,37737001.72608356 
 01/01  02:15:00,,1.9250000000000003,,,,,,,10298544.009810375,35685982.314299549 
 01/01  02:30:00,,1.6500000000000002,,,,,,,8185158.006596316,0.0 
 01/01  02:45:00,,1.375,,,,,,,10333274.705943402,33379398.77690888 
 01/01  03:00:00,,1.1,15.379452961133096,32.44186056302952,15.09917157314589,33.74687809806856,10.165940121341162,45.65959624263145,10298544.009810375,27844203.40299422 
 01/01  03:15:00,,1.1,,,,,,,10298544.009810375,39765879.58902572 
 01/01  03:30:00,,1.1,,,,,,,10298544.009810375,37286488.65815389 
 01/01  03:45:00,,1.1,,,,,,,8185158.006596316,0.0 
 01/01  04:00:00,,1.1,15.373147265683564,33.53643038316304,15.090570932779276,34.75087340246059,10.082457615453308,46.60097078307764,10334262.509543434,32956010.578657748 
 01/01  04:15:00,,1.25,,,,,,,10298544.009810375,27712924.044461717 
 01/01  04:30:00,,1.4,,,,,,,10298544.009810375,40311031.393231678 
 01/01  04:45:00,,1.5499999999999999,,,,,,,10298544.009810375,38225372.65379299 
 01/01  05:00:00,,1.7,15.358994244468996,34.32150605813943,15.109797619860786,35.377732302844567,10.044543380085685,47.290614875043889,8185158.006596316,0.0 
