Ten West 66th Street Corp.
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
11/18/2005,  00:00:00,       62.73,      162.75,        0.00,        3.00
11/18/2005,  01:00:00,      118.00,      122.63,        3.00,        3.00
11/18/2005,  02:00:00,      120.00,      143.61,        3.00,        3.00
11/18/2005,  03:00:00,      115.00,      116.85,        3.00,        3.00
11/18/2005,  04:00:00,      114.00,      119.83,        3.00,        3.00
11/18/2005,  05:00:00,      121.00,      140.06,        3.00,        3.00
11/18/2005,  06:00:00,      146.00,      168.08,        3.00,        3.00
11/18/2005,  07:00:00,      195.00,      235.19,        3.00,        3.00
11/18/2005,  08:00:00,      218.00,      259.42,        3.00,        3.00
11/18/2005,  09:00:00,      198.00,      199.93,        3.00,        3.00
11/18/2005,  10:00:00,      191.00,      183.05,        3.00,        3.00
11/18/2005,  11:00:00,      175.00,      186.91,        3.00,        3.00
11/18/2005,  12:00:00,      166.00,      170.05,        3.00,        3.00
11/18/2005,  13:00:00,      161.00,      162.59,        3.00,        3.00
11/18/2005,  14:00:00,      167.00,      174.72,        3.00,        3.00
11/18/2005,  15:00:00,      174.00,      181.09,        3.00,        3.00
11/18/2005,  16:00:00,      186.00,      191.26,        3.00,        3.00
11/18/2005,  17:00:00,      214.00,      227.18,        3.00,        3.00
11/18/2005,  18:00:00,      223.00,      254.59,        3.00,        3.00
11/18/2005,  19:00:00,      239.00,      235.10,        3.00,        3.00
11/18/2005,  20:00:00,      220.00,      237.41,        3.00,        3.00
11/18/2005,  21:00:00,      197.00,      210.94,        3.00,        3.00
11/18/2005,  22:00:00,      184.00,      188.77,        3.00,        3.00
11/18/2005,  23:00:00,      176.00,      188.15,        3.00,        3.00
11/19/2005,  00:00:00,      151.00,      159.06,        3.00,        3.00
11/19/2005,  01:00:00,      138.00,      147.83,        3.00,        3.00
11/19/2005,  02:00:00,      132.00,      157.86,        3.00,        3.00
11/19/2005,  03:00:00,      128.00,      134.14,        3.00,        3.00
11/19/2005,  04:00:00,      132.00,      147.91,        3.00,        3.00
11/19/2005,  05:00:00,      130.00,      138.92,        3.00,        3.00
11/19/2005,  06:00:00,      140.00,      150.08,        3.00,        3.00
11/19/2005,  07:00:00,      173.00,      199.58,        3.00,        3.00
11/19/2005,  08:00:00,      201.00,      231.44,        3.00,        3.00
11/19/2005,  09:00:00,      222.00,      240.55,        3.00,        3.00
11/19/2005,  10:00:00,      207.00,      213.18,        3.00,        3.00
11/19/2005,  11:00:00,      192.00,      213.82,        3.00,        3.00
11/19/2005,  12:00:00,      184.00,      201.97,        3.00,        3.00
11/19/2005,  13:00:00,      173.00,      183.24,        3.00,        3.00
11/19/2005,  14:00:00,      172.00,      179.61,        3.00,        3.00
11/19/2005,  15:00:00,      180.00,      201.49,        3.00,        3.00
