205 West End Ave
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
04/01/2016,  08:00:00,       24.02,      247.00,        0.00,        3.00
04/01/2016,  09:00:00,      326.10,      374.00,        0.00,        3.00
04/01/2016,  10:00:00,      342.85,      387.20,        3.00,        3.00
04/01/2016,  11:00:00,      332.00,      368.10,        3.00,        3.00
04/01/2016,  12:00:00,      286.30,      364.10,        3.00,        3.00
04/01/2016,  13:00:00,      201.58,      337.00,        0.00,        3.00
04/01/2016,  14:00:00,      219.28,      354.00,        0.00,        3.00
04/01/2016,  15:00:00,       37.23,      347.00,        0.00,        3.00
04/01/2016,  16:00:00,        0.00,        0.00,        0.00,        3.00
04/01/2016,  17:00:00,        0.00,        0.00,        0.00,        3.00
04/01/2016,  18:00:00,        0.00,        0.00,        0.00,        3.00
04/01/2016,  19:00:00,        0.00,        0.00,        0.00,        3.00
04/01/2016,  20:00:00,        0.00,        0.00,        0.00,        3.00
04/01/2016,  21:00:00,        0.00,        0.00,        0.00,        3.00
04/01/2016,  22:00:00,        0.00,        0.00,        0.00,        3.00
04/01/2016,  23:00:00,        0.00,        0.00,        0.00,        3.00
04/02/2016,  00:00:00,        0.00,        0.00,        0.00,        3.00
04/02/2016,  01:00:00,        0.00,        0.00,        0.00,        3.00
04/02/2016,  02:00:00,        0.00,        0.00,        0.00,        3.00
04/02/2016,  03:00:00,        0.00,        0.00,        0.00,        3.00
04/02/2016,  04:00:00,        0.00,        0.00,        0.00,        3.00
04/02/2016,  05:00:00,        0.00,        0.00,        0.00,        3.00
04/02/2016,  06:00:00,        0.00,        0.00,        0.00,        3.00
04/02/2016,  07:00:00,        0.00,        0.00,        0.00,        3.00
04/02/2016,  08:00:00,        0.00,        0.00,        0.00,        3.00
04/02/2016,  09:00:00,        0.00,        0.00,        0.00,        3.00
04/02/2016,  10:00:00,        0.00,        0.00,        0.00,        3.00
04/02/2016,  11:00:00,        0.00,        0.00,        0.00,        3.00
04/02/2016,  12:00:00,        0.00,        0.00,        0.00,        3.00
04/02/2016,  13:00:00,        0.00,        0.00,        0.00,        3.00
04/02/2016,  14:00:00,        0.00,        0.00,        0.00,        3.00
04/02/2016,  15:00:00,        0.00,        0.00,        0.00,        3.00
04/02/2016,  16:00:00,        0.00,        0.00,        0.00,        3.00
04/02/2016,  17:00:00,        0.00,        0.00,        0.00,        3.00
04/02/2016,  18:00:00,        0.00,        0.00,        0.00,        3.00
04/02/2016,  19:00:00,        0.00,        0.00,        0.00,        3.00
04/02/2016,  20:00:00,        0.00,        0.00,        0.00,        3.00
04/02/2016,  21:00:00,        0.00,        0.00,        0.00,        3.00
04/02/2016,  22:00:00,        0.00,        0.00,        0.00,        3.00
04/02/2016,  23:00:00,        0.00,        0.00,        0.00,        3.00
