300 Central Park West 
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
03/22/2017,  00:00:00,        0.00,        0.45,        3.00,        3.00
03/22/2017,  01:00:00,        0.00,        0.60,        3.00,        3.00
03/22/2017,  02:00:00,        0.00,        0.67,        3.00,        3.00
03/22/2017,  03:00:00,        0.00,        0.52,        3.00,        3.00
03/22/2017,  04:00:00,        0.00,        0.53,        3.00,        3.00
03/22/2017,  05:00:00,        0.00,        0.52,        3.00,        3.00
03/22/2017,  06:00:00,        0.00,        0.61,        3.00,        3.00
03/22/2017,  07:00:00,        0.00,        0.34,        3.00,        3.00
03/22/2017,  08:00:00,        0.00,        0.33,        3.00,        3.00
03/22/2017,  09:00:00,        0.00,        0.23,        3.00,        3.00
03/22/2017,  10:00:00,        0.00,        0.29,        3.00,        3.00
03/22/2017,  11:00:00,       38.03,       70.47,        3.00,        3.00
03/22/2017,  12:00:00,       30.51,       69.51,        3.00,        3.00
03/22/2017,  13:00:00,        1.16,       25.54,        3.00,        3.00
03/22/2017,  14:00:00,       48.81,       69.82,        3.00,        3.00
03/22/2017,  15:00:00,       65.32,       69.90,        3.00,        3.00
03/22/2017,  16:00:00,       32.15,       69.74,        3.00,        3.00
03/22/2017,  17:00:00,       36.82,       69.89,        3.00,        3.00
03/22/2017,  18:00:00,       62.54,       69.39,        3.00,        3.00
03/22/2017,  19:00:00,       64.25,       69.56,        3.00,        3.00
03/22/2017,  20:00:00,       61.72,       68.04,        3.00,        3.00
03/22/2017,  21:00:00,       61.14,       69.78,        3.00,        3.00
03/22/2017,  22:00:00,       65.05,       70.05,        3.00,        3.00
03/22/2017,  23:00:00,       62.91,       68.09,        3.00,        3.00
03/23/2017,  00:00:00,       63.70,       69.56,        3.00,        3.00
03/23/2017,  01:00:00,       64.47,       66.19,        3.00,        3.00
03/23/2017,  02:00:00,       64.38,       65.84,        3.00,        3.00
03/23/2017,  03:00:00,       66.39,       69.61,        3.00,        3.00
03/23/2017,  04:00:00,       67.35,       69.75,        3.00,        3.00
03/23/2017,  05:00:00,       66.64,       69.78,        3.00,        3.00
03/23/2017,  06:00:00,       68.99,       70.08,        3.00,        3.00
03/23/2017,  07:00:00,       66.84,       70.00,        3.00,        3.00
03/23/2017,  08:00:00,       67.23,       69.93,        3.00,        3.00
03/23/2017,  09:00:00,       67.29,       69.65,        3.00,        3.00
03/23/2017,  10:00:00,       64.95,       69.72,        3.00,        3.00
03/23/2017,  11:00:00,       68.41,       70.00,        3.00,        3.00
03/23/2017,  12:00:00,       66.07,       69.84,        3.00,        3.00
03/23/2017,  13:00:00,       68.78,       69.90,        3.00,        3.00
03/23/2017,  14:00:00,       61.93,       69.56,        3.00,        3.00
03/23/2017,  15:00:00,       62.69,       69.62,        3.00,        3.00
