4C Foods New
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
05/20/2017,  00:00:00,       88.00,       95.62,        0.00,        0.00
05/20/2017,  01:00:00,       96.00,       99.11,        0.00,        0.00
05/20/2017,  02:00:00,       84.00,       94.89,        0.00,        0.00
05/20/2017,  03:00:00,       91.00,       92.59,        0.00,        0.00
05/20/2017,  04:00:00,       76.00,       92.88,        0.00,        0.00
05/20/2017,  05:00:00,       57.00,       63.72,        0.00,        0.00
05/20/2017,  06:00:00,       46.00,       57.89,        0.00,        0.00
05/20/2017,  07:00:00,       38.00,       38.96,        0.00,        0.00
05/20/2017,  08:00:00,       35.00,       38.44,        0.00,        0.00
05/20/2017,  09:00:00,       50.00,       50.93,        0.00,        0.00
05/20/2017,  10:00:00,       49.00,       49.56,        0.00,        0.00
05/20/2017,  11:00:00,       50.00,       51.56,        0.00,        0.00
05/20/2017,  12:00:00,       50.00,       51.66,        0.00,        0.00
05/20/2017,  13:00:00,       32.00,       51.66,        0.00,        0.00
05/20/2017,  14:00:00,       28.00,       33.12,        0.00,        0.00
05/20/2017,  15:00:00,       24.00,       27.53,        0.00,        0.00
05/20/2017,  16:00:00,       23.00,       24.36,        0.00,        0.00
05/20/2017,  17:00:00,       24.00,       25.08,        0.00,        0.00
05/20/2017,  18:00:00,       23.00,       25.08,        0.00,        0.00
05/20/2017,  19:00:00,       21.00,       22.57,        0.00,        0.00
05/20/2017,  20:00:00,       22.00,       22.57,        0.00,        0.00
05/20/2017,  21:00:00,       20.00,       22.27,        0.00,        0.00
05/20/2017,  22:00:00,       22.00,       22.22,        0.00,        0.00
05/20/2017,  23:00:00,       21.00,       21.66,        0.00,        0.00
05/21/2017,  00:00:00,       21.00,       21.38,        0.00,        0.00
05/21/2017,  01:00:00,       20.00,       20.89,        0.00,        0.00
05/21/2017,  02:00:00,       20.00,       20.64,        0.00,        0.00
05/21/2017,  03:00:00,       21.00,       22.42,        0.00,        0.00
05/21/2017,  04:00:00,       21.00,       22.42,        0.00,        0.00
05/21/2017,  05:00:00,       21.00,       21.50,        0.00,        0.00
05/21/2017,  06:00:00,       21.00,       21.62,        0.00,        0.00
05/21/2017,  07:00:00,       22.00,       21.53,        0.00,        0.00
05/21/2017,  08:00:00,       21.00,       22.01,        0.00,        0.00
05/21/2017,  09:00:00,       22.00,       22.83,        0.00,        0.00
05/21/2017,  10:00:00,       22.00,       23.65,        0.00,        0.00
05/21/2017,  11:00:00,       22.00,       23.65,        0.00,        0.00
05/21/2017,  12:00:00,       23.00,       23.54,        0.00,        0.00
05/21/2017,  13:00:00,       23.00,       23.45,        0.00,        0.00
05/21/2017,  14:00:00,       24.00,       24.50,        0.00,        0.00
05/21/2017,  15:00:00,       23.00,       24.34,        0.00,        0.00
