Adelphi University
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
09/10/2016,  00:00:00,        0.00,        0.00,        0.00,        0.00
09/10/2016,  01:00:00,        0.00,        0.00,        0.00,        0.00
09/10/2016,  02:00:00,        0.00,        0.00,        0.00,        0.00
09/10/2016,  03:00:00,        0.00,        0.00,        0.00,        0.00
09/10/2016,  04:00:00,        0.00,        0.00,        0.00,        0.00
09/10/2016,  05:00:00,        0.00,        0.00,        0.00,        0.00
09/10/2016,  06:00:00,      636.16,     1944.81,        0.00,        0.00
09/10/2016,  07:00:00,     1909.71,     1952.93,        0.00,        0.00
09/10/2016,  08:00:00,     1909.72,     1952.03,        0.00,        0.00
09/10/2016,  09:00:00,     1905.15,     1957.40,        0.00,        0.00
09/10/2016,  10:00:00,     1912.52,     1961.33,        0.00,        0.00
09/10/2016,  11:00:00,     1879.46,     1964.88,        0.00,        0.00
09/10/2016,  12:00:00,     1869.85,     1928.81,        0.00,        0.00
09/10/2016,  13:00:00,     1864.72,     1912.10,        0.00,        0.00
09/10/2016,  14:00:00,     1861.73,     1922.00,        0.00,        0.00
09/10/2016,  15:00:00,     1866.52,     1896.22,        0.00,        0.00
09/10/2016,  16:00:00,     1866.89,     1912.85,        0.00,        0.00
09/10/2016,  17:00:00,     1870.86,     1902.32,        0.00,        0.00
09/10/2016,  18:00:00,     1880.38,     1932.86,        0.00,        0.00
09/10/2016,  19:00:00,     1904.30,     1960.67,        0.00,        0.00
09/10/2016,  20:00:00,     1902.67,     1960.26,        0.00,        0.00
09/10/2016,  21:00:00,     1900.29,     1945.18,        0.00,        0.00
09/10/2016,  22:00:00,     1899.49,     1949.30,        0.00,        0.00
09/10/2016,  23:00:00,     1895.71,     1955.63,        0.00,        0.00
09/11/2016,  00:00:00,     1890.62,     1934.46,        0.00,        0.00
09/11/2016,  01:00:00,     1885.81,     1928.91,        0.00,        0.00
09/11/2016,  02:00:00,     1881.86,     1911.81,        0.00,        0.00
09/11/2016,  03:00:00,     1878.78,     1938.71,        0.00,        0.00
09/11/2016,  04:00:00,     1883.44,     1932.78,        0.00,        0.00
09/11/2016,  05:00:00,     1900.50,     1942.76,        0.00,        0.00
09/11/2016,  06:00:00,     1913.74,     1959.85,        0.00,        0.00
09/11/2016,  07:00:00,     1907.69,     1950.86,        0.00,        0.00
09/11/2016,  08:00:00,     1907.03,     1945.90,        0.00,        0.00
09/11/2016,  09:00:00,     1891.92,     1936.85,        0.00,        0.00
09/11/2016,  10:00:00,     1890.17,     1932.28,        0.00,        0.00
09/11/2016,  11:00:00,     1891.48,     1940.40,        0.00,        0.00
09/11/2016,  12:00:00,     1899.45,     1947.19,        0.00,        0.00
09/11/2016,  13:00:00,     1906.39,     1951.91,        0.00,        0.00
