Albany County Sewer District North Plant
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
05/01/2013,  09:00:00,      351.97,      712.55,        3.00,        3.00
05/01/2013,  10:00:00,      521.77,      584.61,        3.00,        3.00
05/01/2013,  11:00:00,      614.72,      641.68,        3.00,        3.00
05/01/2013,  12:00:00,      636.02,      669.48,        3.00,        3.00
05/01/2013,  13:00:00,      629.26,      668.79,        3.00,        3.00
05/01/2013,  14:00:00,      608.60,      638.90,        3.00,        3.00
05/01/2013,  15:00:00,      545.95,      570.31,        3.00,        3.00
05/01/2013,  16:00:00,      604.98,      643.23,        3.00,        3.00
05/01/2013,  17:00:00,      592.60,      652.69,        3.00,        3.00
05/01/2013,  18:00:00,      531.65,      563.93,        3.00,        3.00
05/01/2013,  19:00:00,      522.90,      553.44,        3.00,        3.00
05/01/2013,  20:00:00,      615.64,      640.49,        3.00,        3.00
05/01/2013,  21:00:00,      589.88,      615.40,        3.00,        3.00
05/01/2013,  22:00:00,      551.72,      570.01,        3.00,        3.00
05/01/2013,  23:00:00,      579.77,      586.27,        3.00,        3.00
05/02/2013,  00:00:00,      575.19,      581.14,        3.00,        3.00
05/02/2013,  01:00:00,      620.71,      641.24,        3.00,        3.00
05/02/2013,  02:00:00,      383.44,      483.90,        3.00,        3.00
05/02/2013,  03:00:00,      350.03,      356.30,        3.00,        3.00
05/02/2013,  04:00:00,      282.64,      340.48,        3.00,        3.00
05/02/2013,  05:00:00,      240.19,      261.56,        3.00,        3.00
05/02/2013,  06:00:00,      244.02,      275.94,        3.00,        3.00
05/02/2013,  07:00:00,      291.97,      304.40,        3.00,        3.00
05/02/2013,  08:00:00,      375.09,      419.58,        3.00,        3.00
05/02/2013,  09:00:00,      412.24,      471.30,        3.00,        3.00
05/02/2013,  10:00:00,      352.43,      445.80,        3.00,        3.00
05/02/2013,  11:00:00,      319.38,      322.40,        3.00,        3.00
05/02/2013,  12:00:00,      264.46,      317.66,        3.00,        3.00
05/02/2013,  13:00:00,      261.34,      287.90,        3.00,        3.00
05/02/2013,  14:00:00,      315.71,      362.50,        3.00,        3.00
05/02/2013,  15:00:00,      249.54,      251.86,        3.00,        3.00
05/02/2013,  16:00:00,      248.28,      249.64,        3.00,        3.00
05/02/2013,  17:00:00,      238.16,      246.98,        3.00,        3.00
05/02/2013,  18:00:00,      240.46,      244.91,        3.00,        3.00
05/02/2013,  19:00:00,      241.70,      245.98,        3.00,        3.00
05/02/2013,  20:00:00,      251.74,      254.53,        3.00,        3.00
05/02/2013,  21:00:00,      235.52,      248.84,        3.00,        3.00
05/02/2013,  22:00:00,      222.94,      225.46,        3.00,        3.00
05/02/2013,  23:00:00,      222.96,      224.88,        3.00,        3.00
05/03/2013,  00:00:00,      230.56,      237.76,        3.00,        3.00
