Albany Medical Center
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
04/01/2013,  00:00:00,        0.00,        0.00,        0.00,        0.00
04/01/2013,  01:00:00,        0.79,        5.67,        0.00,        0.00
04/01/2013,  02:00:00,       11.33,       20.99,        0.00,        0.00
04/01/2013,  03:00:00,       47.85,       49.42,        0.00,        0.00
04/01/2013,  04:00:00,       61.74,       69.32,        0.00,        0.00
04/01/2013,  05:00:00,       74.75,       78.29,        0.00,        0.00
04/01/2013,  06:00:00,        0.00,       40.06,        0.00,        0.00
04/01/2013,  07:00:00,     2960.67,     4414.02,        0.00,        0.00
04/01/2013,  08:00:00,     4445.90,     4456.32,        0.00,        0.00
04/01/2013,  09:00:00,     4453.51,     4459.13,        0.00,        0.00
04/01/2013,  10:00:00,     4392.14,     4432.87,        0.00,        0.00
04/01/2013,  11:00:00,     4260.90,     4314.56,        0.00,        0.00
04/01/2013,  12:00:00,     4347.73,     4384.41,        0.00,        0.00
04/01/2013,  13:00:00,     4390.81,     4434.35,        0.00,        0.00
04/01/2013,  14:00:00,     4460.39,     4465.63,        0.00,        0.00
04/01/2013,  15:00:00,     4457.24,     4476.46,        0.00,        0.00
04/01/2013,  16:00:00,     4439.84,     4472.72,        0.00,        0.00
04/01/2013,  17:00:00,     4447.05,     4470.01,        0.00,        0.00
04/01/2013,  18:00:00,     4372.47,     4472.77,        0.00,        0.00
04/01/2013,  19:00:00,     4317.73,     4346.08,        0.00,        0.00
04/01/2013,  20:00:00,     4239.37,     4305.00,        0.00,        0.00
04/01/2013,  21:00:00,     3902.03,     3919.46,        0.00,        0.00
04/01/2013,  22:00:00,     2398.31,     3879.27,        0.00,        0.00
04/01/2013,  23:00:00,        0.00,        0.00,        0.00,        0.00
04/02/2013,  00:00:00,     1467.27,     3657.99,        0.00,        0.00
04/02/2013,  01:00:00,     3634.47,     3662.51,        0.00,        0.00
04/02/2013,  02:00:00,     3616.60,     3633.73,        0.00,        0.00
04/02/2013,  03:00:00,     3630.51,     3649.63,        0.00,        0.00
04/02/2013,  04:00:00,     3621.42,     3629.53,        0.00,        0.00
04/02/2013,  05:00:00,     3662.32,     3693.90,        0.00,        0.00
04/02/2013,  06:00:00,     3811.60,     3882.65,        0.00,        0.00
04/02/2013,  07:00:00,     4054.89,     4173.53,        0.00,        0.00
04/02/2013,  08:00:00,     4355.80,     4388.75,        0.00,        0.00
04/02/2013,  09:00:00,     4428.62,     4481.30,        0.00,        0.00
04/02/2013,  10:00:00,     4470.14,     4479.07,        0.00,        0.00
04/02/2013,  16:00:00,     2164.01,     4358.39,        0.00,        0.00
04/02/2013,  17:00:00,     4304.43,     4347.91,        0.00,        0.00
04/02/2013,  18:00:00,     4398.46,     4407.79,        0.00,        0.00
