Allied Frozen Storage
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
01/15/2009,  00:00:00,        0.00,        0.00,        3.00,        3.00
01/15/2009,  01:00:00,        0.00,        0.00,        3.00,        3.00
01/15/2009,  02:00:00,        0.00,        0.00,        3.00,        3.00
01/15/2009,  03:00:00,        0.00,        0.00,        3.00,        3.00
01/15/2009,  04:00:00,        0.00,        0.00,        3.00,        3.00
01/15/2009,  05:00:00,        0.00,        0.00,        3.00,        3.00
01/15/2009,  06:00:00,        0.00,        0.00,        3.00,        3.00
01/15/2009,  07:00:00,      102.98,      411.93,        3.00,        3.00
01/15/2009,  08:00:00,     1329.05,     1331.67,        3.00,        3.00
01/15/2009,  09:00:00,     1327.54,     1330.20,        3.00,        3.00
01/15/2009,  10:00:00,     1328.04,     1331.13,        3.00,        3.00
01/15/2009,  11:00:00,     1327.96,     1332.03,        3.00,        3.00
01/15/2009,  12:00:00,     1325.10,     1328.27,        3.00,        3.00
01/15/2009,  13:00:00,     1323.48,     1324.57,        3.00,        3.00
01/15/2009,  14:00:00,     1323.69,     1324.23,        3.00,        3.00
01/15/2009,  15:00:00,     1345.92,     1379.23,        3.00,        3.00
01/15/2009,  16:00:00,     1377.61,     1378.83,        3.00,        3.00
01/15/2009,  17:00:00,     1379.80,     1382.13,        3.00,        3.00
01/15/2009,  18:00:00,     1377.14,     1377.60,        3.00,        3.00
01/15/2009,  19:00:00,     1377.61,     1379.37,        3.00,        3.00
01/15/2009,  20:00:00,     1378.17,     1381.53,        3.00,        3.00
01/15/2009,  21:00:00,     1378.72,     1381.27,        3.00,        3.00
01/15/2009,  22:00:00,      128.10,      512.40,        3.00,        3.00
01/15/2009,  23:00:00,        0.00,        0.00,        3.00,        3.00
01/16/2009,  00:00:00,      852.73,      871.73,        3.00,        3.00
01/16/2009,  01:00:00,      801.78,      823.63,        3.00,        3.00
01/16/2009,  02:00:00,      772.92,      795.03,        3.00,        3.00
01/16/2009,  03:00:00,      746.81,      765.60,        3.00,        3.00
01/16/2009,  04:00:00,      758.25,      798.50,        3.00,        3.00
01/16/2009,  05:00:00,      704.78,      734.53,        3.00,        3.00
01/16/2009,  06:00:00,      996.53,     1103.40,        3.00,        3.00
01/16/2009,  07:00:00,     1621.04,     3209.20,        3.00,        3.00
01/16/2009,  08:00:00,    11390.32,    11393.87,        1.00,        1.00
01/16/2009,  09:00:00,     9994.76,    11392.17,        1.00,        1.00
01/16/2009,  10:00:00,     1501.20,     1508.97,        3.00,        3.00
01/16/2009,  11:00:00,     1485.91,     1521.73,        3.00,        3.00
01/16/2009,  12:00:00,     1488.19,     1501.50,        3.00,        3.00
01/16/2009,  13:00:00,     1490.36,     1509.83,        3.00,        3.00
01/16/2009,  14:00:00,     1466.65,     1493.34,        3.00,        3.00
