Archstone - Chelsea
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
01/11/2012,  16:00:00,       17.25,        0.56,        0.00,        0.00
01/11/2012,  17:00:00,       22.50,        0.79,        0.00,        0.00
01/11/2012,  18:00:00,       23.00,        0.65,        0.00,        0.00
01/11/2012,  19:00:00,       22.00,        0.65,        0.00,        0.00
01/11/2012,  20:00:00,       18.75,        0.56,        0.00,        0.00
01/11/2012,  21:00:00,       19.50,        0.71,        0.00,        0.00
01/11/2012,  22:00:00,       15.75,        0.68,        0.00,        0.00
01/11/2012,  23:00:00,       47.50,        1.07,        0.00,        0.00
01/12/2012,  00:00:00,       49.25,        1.07,        0.00,        0.00
01/12/2012,  01:00:00,       47.75,        0.94,        0.00,        0.00
01/12/2012,  02:00:00,       48.50,        1.00,        0.00,        0.00
01/12/2012,  03:00:00,       47.00,        0.94,        0.00,        0.00
01/12/2012,  04:00:00,       35.25,        0.88,        0.00,        0.00
01/12/2012,  05:00:00,       18.50,        0.52,        0.00,        0.00
01/12/2012,  06:00:00,       16.25,        0.50,        0.00,        0.00
01/12/2012,  07:00:00,       19.25,        1.07,        0.00,        0.00
01/12/2012,  08:00:00,       18.75,        0.60,        0.00,        0.00
01/12/2012,  09:00:00,       22.50,        0.83,        0.00,        0.00
01/12/2012,  10:00:00,       22.25,        0.75,        0.00,        0.00
01/12/2012,  11:00:00,       23.50,        0.88,        0.00,        0.00
01/12/2012,  12:00:00,       24.75,        0.75,        0.00,        0.00
01/12/2012,  13:00:00,       20.50,        0.68,        0.00,        0.00
01/12/2012,  14:00:00,       22.25,        0.71,        0.00,        0.00
01/12/2012,  15:00:00,       19.00,        0.54,        0.00,        0.00
01/12/2012,  16:00:00,       22.25,        0.71,        0.00,        0.00
01/12/2012,  17:00:00,       22.25,        0.94,        0.00,        0.00
01/12/2012,  18:00:00,       21.25,        0.58,        0.00,        0.00
01/12/2012,  19:00:00,       19.75,        0.62,        0.00,        0.00
01/12/2012,  20:00:00,       20.50,        0.62,        0.00,        0.00
01/12/2012,  21:00:00,       20.00,        0.62,        0.00,        0.00
01/12/2012,  22:00:00,       17.75,        0.56,        0.00,        0.00
01/12/2012,  23:00:00,       48.75,        1.07,        0.00,        0.00
01/13/2012,  00:00:00,       49.75,        1.16,        0.00,        0.00
01/13/2012,  01:00:00,       48.50,        1.15,        0.00,        0.00
01/13/2012,  02:00:00,       47.50,        0.88,        0.00,        0.00
01/13/2012,  03:00:00,       48.25,        1.07,        0.00,        0.00
01/13/2012,  04:00:00,       35.25,        0.88,        0.00,        0.00
01/13/2012,  05:00:00,       17.50,        0.56,        0.00,        0.00
01/13/2012,  06:00:00,       17.75,        0.58,        0.00,        0.00
01/13/2012,  07:00:00,       18.75,        0.65,        0.00,        0.00
