Archstone - Midtown
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
01/12/2012,  10:00:00,       41.00,       94.79,        0.00,        0.00
01/12/2012,  11:00:00,       63.50,       90.09,        0.00,        0.00
01/12/2012,  12:00:00,       65.50,       90.00,        0.00,        0.00
01/12/2012,  13:00:00,       66.50,       90.05,        0.00,        0.00
01/12/2012,  14:00:00,       82.00,      150.12,        0.00,        0.00
01/12/2012,  15:00:00,       70.50,      120.08,        0.00,        0.00
01/12/2012,  16:00:00,       66.50,       90.05,        0.00,        0.00
01/12/2012,  17:00:00,       69.00,       90.05,        0.00,        0.00
01/12/2012,  18:00:00,       72.00,       94.74,        0.00,        0.00
01/12/2012,  19:00:00,       71.00,       94.79,        0.00,        0.00
01/12/2012,  20:00:00,       72.50,       94.79,        0.00,        0.00
01/12/2012,  21:00:00,       69.00,       94.79,        0.00,        0.00
01/12/2012,  22:00:00,       67.00,       90.05,        0.00,        0.00
01/12/2012,  23:00:00,       70.50,      100.11,        0.00,        0.00
01/13/2012,  00:00:00,       88.50,      112.57,        0.00,        0.00
01/13/2012,  01:00:00,       83.00,      105.88,        0.00,        0.00
01/13/2012,  02:00:00,       80.50,      100.06,        0.00,        0.00
01/13/2012,  03:00:00,       78.00,       85.80,        0.00,        0.00
01/13/2012,  04:00:00,       70.50,      100.11,        0.00,        0.00
01/13/2012,  05:00:00,       50.50,       64.31,        0.00,        0.00
01/13/2012,  06:00:00,       56.00,       75.03,        0.00,        0.00
01/13/2012,  07:00:00,       66.50,      100.06,        0.00,        0.00
01/13/2012,  08:00:00,       73.50,       94.84,        0.00,        0.00
01/13/2012,  09:00:00,       74.50,      112.57,        0.00,        0.00
01/13/2012,  10:00:00,       70.50,       90.05,        0.00,        0.00
01/13/2012,  11:00:00,       67.50,      100.00,        0.00,        0.00
01/13/2012,  12:00:00,       50.50,       85.80,        0.00,        0.00
01/13/2012,  13:00:00,       70.50,       94.79,        0.00,        0.00
01/13/2012,  14:00:00,       71.00,      105.94,        0.00,        0.00
01/13/2012,  15:00:00,       75.50,      105.94,        0.00,        0.00
01/13/2012,  16:00:00,       72.50,       90.09,        0.00,        0.00
01/13/2012,  17:00:00,       74.00,      112.64,        0.00,        0.00
01/13/2012,  18:00:00,       77.00,      100.06,        0.00,        0.00
01/13/2012,  19:00:00,       78.00,       94.79,        0.00,        0.00
01/13/2012,  20:00:00,       73.00,       90.05,        0.00,        0.00
01/13/2012,  21:00:00,       71.50,       94.79,        0.00,        0.00
01/13/2012,  22:00:00,       66.00,       90.05,        0.00,        0.00
01/13/2012,  23:00:00,       75.50,      112.57,        0.00,        0.00
01/14/2012,  00:00:00,       89.50,      112.43,        0.00,        0.00
01/14/2012,  01:00:00,       86.00,      112.57,        0.00,        0.00
