Arrow Linen
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
03/01/2005,  00:00:00,      213.00,       28.14,        3.00,        3.00
03/01/2005,  01:00:00,       16.60,       16.37,        3.00,        3.00
03/01/2005,  02:00:00,       16.80,       37.93,        3.00,        3.00
03/01/2005,  03:00:00,       36.10,       52.80,        3.00,        2.00
03/01/2005,  04:00:00,      157.70,      231.43,        3.00,        3.00
03/01/2005,  05:00:00,      238.60,      295.19,        3.00,        3.00
03/01/2005,  06:00:00,      321.00,      346.47,        3.00,        3.00
03/01/2005,  07:00:00,      339.60,      341.00,        3.00,        3.00
03/01/2005,  08:00:00,      338.50,      357.49,        3.00,        3.00
03/01/2005,  09:00:00,      335.70,      347.13,        3.00,        3.00
03/01/2005,  10:00:00,      339.20,      362.30,        3.00,        3.00
03/01/2005,  11:00:00,      338.50,      384.14,        3.00,        3.00
03/01/2005,  12:00:00,      326.10,      376.25,        3.00,        3.00
03/01/2005,  13:00:00,      342.70,      392.71,        3.00,        3.00
03/01/2005,  14:00:00,      333.70,      374.12,        2.00,        2.00
03/01/2005,  15:00:00,      281.80,      301.60,        2.00,        2.00
03/01/2005,  16:00:00,      175.30,      246.91,        2.00,        2.00
03/01/2005,  17:00:00,       44.10,       46.93,        3.00,        3.00
03/01/2005,  18:00:00,       43.60,       45.78,        3.00,        3.00
03/01/2005,  19:00:00,       37.10,       35.37,        3.00,        3.00
03/01/2005,  20:00:00,       35.90,       40.92,        3.00,        3.00
03/01/2005,  21:00:00,       29.70,       32.46,        3.00,        3.00
03/01/2005,  22:00:00,       23.60,       28.92,        3.00,        3.00
03/01/2005,  23:00:00,       16.80,       18.52,        3.00,        3.00
03/02/2005,  00:00:00,       12.90,       17.57,        3.00,        3.00
03/02/2005,  01:00:00,       16.50,       16.63,        3.00,        3.00
03/02/2005,  02:00:00,       21.30,       36.06,        3.00,        3.00
03/02/2005,  03:00:00,       34.70,      142.20,        3.00,        2.00
03/02/2005,  04:00:00,      173.30,      237.03,        3.00,        3.00
03/02/2005,  05:00:00,      239.10,      266.78,        3.00,        3.00
03/02/2005,  06:00:00,      321.90,      346.43,        3.00,        3.00
03/02/2005,  07:00:00,      352.00,      345.09,        3.00,        3.00
03/02/2005,  08:00:00,      338.70,      359.93,        3.00,        3.00
03/02/2005,  09:00:00,      340.00,      356.24,        3.00,        3.00
03/02/2005,  10:00:00,      331.60,      361.76,        3.00,        3.00
03/02/2005,  11:00:00,      320.80,      350.14,        3.00,        3.00
03/02/2005,  12:00:00,      327.80,      363.82,        3.00,        3.00
03/02/2005,  13:00:00,      356.40,      365.07,        2.00,        2.00
03/02/2005,  14:00:00,      344.10,      386.95,        2.00,        2.00
03/02/2005,  15:00:00,      244.20,      299.12,        2.00,        2.00
