Avalon Fort Greene
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
01/12/2017,  00:00:00,      125.99,      135.98,        3.00,        3.00
01/12/2017,  01:00:00,      124.83,      128.55,        3.00,        3.00
01/12/2017,  02:00:00,      121.47,      132.02,        3.00,        3.00
01/12/2017,  03:00:00,       97.51,      132.44,        3.00,        3.00
01/12/2017,  04:00:00,       99.62,      131.78,        3.00,        3.00
01/12/2017,  05:00:00,      110.57,      128.53,        3.00,        3.00
01/12/2017,  06:00:00,      122.19,      138.25,        3.00,        3.00
01/12/2017,  07:00:00,      131.88,      138.78,        3.00,        3.00
01/12/2017,  08:00:00,      133.77,      143.93,        3.00,        3.00
01/12/2017,  09:00:00,      130.13,      142.93,        3.00,        3.00
01/12/2017,  10:00:00,      128.15,      138.28,        3.00,        3.00
01/12/2017,  11:00:00,      126.66,      135.60,        3.00,        3.00
01/12/2017,  12:00:00,      127.88,      132.06,        3.00,        3.00
01/12/2017,  13:00:00,      127.87,      136.79,        3.00,        3.00
01/12/2017,  14:00:00,      125.87,      137.11,        3.00,        3.00
01/12/2017,  15:00:00,      125.22,      135.09,        3.00,        3.00
01/12/2017,  16:00:00,      122.14,      129.38,        3.00,        3.00
01/12/2017,  17:00:00,      123.26,      128.73,        3.00,        3.00
01/12/2017,  18:00:00,      127.18,      135.03,        3.00,        3.00
01/12/2017,  19:00:00,      126.78,      135.49,        3.00,        3.00
01/12/2017,  20:00:00,      126.47,      134.29,        3.00,        3.00
01/12/2017,  21:00:00,      126.49,      131.37,        3.00,        3.00
01/12/2017,  22:00:00,      125.05,      130.18,        3.00,        3.00
01/12/2017,  23:00:00,      129.43,      138.52,        3.00,        3.00
01/13/2017,  00:00:00,      130.25,      137.54,        3.00,        3.00
01/13/2017,  01:00:00,      128.34,      138.01,        3.00,        3.00
01/13/2017,  02:00:00,      124.47,      137.74,        3.00,        3.00
01/13/2017,  03:00:00,      101.75,      137.63,        3.00,        3.00
01/13/2017,  04:00:00,      103.69,      144.60,        3.00,        3.00
01/13/2017,  05:00:00,      112.39,      144.05,        3.00,        3.00
01/13/2017,  06:00:00,      128.44,      141.98,        3.00,        3.00
01/13/2017,  07:00:00,      133.97,      145.84,        3.00,        3.00
01/13/2017,  08:00:00,      138.04,      148.92,        3.00,        3.00
01/13/2017,  09:00:00,      135.24,      145.15,        3.00,        3.00
01/13/2017,  10:00:00,      133.86,      140.08,        3.00,        3.00
01/13/2017,  11:00:00,      132.67,      140.91,        3.00,        3.00
01/13/2017,  12:00:00,      132.19,      143.36,        3.00,        3.00
01/13/2017,  13:00:00,      132.26,      138.22,        3.00,        3.00
01/13/2017,  14:00:00,      130.85,      135.39,        3.00,        3.00
01/13/2017,  15:00:00,      130.48,      136.24,        3.00,        3.00
