Bay Club Tower 1
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
05/05/2015,  00:00:00,      206.86,      238.78,        3.00,        3.00
05/05/2015,  01:00:00,      205.26,      232.63,        3.00,        3.00
05/05/2015,  02:00:00,      194.87,      227.19,        3.00,        3.00
05/05/2015,  03:00:00,      202.76,      269.39,        3.00,        3.00
05/05/2015,  04:00:00,      207.27,      239.48,        3.00,        3.00
05/05/2015,  05:00:00,      210.62,      280.12,        3.00,        3.00
05/05/2015,  06:00:00,      218.57,      294.02,        3.00,        3.00
05/05/2015,  07:00:00,      222.59,      337.77,        3.00,        3.00
05/05/2015,  08:00:00,      216.00,      303.39,        3.00,        3.00
05/05/2015,  09:00:00,      227.41,      300.45,        3.00,        3.00
05/05/2015,  10:00:00,      224.83,      335.51,        3.00,        3.00
05/05/2015,  11:00:00,      222.21,      340.58,        3.00,        3.00
05/05/2015,  12:00:00,      220.13,      325.77,        3.00,        3.00
05/05/2015,  13:00:00,      217.07,      307.60,        3.00,        3.00
05/05/2015,  14:00:00,      227.35,      332.70,        3.00,        3.00
05/05/2015,  15:00:00,      234.64,      318.21,        3.00,        3.00
05/05/2015,  16:00:00,      235.60,      330.14,        3.00,        3.00
05/05/2015,  17:00:00,      245.74,      303.33,        3.00,        3.00
05/05/2015,  18:00:00,      242.54,      306.77,        3.00,        3.00
05/05/2015,  19:00:00,      244.35,      321.42,        3.00,        3.00
05/05/2015,  20:00:00,      249.29,      305.62,        3.00,        3.00
05/05/2015,  21:00:00,      232.96,      300.48,        3.00,        3.00
05/05/2015,  22:00:00,      231.51,      315.73,        3.00,        3.00
05/05/2015,  23:00:00,      217.84,      248.73,        3.00,        3.00
05/06/2015,  00:00:00,      207.51,      234.88,        3.00,        3.00
05/06/2015,  01:00:00,      211.97,      241.33,        3.00,        3.00
05/06/2015,  02:00:00,      200.66,      233.27,        3.00,        3.00
05/06/2015,  03:00:00,      204.91,      222.91,        3.00,        3.00
05/06/2015,  04:00:00,      208.59,      231.72,        3.00,        3.00
05/06/2015,  05:00:00,      216.54,      292.73,        3.00,        3.00
05/06/2015,  06:00:00,      226.77,      290.13,        3.00,        3.00
05/06/2015,  07:00:00,      229.21,      305.39,        3.00,        3.00
05/06/2015,  08:00:00,      220.63,      287.80,        3.00,        3.00
05/06/2015,  09:00:00,      220.71,      256.99,        3.00,        3.00
05/06/2015,  10:00:00,      223.06,      267.90,        3.00,        3.00
05/06/2015,  11:00:00,      224.22,      276.95,        3.00,        3.00
05/06/2015,  12:00:00,      220.11,      296.63,        3.00,        3.00
05/06/2015,  13:00:00,      221.99,      281.01,        3.00,        3.00
05/06/2015,  14:00:00,      228.26,      306.09,        3.00,        3.00
05/06/2015,  15:00:00,      224.41,      297.92,        3.00,        3.00
