Beth Israel
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
08/20/2012,  08:00:00,       37.32,      467.00,        0.00,        3.00
08/20/2012,  09:00:00,      359.45,    33276.00,        3.00,        1.00
08/20/2012,  10:00:00,     1412.94,      659.00,        1.00,        3.00
08/20/2012,  11:00:00,      437.47,      520.00,        3.00,        3.00
08/20/2012,  12:00:00,      453.12,      710.00,        3.00,        3.00
08/20/2012,  13:00:00,      463.77,      539.00,        3.00,        3.00
08/20/2012,  14:00:00,      459.35,      524.00,        3.00,        3.00
08/20/2012,  15:00:00,      462.20,      510.00,        3.00,        3.00
08/20/2012,  16:00:00,      459.00,      532.00,        3.00,        3.00
08/20/2012,  17:00:00,      453.43,      518.00,        3.00,        3.00
08/20/2012,  18:00:00,      432.78,      487.00,        3.00,        3.00
08/20/2012,  19:00:00,      428.70,      496.00,        3.00,        3.00
08/20/2012,  20:00:00,      419.07,      464.00,        3.00,        3.00
08/20/2012,  21:00:00,      405.10,      445.00,        3.00,        3.00
08/20/2012,  22:00:00,      403.22,      439.00,        3.00,        3.00
08/20/2012,  23:00:00,      402.83,      432.00,        3.00,        3.00
08/21/2012,  00:00:00,      395.73,      450.00,        3.00,        3.00
08/21/2012,  01:00:00,      391.67,      417.00,        3.00,        3.00
08/21/2012,  02:00:00,      383.30,      459.00,        3.00,        3.00
08/21/2012,  03:00:00,      380.60,      425.00,        3.00,        3.00
08/21/2012,  04:00:00,      382.80,      446.00,        3.00,        3.00
08/21/2012,  05:00:00,      382.18,      418.00,        3.00,        3.00
08/21/2012,  06:00:00,      401.83,      503.00,        3.00,        3.00
08/21/2012,  07:00:00,      427.33,      495.00,        3.00,        3.00
08/21/2012,  08:00:00,      456.42,      512.00,        3.00,        3.00
08/21/2012,  09:00:00,      468.40,      529.00,        3.00,        3.00
08/21/2012,  10:00:00,      466.37,      533.00,        3.00,        3.00
08/21/2012,  11:00:00,      477.58,      519.00,        3.00,        3.00
08/21/2012,  12:00:00,      484.75,      533.00,        3.00,        3.00
08/21/2012,  13:00:00,      489.51,      728.00,        3.00,        3.00
08/21/2012,  14:00:00,      485.90,      532.00,        3.00,        3.00
08/21/2012,  15:00:00,      472.45,      532.00,        3.00,        3.00
08/21/2012,  16:00:00,      467.07,      532.00,        3.00,        3.00
08/21/2012,  17:00:00,      469.08,      539.00,        3.00,        3.00
08/21/2012,  18:00:00,      446.08,      545.00,        3.00,        3.00
08/21/2012,  19:00:00,      437.28,      507.00,        3.00,        3.00
08/21/2012,  20:00:00,      434.90,      470.00,        3.00,        3.00
08/21/2012,  21:00:00,      420.43,      485.00,        3.00,        3.00
08/21/2012,  22:00:00,      413.00,      466.00,        3.00,        3.00
08/21/2012,  23:00:00,      404.10,      439.00,        3.00,        3.00
