Birchwood Towers - The Kyoto
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
03/30/2015,  13:00:00,       53.28,      213.12,        3.00,        3.00
03/30/2015,  14:00:00,      168.74,      229.80,        3.00,        3.00
03/30/2015,  15:00:00,      169.01,      227.55,        3.00,        3.00
03/30/2015,  16:00:00,      178.55,      230.96,        3.00,        3.00
03/30/2015,  17:00:00,      187.66,      252.44,        3.00,        3.00
03/30/2015,  18:00:00,      207.74,      276.57,        3.00,        3.00
03/30/2015,  19:00:00,      226.68,      279.69,        3.00,        3.00
03/30/2015,  20:00:00,      221.00,      270.32,        3.00,        3.00
03/30/2015,  21:00:00,      207.83,      240.04,        3.00,        3.00
03/30/2015,  22:00:00,      178.00,      216.04,        3.00,        3.00
03/30/2015,  23:00:00,      155.43,      202.77,        3.00,        3.00
03/31/2015,  00:00:00,      136.76,      182.99,        3.00,        3.00
03/31/2015,  01:00:00,      134.47,      176.00,        3.00,        3.00
03/31/2015,  02:00:00,      128.81,      161.17,        3.00,        3.00
03/31/2015,  03:00:00,      128.14,      155.76,        3.00,        3.00
03/31/2015,  04:00:00,      135.26,      161.94,        3.00,        3.00
03/31/2015,  05:00:00,      150.98,      195.27,        3.00,        3.00
03/31/2015,  06:00:00,      179.44,      196.57,        3.00,        3.00
03/31/2015,  07:00:00,      169.84,      205.97,        3.00,        3.00
03/31/2015,  08:00:00,      158.90,      191.63,        3.00,        3.00
03/31/2015,  09:00:00,      163.44,      187.66,        3.00,        3.00
03/31/2015,  10:00:00,      157.58,      195.21,        3.00,        3.00
03/31/2015,  11:00:00,      161.00,      191.16,        3.00,        3.00
03/31/2015,  12:00:00,      158.92,      191.91,        3.00,        3.00
03/31/2015,  13:00:00,      161.49,      185.44,        3.00,        3.00
03/31/2015,  14:00:00,      166.18,      203.84,        3.00,        3.00
03/31/2015,  15:00:00,      172.21,      209.78,        3.00,        3.00
03/31/2015,  16:00:00,      174.78,      201.76,        3.00,        3.00
03/31/2015,  17:00:00,      197.65,      227.79,        3.00,        3.00
03/31/2015,  18:00:00,      221.01,      242.97,        3.00,        3.00
03/31/2015,  19:00:00,      233.58,      256.05,        3.00,        3.00
03/31/2015,  20:00:00,      232.15,      265.11,        3.00,        3.00
03/31/2015,  21:00:00,      208.08,      231.64,        3.00,        3.00
03/31/2015,  22:00:00,      184.10,      205.33,        3.00,        3.00
03/31/2015,  23:00:00,      159.50,      180.36,        3.00,        3.00
04/01/2015,  00:00:00,      134.67,      159.21,        3.00,        3.00
04/01/2015,  01:00:00,      138.15,      160.05,        3.00,        3.00
04/01/2015,  02:00:00,      130.44,      142.88,        3.00,        3.00
04/01/2015,  03:00:00,      135.11,      157.94,        3.00,        3.00
04/01/2015,  04:00:00,      133.79,      171.59,        3.00,        3.00
