Birchwood Towers - The Toledo
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
11/01/2014,  00:00:00,      151.29,      190.09,        3.00,        3.00
11/01/2014,  01:00:00,      138.11,      150.07,        3.00,        3.00
11/01/2014,  02:00:00,      140.73,      176.59,        3.00,        3.00
11/01/2014,  03:00:00,      139.11,      161.58,        3.00,        3.00
11/01/2014,  04:00:00,      148.33,      176.99,        3.00,        3.00
11/01/2014,  05:00:00,      150.21,      183.06,        3.00,        3.00
11/01/2014,  06:00:00,      164.76,      210.07,        3.00,        3.00
11/01/2014,  07:00:00,      181.61,      213.35,        3.00,        3.00
11/01/2014,  08:00:00,      198.65,      239.00,        3.00,        3.00
11/01/2014,  09:00:00,      201.60,      224.89,        3.00,        3.00
11/01/2014,  10:00:00,      208.98,      240.65,        3.00,        3.00
11/01/2014,  11:00:00,      210.69,      245.10,        3.00,        3.00
11/01/2014,  12:00:00,      208.00,      247.69,        3.00,        3.00
11/01/2014,  13:00:00,      205.32,      231.41,        3.00,        3.00
11/01/2014,  14:00:00,      205.42,      234.78,        3.00,        3.00
11/01/2014,  15:00:00,      217.83,      259.76,        3.00,        3.00
11/01/2014,  16:00:00,      230.71,      263.37,        3.00,        3.00
11/01/2014,  17:00:00,      245.37,      271.14,        3.00,        3.00
11/01/2014,  18:00:00,      242.69,      281.29,        3.00,        3.00
11/01/2014,  19:00:00,      233.30,      268.26,        3.00,        3.00
11/01/2014,  20:00:00,      227.25,      273.24,        3.00,        3.00
11/01/2014,  21:00:00,      212.75,      250.07,        3.00,        3.00
11/01/2014,  22:00:00,      196.97,      231.68,        3.00,        3.00
11/01/2014,  23:00:00,      175.02,      207.30,        3.00,        3.00
11/02/2014,  00:00:00,      158.52,      192.77,        3.00,        3.00
11/02/2014,  01:00:00,      148.10,      162.64,        3.00,        3.00
11/02/2014,  02:00:00,      150.23,      182.26,        3.00,        3.00
11/02/2014,  03:00:00,      145.23,      180.50,        3.00,        3.00
11/02/2014,  04:00:00,      145.35,      188.53,        3.00,        3.00
11/02/2014,  05:00:00,      150.07,      181.53,        3.00,        3.00
11/02/2014,  06:00:00,      167.67,      219.71,        3.00,        3.00
11/02/2014,  07:00:00,      184.64,      221.03,        3.00,        3.00
11/02/2014,  08:00:00,      195.44,      228.63,        3.00,        3.00
11/02/2014,  09:00:00,      198.06,      242.80,        3.00,        3.00
11/02/2014,  10:00:00,      196.02,      233.46,        3.00,        3.00
11/02/2014,  11:00:00,      201.85,      236.65,        3.00,        3.00
11/02/2014,  12:00:00,      194.83,      242.39,        3.00,        3.00
11/02/2014,  13:00:00,      190.88,      223.30,        3.00,        3.00
11/02/2014,  14:00:00,      188.47,      222.00,        3.00,        3.00
11/02/2014,  15:00:00,      188.53,      229.21,        3.00,        3.00
