Brevoort East
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
04/01/2015,  00:00:00,        0.00,        0.00,        0.00,        0.00
04/01/2015,  01:00:00,        0.00,        0.00,        0.00,        0.00
04/01/2015,  02:00:00,        0.00,        0.00,        0.00,        0.00
04/01/2015,  03:00:00,        0.00,        0.00,        0.00,        0.00
04/01/2015,  04:00:00,        0.00,        0.00,        0.00,        0.00
04/01/2015,  05:00:00,        0.00,        0.00,        0.00,        0.00
04/01/2015,  06:00:00,        0.00,        0.00,        0.00,        0.00
04/01/2015,  07:00:00,        0.00,        0.00,        0.00,        0.00
04/01/2015,  08:00:00,        0.00,        0.00,        0.00,        0.00
04/01/2015,  09:00:00,        0.00,        0.00,        0.00,        0.00
04/01/2015,  10:00:00,        0.00,        0.00,        0.00,        0.00
04/01/2015,  11:00:00,       56.00,      180.00,        0.00,        0.00
04/01/2015,  12:00:00,      120.00,      180.00,        0.00,        0.00
04/01/2015,  13:00:00,      115.00,      122.03,        0.00,        0.00
04/01/2015,  14:00:00,      116.00,      144.00,        0.00,        0.00
04/01/2015,  15:00:00,      117.00,      124.14,        0.00,        0.00
04/01/2015,  16:00:00,      120.00,      177.05,        0.00,        0.00
04/01/2015,  17:00:00,      135.00,      183.05,        0.00,        0.00
04/01/2015,  18:00:00,      157.00,      186.21,        0.00,        0.00
04/01/2015,  19:00:00,      173.00,      240.00,        0.00,        0.00
04/01/2015,  20:00:00,      166.00,      244.07,        0.00,        0.00
04/01/2015,  21:00:00,      161.00,      183.05,        0.00,        0.00
04/01/2015,  22:00:00,      135.00,      183.05,        0.00,        0.00
04/01/2015,  23:00:00,      100.00,      122.03,        0.00,        0.00
04/02/2015,  00:00:00,       82.00,      122.03,        0.00,        0.00
04/02/2015,  01:00:00,       81.00,      122.03,        0.00,        0.00
04/02/2015,  02:00:00,       81.00,      122.03,        0.00,        0.00
04/02/2015,  03:00:00,       74.00,      122.03,        0.00,        0.00
04/02/2015,  04:00:00,       79.00,      122.03,        0.00,        0.00
04/02/2015,  05:00:00,       83.00,      122.03,        0.00,        0.00
04/02/2015,  06:00:00,      109.00,      177.05,        0.00,        0.00
04/02/2015,  07:00:00,      119.00,      180.00,        0.00,        0.00
04/02/2015,  08:00:00,      122.00,      180.00,        0.00,        0.00
04/02/2015,  09:00:00,      116.00,      180.00,        0.00,        0.00
04/02/2015,  10:00:00,      117.00,      180.00,        0.00,        0.00
04/02/2015,  11:00:00,      114.00,      180.00,        0.00,        0.00
04/02/2015,  12:00:00,      118.00,      180.00,        0.00,        0.00
04/02/2015,  13:00:00,      115.00,      122.03,        0.00,        0.00
04/02/2015,  14:00:00,      107.00,      122.03,        0.00,        0.00
04/02/2015,  15:00:00,      110.00,      122.03,        0.00,        0.00
