Cabrini Terrace
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
10/24/2012,  00:00:00,       79.25,       80.00,        0.00,        0.00
10/24/2012,  01:00:00,       80.25,       84.00,        0.00,        0.00
10/24/2012,  02:00:00,       79.00,       79.00,        0.00,        0.00
10/24/2012,  03:00:00,       78.50,       79.00,        0.00,        0.00
10/24/2012,  04:00:00,       79.25,       80.00,        0.00,        0.00
10/24/2012,  05:00:00,       78.75,       79.00,        0.00,        0.00
10/24/2012,  06:00:00,       78.75,       79.00,        0.00,        0.00
10/24/2012,  07:00:00,       81.50,       86.00,        0.00,        0.00
10/24/2012,  08:00:00,       78.00,       81.00,        0.00,        0.00
10/24/2012,  09:00:00,       83.25,       87.00,        0.00,        0.00
10/24/2012,  10:00:00,       80.25,       86.00,        0.00,        0.00
10/24/2012,  11:00:00,       82.50,       85.00,        0.00,        0.00
10/24/2012,  12:00:00,       84.00,       89.00,        0.00,        0.00
10/24/2012,  13:00:00,       83.25,       86.00,        0.00,        0.00
10/24/2012,  14:00:00,       88.00,       92.00,        0.00,        0.00
10/24/2012,  15:00:00,       83.00,       85.00,        0.00,        0.00
10/24/2012,  16:00:00,       80.50,       84.00,        0.00,        0.00
10/24/2012,  17:00:00,       82.00,       84.00,        0.00,        0.00
10/24/2012,  18:00:00,       82.75,       87.00,        0.00,        0.00
10/24/2012,  19:00:00,       85.50,       89.00,        0.00,        0.00
10/24/2012,  20:00:00,       82.00,       87.00,        0.00,        0.00
10/24/2012,  21:00:00,       83.75,       87.00,        0.00,        0.00
10/24/2012,  22:00:00,       80.25,       82.00,        0.00,        0.00
10/24/2012,  23:00:00,       79.75,       81.00,        0.00,        0.00
10/25/2012,  00:00:00,       78.50,       79.00,        0.00,        0.00
10/25/2012,  01:00:00,       79.00,       80.00,        0.00,        0.00
10/25/2012,  02:00:00,       79.00,       79.00,        0.00,        0.00
10/25/2012,  03:00:00,       79.00,       79.00,        0.00,        0.00
10/25/2012,  04:00:00,       78.75,       79.00,        0.00,        0.00
10/25/2012,  05:00:00,       79.50,       80.00,        0.00,        0.00
10/25/2012,  06:00:00,       80.00,       81.00,        0.00,        0.00
10/25/2012,  07:00:00,       82.50,       86.00,        0.00,        0.00
10/25/2012,  08:00:00,       78.25,       80.00,        0.00,        0.00
10/25/2012,  09:00:00,       21.50,       86.00,        0.00,        0.00
10/25/2012,  12:00:00,       63.00,       87.00,        0.00,        0.00
10/25/2012,  13:00:00,       62.75,       85.00,        0.00,        0.00
10/25/2012,  14:00:00,       87.75,       95.00,        0.00,        0.00
10/25/2012,  15:00:00,       86.00,       90.00,        0.00,        0.00
10/25/2012,  16:00:00,       84.75,       89.00,        0.00,        0.00
10/25/2012,  17:00:00,       83.25,       86.00,        0.00,        0.00
