Church Street Hilton
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
02/01/2014,  00:00:00,      343.23,      360.09,        0.00,        0.00
02/01/2014,  01:00:00,      358.82,      368.42,        0.00,        0.00
02/01/2014,  02:00:00,      339.90,      351.59,        0.00,        0.00
02/01/2014,  03:00:00,      333.81,      343.07,        0.00,        0.00
02/01/2014,  04:00:00,      333.02,      335.68,        0.00,        0.00
02/01/2014,  05:00:00,      335.56,      345.98,        0.00,        0.00
02/01/2014,  06:00:00,      348.43,      358.33,        0.00,        0.00
02/01/2014,  07:00:00,      372.18,      384.81,        0.00,        0.00
02/01/2014,  08:00:00,      390.80,      398.06,        0.00,        0.00
02/01/2014,  09:00:00,      405.26,      408.55,        0.00,        0.00
02/01/2014,  10:00:00,      417.30,      419.71,        0.00,        0.00
02/01/2014,  11:00:00,      411.75,      417.23,        0.00,        0.00
02/01/2014,  12:00:00,      411.69,      419.15,        0.00,        0.00
02/01/2014,  13:00:00,      406.05,      415.71,        0.00,        0.00
02/01/2014,  14:00:00,      401.35,      405.53,        0.00,        0.00
02/01/2014,  15:00:00,      405.01,      405.84,        0.00,        0.00
02/01/2014,  16:00:00,      416.72,      423.72,        0.00,        0.00
02/01/2014,  17:00:00,      414.12,      419.18,        0.00,        0.00
02/01/2014,  18:00:00,      416.25,      420.13,        0.00,        0.00
02/01/2014,  19:00:00,      417.63,      420.60,        0.00,        0.00
02/01/2014,  20:00:00,      409.46,      416.53,        0.00,        0.00
02/01/2014,  21:00:00,      408.76,      411.51,        0.00,        0.00
02/01/2014,  22:00:00,      400.81,      402.01,        0.00,        0.00
02/01/2014,  23:00:00,      394.03,      396.77,        0.00,        0.00
02/02/2014,  00:00:00,      384.95,      390.60,        0.00,        0.00
02/02/2014,  01:00:00,      369.39,      385.38,        0.00,        0.00
02/02/2014,  02:00:00,      356.02,      356.65,        0.00,        0.00
02/02/2014,  03:00:00,      343.49,      349.34,        0.00,        0.00
02/02/2014,  04:00:00,      345.50,      351.25,        0.00,        0.00
02/02/2014,  05:00:00,      344.43,      348.21,        0.00,        0.00
02/02/2014,  06:00:00,      360.82,      370.23,        0.00,        0.00
02/02/2014,  07:00:00,      380.71,      392.29,        0.00,        0.00
02/02/2014,  08:00:00,      398.27,      408.52,        0.00,        0.00
02/02/2014,  09:00:00,      418.09,      424.96,        0.00,        0.00
02/02/2014,  10:00:00,      429.56,      433.05,        0.00,        0.00
02/02/2014,  11:00:00,      425.16,      427.97,        0.00,        0.00
02/02/2014,  12:00:00,      420.72,      424.51,        0.00,        0.00
02/02/2014,  13:00:00,      410.60,      414.62,        0.00,        0.00
02/02/2014,  14:00:00,      402.73,      405.12,        0.00,        0.00
02/02/2014,  15:00:00,      398.83,      401.66,        0.00,        0.00
