Churchill
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
03/20/2013,  10:00:00,        0.00,      263.99,        0.00,        0.00
03/20/2013,  11:00:00,      186.84,      279.11,        0.00,        0.00
03/20/2013,  12:00:00,      203.79,      291.54,        3.00,        3.00
03/20/2013,  13:00:00,      200.23,      261.02,        3.00,        3.00
03/20/2013,  14:00:00,      197.87,      310.56,        3.00,        3.00
03/20/2013,  15:00:00,      197.47,      264.59,        3.00,        3.00
03/20/2013,  16:00:00,      195.64,      251.76,        3.00,        3.00
03/20/2013,  17:00:00,      211.86,      275.55,        3.00,        3.00
03/20/2013,  18:00:00,      219.18,      304.46,        3.00,        3.00
03/20/2013,  19:00:00,      220.66,      280.62,        3.00,        3.00
03/20/2013,  20:00:00,      218.24,      280.73,        3.00,        3.00
03/20/2013,  21:00:00,      207.99,      269.16,        3.00,        3.00
03/20/2013,  22:00:00,      179.72,      242.03,        3.00,        3.00
03/20/2013,  23:00:00,      170.48,      222.11,        3.00,        3.00
03/21/2013,  00:00:00,      166.95,      234.05,        3.00,        3.00
03/21/2013,  01:00:00,      166.55,      229.24,        3.00,        3.00
03/21/2013,  02:00:00,      166.02,      219.29,        3.00,        3.00
03/21/2013,  03:00:00,      168.27,      219.96,        3.00,        3.00
03/21/2013,  04:00:00,      169.70,      212.51,        3.00,        3.00
03/21/2013,  05:00:00,      183.22,      239.16,        3.00,        3.00
03/21/2013,  06:00:00,      189.06,      243.05,        3.00,        3.00
03/21/2013,  07:00:00,      204.96,      276.79,        3.00,        3.00
03/21/2013,  08:00:00,      209.43,      270.46,        3.00,        3.00
03/21/2013,  09:00:00,      208.63,      279.38,        3.00,        3.00
03/21/2013,  10:00:00,      206.90,      274.25,        3.00,        3.00
03/21/2013,  11:00:00,      199.86,      258.77,        3.00,        3.00
03/21/2013,  12:00:00,      203.27,      275.41,        3.00,        3.00
03/21/2013,  13:00:00,      205.38,      278.53,        3.00,        3.00
03/21/2013,  14:00:00,      200.12,      280.66,        3.00,        3.00
03/21/2013,  15:00:00,      198.53,      255.31,        3.00,        3.00
03/21/2013,  16:00:00,      200.16,      257.98,        3.00,        3.00
03/21/2013,  17:00:00,      213.64,      283.79,        3.00,        3.00
03/21/2013,  18:00:00,      225.44,      290.89,        3.00,        3.00
03/21/2013,  19:00:00,      219.05,      285.03,        3.00,        3.00
03/21/2013,  20:00:00,      216.67,      274.12,        3.00,        3.00
03/21/2013,  21:00:00,      214.93,      265.61,        3.00,        3.00
03/21/2013,  22:00:00,      189.94,      281.16,        3.00,        3.00
03/21/2013,  23:00:00,      179.52,      245.28,        3.00,        3.00
03/22/2013,  00:00:00,      176.34,      241.41,        3.00,        3.00
03/22/2013,  01:00:00,      172.67,      231.96,        3.00,        3.00
