City of Schenectady Water Pollution Control Plant
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
03/01/2012,  00:00:00,      376.32,      506.88,        0.00,        0.00
03/01/2012,  01:00:00,      500.16,      506.88,        0.00,        0.00
03/01/2012,  02:00:00,      495.36,      506.88,        0.00,        0.00
03/01/2012,  03:00:00,      495.36,      503.04,        0.00,        0.00
03/01/2012,  04:00:00,      494.40,      499.20,        0.00,        0.00
03/01/2012,  05:00:00,      489.60,      495.36,        0.00,        0.00
03/01/2012,  06:00:00,      489.60,      495.36,        0.00,        0.00
03/01/2012,  07:00:00,      480.00,      487.68,        0.00,        0.00
03/01/2012,  08:00:00,      492.48,      510.72,        0.00,        0.00
03/01/2012,  09:00:00,      513.60,      518.40,        0.00,        0.00
03/01/2012,  10:00:00,      481.92,      506.88,        0.00,        0.00
03/01/2012,  11:00:00,      437.76,      449.28,        0.00,        0.00
03/01/2012,  12:00:00,      439.68,      445.44,        0.00,        0.00
03/01/2012,  13:00:00,      404.16,      441.60,        0.00,        0.00
03/01/2012,  14:00:00,      399.36,      437.76,        0.00,        0.00
03/01/2012,  15:00:00,      411.84,      422.40,        0.00,        0.00
03/01/2012,  16:00:00,      403.20,      410.88,        0.00,        0.00
03/01/2012,  17:00:00,      411.84,      433.92,        0.00,        0.00
03/01/2012,  18:00:00,      436.80,      441.60,        0.00,        0.00
03/01/2012,  19:00:00,      438.72,      441.60,        0.00,        0.00
03/01/2012,  20:00:00,      437.76,      437.76,        0.00,        0.00
03/01/2012,  21:00:00,      442.56,      445.44,        0.00,        0.00
03/01/2012,  22:00:00,      444.48,      453.12,        0.00,        0.00
03/01/2012,  23:00:00,      443.52,      449.28,        0.00,        0.00
03/02/2012,  00:00:00,      448.32,      456.96,        0.00,        0.00
03/02/2012,  01:00:00,      438.72,      441.60,        0.00,        0.00
03/02/2012,  02:00:00,      435.84,      441.60,        0.00,        0.00
03/02/2012,  03:00:00,      434.88,      437.76,        0.00,        0.00
03/02/2012,  04:00:00,      439.68,      445.44,        0.00,        0.00
03/02/2012,  05:00:00,      438.72,      445.44,        0.00,        0.00
03/02/2012,  06:00:00,      439.68,      449.28,        0.00,        0.00
03/02/2012,  07:00:00,      433.92,      445.44,        0.00,        0.00
03/02/2012,  08:00:00,      420.48,      426.24,        0.00,        0.00
03/02/2012,  09:00:00,      435.84,      445.44,        0.00,        0.00
03/02/2012,  10:00:00,      448.32,      456.96,        0.00,        0.00
03/02/2012,  11:00:00,      431.04,      445.44,        0.00,        0.00
03/02/2012,  12:00:00,      397.44,      399.36,        0.00,        0.00
03/02/2012,  13:00:00,      396.48,      403.20,        0.00,        0.00
03/02/2012,  14:00:00,      387.84,      391.68,        0.00,        0.00
03/02/2012,  15:00:00,      391.68,      395.52,        0.00,        0.00
