Citylights - Downstairs
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
04/18/2016,  12:00:00,        2.75,       68.62,        0.00,        0.00
04/18/2016,  13:00:00,       61.54,       68.50,        0.00,        0.00
04/18/2016,  14:00:00,       54.15,       66.97,        0.00,        0.00
04/18/2016,  15:00:00,       59.81,       66.77,        0.00,        0.00
04/18/2016,  16:00:00,       53.97,       67.25,        0.00,        0.00
04/18/2016,  17:00:00,       41.22,       67.23,        0.00,        0.00
04/18/2016,  18:00:00,       66.85,       67.69,        0.00,        0.00
04/18/2016,  19:00:00,       66.34,       66.92,        0.00,        0.00
04/18/2016,  20:00:00,       66.28,       66.86,        0.00,        0.00
04/18/2016,  21:00:00,        2.19,       66.92,        0.00,        0.00
04/18/2016,  22:00:00,        0.00,        0.00,        0.00,        0.00
04/18/2016,  23:00:00,        0.00,        0.00,        0.00,        0.00
04/19/2016,  00:00:00,        0.00,        0.00,        0.00,        0.00
04/19/2016,  01:00:00,        0.00,        0.00,        0.00,        0.00
04/19/2016,  02:00:00,        0.00,        0.00,        0.00,        0.00
04/19/2016,  03:00:00,       25.28,       68.73,        0.00,        0.00
04/19/2016,  04:00:00,       68.50,       69.27,        0.00,        0.00
04/19/2016,  05:00:00,       67.85,       68.53,        0.00,        0.00
04/19/2016,  06:00:00,       67.62,       68.80,        0.00,        0.00
04/19/2016,  07:00:00,       67.72,       68.38,        0.00,        0.00
04/19/2016,  08:00:00,       57.06,       67.41,        0.00,        0.00
04/19/2016,  09:00:00,        0.00,        0.00,        0.00,        0.00
04/19/2016,  10:00:00,       45.03,       66.36,        0.00,        0.00
04/19/2016,  11:00:00,       62.44,       65.14,        0.00,        0.00
04/19/2016,  12:00:00,       32.07,       65.77,        0.00,        0.00
04/19/2016,  13:00:00,       30.91,       66.17,        0.00,        0.00
04/19/2016,  14:00:00,       47.72,       65.64,        0.00,        0.00
04/19/2016,  15:00:00,       33.36,       65.73,        0.00,        0.00
04/19/2016,  16:00:00,       50.88,       65.97,        0.00,        0.00
04/19/2016,  17:00:00,       51.18,       65.69,        0.00,        0.00
04/19/2016,  18:00:00,       64.46,       65.67,        0.00,        0.00
04/19/2016,  19:00:00,       49.50,       65.09,        0.00,        0.00
04/19/2016,  20:00:00,       63.78,       64.92,        0.00,        0.00
04/19/2016,  21:00:00,        0.37,       63.75,        0.00,        0.00
04/19/2016,  22:00:00,        0.00,        0.00,        0.00,        0.00
04/19/2016,  23:00:00,        0.00,        0.00,        0.00,        0.00
04/20/2016,  00:00:00,        0.00,        0.00,        0.00,        0.00
04/20/2016,  01:00:00,        0.00,        0.00,        0.00,        0.00
04/20/2016,  02:00:00,        0.00,        0.00,        0.00,        0.00
04/20/2016,  03:00:00,       23.13,       66.09,        0.00,        0.00
