Citylights - Upstairs
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
04/19/2016,  11:00:00,       20.26,       40.83,        0.00,        0.00
04/19/2016,  12:00:00,       11.56,       40.80,        0.00,        0.00
04/19/2016,  13:00:00,       11.94,       40.86,        0.00,        0.00
04/19/2016,  14:00:00,        9.44,       40.77,        0.00,        0.00
04/19/2016,  15:00:00,       11.32,       40.81,        0.00,        0.00
04/19/2016,  16:00:00,        0.00,        0.00,        0.00,        0.00
04/19/2016,  17:00:00,        0.00,        0.00,        0.00,        0.00
04/19/2016,  18:00:00,        0.00,        0.00,        0.00,        0.00
04/19/2016,  19:00:00,        0.00,        0.00,        0.00,        0.00
04/19/2016,  20:00:00,        0.00,        0.00,        0.00,        0.00
04/19/2016,  21:00:00,        0.00,        0.00,        0.00,        0.00
04/19/2016,  22:00:00,        0.00,        0.00,        0.00,        0.00
04/19/2016,  23:00:00,        0.00,        0.00,        0.00,        0.00
04/20/2016,  00:00:00,        0.00,        0.00,        0.00,        0.00
04/20/2016,  01:00:00,        0.00,        0.00,        0.00,        0.00
04/20/2016,  02:00:00,        0.00,        0.00,        0.00,        0.00
04/20/2016,  03:00:00,        0.00,        0.00,        0.00,        0.00
04/20/2016,  04:00:00,        0.00,        0.00,        0.00,        0.00
04/20/2016,  05:00:00,       23.72,       41.20,        0.00,        0.00
04/20/2016,  06:00:00,       40.75,       41.11,        0.00,        0.00
04/20/2016,  07:00:00,       40.59,       40.83,        0.00,        0.00
04/20/2016,  08:00:00,       34.44,       40.83,        0.00,        0.00
04/20/2016,  09:00:00,       22.24,       40.67,        0.00,        0.00
04/20/2016,  10:00:00,       18.92,       41.05,        0.00,        0.00
04/20/2016,  11:00:00,       13.83,       41.00,        0.00,        0.00
04/20/2016,  12:00:00,       10.38,       40.86,        0.00,        0.00
04/20/2016,  13:00:00,       13.88,       40.80,        0.00,        0.00
04/20/2016,  14:00:00,        7.44,       40.80,        0.00,        0.00
04/20/2016,  15:00:00,        9.27,       40.77,        0.00,        0.00
04/20/2016,  16:00:00,        2.69,       40.69,        0.00,        0.00
04/20/2016,  17:00:00,        0.00,        0.00,        0.00,        0.00
04/20/2016,  18:00:00,        0.00,        0.00,        0.00,        0.00
04/20/2016,  19:00:00,        0.00,        0.00,        0.00,        0.00
04/20/2016,  20:00:00,        0.00,        0.00,        0.00,        0.00
04/20/2016,  21:00:00,        0.00,        0.00,        0.00,        0.00
04/20/2016,  22:00:00,        0.00,        0.00,        0.00,        0.00
04/20/2016,  23:00:00,        0.00,        0.00,        0.00,        0.00
04/21/2016,  00:00:00,        0.00,        0.00,        0.00,        0.00
04/21/2016,  01:00:00,        0.00,        0.00,        0.00,        0.00
04/21/2016,  02:00:00,        0.00,        0.00,        0.00,        0.00
