Clarkson University
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
01/22/2009,  00:00:00,      193.81,      193.83,        0.00,        0.00
01/22/2009,  01:00:00,      193.81,      193.83,        0.00,        0.00
01/22/2009,  02:00:00,      193.82,      193.83,        0.00,        0.00
01/22/2009,  03:00:00,      193.80,      193.82,        0.00,        0.00
01/22/2009,  04:00:00,      193.82,      193.83,        0.00,        0.00
01/22/2009,  05:00:00,      193.82,      193.82,        0.00,        0.00
01/22/2009,  06:00:00,      193.81,      193.83,        0.00,        0.00
01/22/2009,  07:00:00,      193.87,      193.95,        0.00,        0.00
01/22/2009,  08:00:00,      193.57,      193.94,        0.00,        0.00
01/22/2009,  09:00:00,      193.28,      193.28,        0.00,        0.00
01/22/2009,  10:00:00,      193.29,      193.31,        0.00,        0.00
01/22/2009,  11:00:00,      193.31,      193.33,        0.00,        0.00
01/22/2009,  12:00:00,      193.30,      193.32,        0.00,        0.00
01/22/2009,  13:00:00,      193.31,      193.31,        0.00,        0.00
01/22/2009,  14:00:00,      193.31,      193.32,        0.00,        0.00
01/22/2009,  15:00:00,      193.36,      193.37,        0.00,        0.00
01/22/2009,  16:00:00,      193.31,      193.32,        0.00,        0.00
01/22/2009,  17:00:00,      193.31,      193.37,        0.00,        0.00
01/22/2009,  18:00:00,      193.21,      193.26,        0.00,        0.00
01/22/2009,  19:00:00,      193.25,      193.28,        0.00,        0.00
01/22/2009,  20:00:00,      193.23,      193.28,        0.00,        0.00
01/22/2009,  21:00:00,      193.23,      193.25,        0.00,        0.00
01/22/2009,  22:00:00,      193.25,      193.27,        0.00,        0.00
01/22/2009,  23:00:00,      193.23,      193.26,        0.00,        0.00
01/23/2009,  00:00:00,      193.26,      193.28,        0.00,        0.00
01/23/2009,  01:00:00,      193.22,      193.27,        0.00,        0.00
01/23/2009,  02:00:00,      193.25,      193.28,        0.00,        0.00
01/23/2009,  03:00:00,      193.25,      193.28,        0.00,        0.00
01/23/2009,  04:00:00,      193.24,      193.26,        0.00,        0.00
01/23/2009,  05:00:00,      193.25,      193.27,        0.00,        0.00
01/23/2009,  06:00:00,      193.23,      193.28,        0.00,        0.00
01/23/2009,  07:00:00,      193.22,      193.24,        0.00,        0.00
01/23/2009,  08:00:00,      193.32,      193.33,        0.00,        0.00
01/23/2009,  09:00:00,      193.33,      193.33,        0.00,        0.00
01/23/2009,  10:00:00,      193.33,      193.33,        0.00,        0.00
01/23/2009,  11:00:00,      193.32,      193.33,        0.00,        0.00
01/23/2009,  12:00:00,      193.32,      193.33,        0.00,        0.00
01/23/2009,  13:00:00,      193.32,      193.33,        0.00,        0.00
01/23/2009,  14:00:00,      193.32,      193.32,        0.00,        0.00
01/23/2009,  15:00:00,      193.32,      193.34,        0.00,        0.00
