Concord Court Apartments
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
02/29/2012,  15:00:00,       17.87,       63.05,        0.00,        0.00
02/29/2012,  16:00:00,       62.49,       63.05,        0.00,        0.00
02/29/2012,  17:00:00,       62.58,       63.05,        0.00,        0.00
02/29/2012,  18:00:00,       62.47,       63.05,        0.00,        0.00
02/29/2012,  19:00:00,       62.60,       63.05,        0.00,        0.00
02/29/2012,  20:00:00,       62.76,       63.05,        0.00,        0.00
02/29/2012,  21:00:00,       62.73,       63.05,        0.00,        0.00
02/29/2012,  22:00:00,       62.63,       63.05,        0.00,        0.00
02/29/2012,  23:00:00,       62.55,       63.05,        0.00,        0.00
03/01/2012,  00:00:00,       62.49,       62.99,        0.00,        0.00
03/01/2012,  01:00:00,       62.25,       63.05,        0.00,        0.00
03/01/2012,  02:00:00,       61.81,       62.40,        0.00,        0.00
03/01/2012,  03:00:00,       62.01,       62.99,        0.00,        0.00
03/01/2012,  04:00:00,       62.12,       62.40,        0.00,        0.00
03/01/2012,  05:00:00,       62.37,       63.05,        0.00,        0.00
03/01/2012,  06:00:00,       61.79,       62.99,        0.00,        0.00
03/01/2012,  07:00:00,       62.24,       62.40,        0.00,        0.00
03/01/2012,  08:00:00,       62.67,       63.05,        0.00,        0.00
03/01/2012,  09:00:00,       62.58,       63.05,        0.00,        0.00
03/01/2012,  10:00:00,       62.33,       63.05,        0.00,        0.00
03/01/2012,  11:00:00,       62.38,       63.05,        0.00,        0.00
03/01/2012,  12:00:00,       62.59,       63.05,        0.00,        0.00
03/01/2012,  13:00:00,       62.52,       63.05,        0.00,        0.00
03/01/2012,  14:00:00,       62.65,       63.05,        0.00,        0.00
03/01/2012,  15:00:00,       62.55,       63.05,        0.00,        0.00
03/01/2012,  16:00:00,       62.47,       63.05,        0.00,        0.00
03/01/2012,  17:00:00,       62.61,       63.05,        0.00,        0.00
03/01/2012,  18:00:00,       62.80,       63.05,        0.00,        0.00
03/01/2012,  19:00:00,       62.75,       63.05,        0.00,        0.00
03/01/2012,  20:00:00,       62.85,       63.05,        0.00,        0.00
03/01/2012,  21:00:00,       62.82,       63.05,        0.00,        0.00
03/01/2012,  22:00:00,       62.53,       62.99,        0.00,        0.00
03/01/2012,  23:00:00,       62.52,       63.05,        0.00,        0.00
03/02/2012,  00:00:00,       62.55,       63.05,        0.00,        0.00
03/02/2012,  01:00:00,       62.44,       63.05,        0.00,        0.00
03/02/2012,  02:00:00,       62.41,       63.05,        0.00,        0.00
03/02/2012,  03:00:00,       62.64,       63.05,        0.00,        0.00
03/02/2012,  04:00:00,       61.86,       63.05,        0.00,        0.00
03/02/2012,  05:00:00,       62.31,       63.05,        0.00,        0.00
03/02/2012,  06:00:00,       61.26,       63.05,        0.00,        0.00
