Coop City -Riverbay Corp.
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
03/03/2010,  00:00:00,     9210.93,     9603.25,        3.00,        3.00
03/03/2010,  01:00:00,    10053.83,    10290.14,        3.00,        3.00
03/03/2010,  02:00:00,    10480.12,    10610.58,        3.00,        3.00
03/03/2010,  03:00:00,    10769.24,    10818.04,        3.00,        3.00
03/03/2010,  04:00:00,    10749.79,    10841.63,        3.00,        3.00
03/03/2010,  05:00:00,     9907.80,    10425.09,        3.00,        3.00
03/03/2010,  06:00:00,     8492.10,     9081.15,        3.00,        3.00
03/03/2010,  07:00:00,     8051.87,     8134.41,        3.00,        3.00
03/03/2010,  08:00:00,     8390.46,     8481.38,        3.00,        3.00
03/03/2010,  09:00:00,     8478.82,     8543.22,        3.00,        3.00
03/03/2010,  10:00:00,     8420.48,     8450.93,        3.00,        3.00
03/03/2010,  11:00:00,     8368.24,     8391.14,        3.00,        3.00
03/03/2010,  12:00:00,     8311.68,     8327.90,        3.00,        3.00
03/03/2010,  13:00:00,     8286.97,     8336.24,        3.00,        3.00
03/03/2010,  14:00:00,     8266.40,     8311.71,        3.00,        3.00
03/03/2010,  15:00:00,     7975.54,     8092.63,        3.00,        3.00
03/03/2010,  16:00:00,     7286.45,     7543.76,        3.00,        3.00
03/03/2010,  17:00:00,     5953.37,     6648.61,        3.00,        3.00
03/03/2010,  18:00:00,     4168.26,     4549.12,        3.00,        3.00
03/03/2010,  19:00:00,     3548.29,     3720.92,        3.00,        3.00
03/03/2010,  20:00:00,     3351.16,     3484.29,        3.00,        3.00
03/03/2010,  21:00:00,     3980.43,     4339.61,        3.00,        3.00
03/03/2010,  22:00:00,     5148.04,     5784.02,        3.00,        3.00
03/03/2010,  23:00:00,     6842.64,     7533.36,        3.00,        3.00
03/08/2010,  00:00:00,     6773.48,    12320.57,        3.00,        3.00
03/08/2010,  01:00:00,     9954.92,    10287.79,        3.00,        3.00
03/08/2010,  02:00:00,    10562.45,    10695.99,        3.00,        3.00
03/08/2010,  03:00:00,    10799.51,    10851.58,        3.00,        3.00
03/08/2010,  04:00:00,    10687.92,    10806.92,        3.00,        3.00
03/08/2010,  05:00:00,     9873.28,    10301.60,        3.00,        3.00
03/08/2010,  06:00:00,     8922.06,     9104.51,        3.00,        3.00
03/08/2010,  07:00:00,     8779.65,     8980.93,        3.00,        3.00
03/08/2010,  08:00:00,     9108.40,     9184.01,        3.00,        3.00
03/08/2010,  09:00:00,     9102.32,     9175.24,        3.00,        3.00
03/08/2010,  10:00:00,     8901.10,     9031.78,        3.00,        3.00
03/08/2010,  11:00:00,     8060.70,     8468.33,        3.00,        3.00
03/08/2010,  12:00:00,     7869.68,     7939.37,        3.00,        3.00
03/08/2010,  13:00:00,     7698.30,     7776.73,        3.00,        3.00
