The Cooper Union
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
02/21/2013,  00:00:00,      414.01,      496.62,        3.00,        3.00
02/21/2013,  01:00:00,      400.82,      410.54,        3.00,        3.00
02/21/2013,  02:00:00,      345.51,      378.05,        3.00,        3.00
02/21/2013,  03:00:00,      289.01,      300.56,        3.00,        3.00
02/21/2013,  04:00:00,      287.76,      293.13,        3.00,        3.00
02/21/2013,  05:00:00,      288.14,      297.61,        3.00,        3.00
02/21/2013,  06:00:00,      296.98,      298.28,        3.00,        3.00
02/21/2013,  07:00:00,      303.14,      359.28,        3.00,        3.00
02/21/2013,  08:00:00,      308.94,      510.96,        3.00,        3.00
02/21/2013,  09:00:00,      355.03,      360.93,        3.00,        3.00
02/21/2013,  10:00:00,      365.72,      379.01,        3.00,        3.00
02/21/2013,  11:00:00,      388.06,      387.53,        3.00,        3.00
02/21/2013,  12:00:00,      412.11,      421.33,        3.00,        3.00
02/21/2013,  13:00:00,      418.89,      410.53,        3.00,        3.00
02/21/2013,  14:00:00,      434.37,      433.02,        3.00,        3.00
02/21/2013,  15:00:00,      431.27,      424.43,        3.00,        3.00
02/21/2013,  16:00:00,      415.91,      418.80,        3.00,        3.00
02/21/2013,  17:00:00,      410.14,      435.97,        3.00,        3.00
02/21/2013,  18:00:00,      415.52,      455.55,        3.00,        3.00
02/21/2013,  19:00:00,      463.95,      478.69,        3.00,        3.00
02/21/2013,  20:00:00,      473.23,      487.79,        3.00,        3.00
02/21/2013,  21:00:00,      466.05,      485.29,        3.00,        3.00
02/21/2013,  22:00:00,      448.53,      470.94,        3.00,        3.00
02/21/2013,  23:00:00,      425.59,      438.30,        3.00,        3.00
02/22/2013,  00:00:00,      402.57,      496.29,        3.00,        3.00
02/22/2013,  01:00:00,      392.09,      409.22,        3.00,        3.00
02/22/2013,  02:00:00,      353.58,      411.04,        3.00,        3.00
02/22/2013,  03:00:00,      282.34,      289.93,        3.00,        3.00
02/22/2013,  04:00:00,      285.40,      282.81,        3.00,        3.00
02/22/2013,  05:00:00,      282.10,      282.98,        3.00,        3.00
02/22/2013,  06:00:00,      291.20,      289.58,        3.00,        3.00
02/22/2013,  07:00:00,      317.81,      319.58,        3.00,        3.00
02/22/2013,  08:00:00,      340.79,      405.60,        3.00,        3.00
02/22/2013,  09:00:00,      374.08,      392.61,        3.00,        3.00
02/22/2013,  10:00:00,      395.21,      416.53,        3.00,        3.00
02/22/2013,  11:00:00,      399.85,      420.05,        3.00,        3.00
02/22/2013,  12:00:00,      407.59,      438.02,        3.00,        3.00
02/22/2013,  13:00:00,      409.68,      422.45,        3.00,        3.00
02/22/2013,  14:00:00,      404.73,      418.70,        3.00,        3.00
02/22/2013,  15:00:00,      395.09,      423.53,        3.00,        3.00
