Cornell University
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
01/01/2010,  00:00:00,    16588.14,    22265.00,        0.00,        0.00
01/01/2010,  01:00:00,    22112.06,    22302.00,        0.00,        0.00
01/01/2010,  02:00:00,    22113.39,    22316.50,        0.00,        0.00
01/01/2010,  03:00:00,    22113.21,    22303.50,        0.00,        0.00
01/01/2010,  04:00:00,    22110.56,    22252.00,        0.00,        0.00
01/01/2010,  05:00:00,    22115.89,    22276.00,        0.00,        0.00
01/01/2010,  06:00:00,    22115.59,    22264.00,        0.00,        0.00
01/01/2010,  07:00:00,    22115.56,    22249.50,        0.00,        0.00
01/01/2010,  08:00:00,    22119.34,    22251.50,        0.00,        0.00
01/01/2010,  09:00:00,    22117.05,    22266.00,        0.00,        0.00
01/01/2010,  10:00:00,    22115.93,    22277.50,        0.00,        0.00
01/01/2010,  11:00:00,    22114.78,    22292.00,        0.00,        0.00
01/01/2010,  12:00:00,    22113.60,    22264.50,        0.00,        0.00
01/01/2010,  13:00:00,    22116.41,    22294.50,        0.00,        0.00
01/01/2010,  14:00:00,    22112.87,    22253.00,        0.00,        0.00
01/01/2010,  15:00:00,    22113.18,    22266.00,        0.00,        0.00
01/01/2010,  16:00:00,    22116.53,    22274.00,        0.00,        0.00
01/01/2010,  17:00:00,    22115.70,    22272.50,        0.00,        0.00
01/01/2010,  18:00:00,    22112.78,    22301.00,        0.00,        0.00
01/01/2010,  19:00:00,    22113.35,    22260.50,        0.00,        0.00
01/01/2010,  20:00:00,    22115.43,    22249.50,        0.00,        0.00
01/01/2010,  21:00:00,    22113.89,    22277.50,        0.00,        0.00
01/01/2010,  22:00:00,    22116.74,    22274.00,        0.00,        0.00
01/01/2010,  23:00:00,    22114.65,    22265.50,        0.00,        0.00
01/02/2010,  00:00:00,    22115.17,    22274.50,        0.00,        0.00
01/02/2010,  01:00:00,    22115.34,    22276.00,        0.00,        0.00
01/02/2010,  02:00:00,    22439.97,    23326.50,        0.00,        0.00
01/02/2010,  03:00:00,    23116.03,    23272.50,        0.00,        0.00
01/02/2010,  04:00:00,    22852.00,    23283.00,        0.00,        0.00
01/02/2010,  05:00:00,    22113.81,    22248.50,        0.00,        0.00
01/02/2010,  06:00:00,    22111.16,    22265.50,        0.00,        0.00
01/02/2010,  07:00:00,    22116.11,    22253.00,        0.00,        0.00
01/02/2010,  08:00:00,    22113.96,    22281.00,        0.00,        0.00
01/02/2010,  09:00:00,    22115.27,    22302.00,        0.00,        0.00
01/02/2010,  10:00:00,    22115.53,    22337.50,        0.00,        0.00
01/02/2010,  11:00:00,    22111.72,    22400.00,        0.00,        0.00
01/02/2010,  12:00:00,    22112.90,    22487.00,        0.00,        0.00
01/02/2010,  13:00:00,    22112.06,    22414.00,        0.00,        0.00
