DHL - New York City 
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
04/03/2015,  13:00:00,      125.42,      170.56,        3.00,        3.00
04/03/2015,  14:00:00,      165.55,      174.56,        3.00,        3.00
04/03/2015,  15:00:00,      164.80,      169.56,        3.00,        3.00
04/03/2015,  16:00:00,      176.56,      189.56,        3.00,        3.00
04/03/2015,  17:00:00,      197.08,      204.56,        3.00,        3.00
04/03/2015,  18:00:00,      200.85,      205.64,        3.00,        3.00
04/03/2015,  19:00:00,      193.84,      202.59,        3.00,        3.00
04/03/2015,  20:00:00,      173.33,      185.59,        3.00,        3.00
04/03/2015,  21:00:00,      168.08,      176.56,        3.00,        3.00
04/03/2015,  22:00:00,      172.35,      183.64,        3.00,        3.00
04/03/2015,  23:00:00,      165.33,      172.55,        3.00,        3.00
04/04/2015,  00:00:00,      159.86,      166.64,        3.00,        3.00
04/04/2015,  01:00:00,      151.84,      159.59,        3.00,        3.00
04/04/2015,  02:00:00,      143.85,      150.56,        3.00,        3.00
04/04/2015,  03:00:00,      135.34,      143.59,        3.00,        3.00
04/04/2015,  04:00:00,      130.84,      134.59,        3.00,        3.00
04/04/2015,  05:00:00,      133.32,      137.52,        3.00,        3.00
04/04/2015,  06:00:00,      135.33,      140.59,        3.00,        3.00
04/04/2015,  07:00:00,      139.82,      149.61,        3.00,        3.00
04/04/2015,  08:00:00,      140.58,      146.56,        3.00,        3.00
04/04/2015,  09:00:00,      146.30,      151.56,        3.00,        3.00
04/04/2015,  10:00:00,      145.04,      147.55,        3.00,        3.00
04/04/2015,  11:00:00,      147.80,      154.53,        3.00,        3.00
04/04/2015,  12:00:00,      146.79,      150.56,        3.00,        3.00
04/04/2015,  13:00:00,      151.78,      157.52,        3.00,        3.00
04/04/2015,  14:00:00,      152.53,      159.53,        3.00,        3.00
04/04/2015,  15:00:00,      149.80,      154.56,        3.00,        3.00
04/04/2015,  16:00:00,      147.79,      154.55,        3.00,        3.00
04/04/2015,  17:00:00,      146.29,      149.52,        3.00,        3.00
04/04/2015,  18:00:00,      144.81,      155.53,        3.00,        3.00
04/04/2015,  19:00:00,      131.06,      136.52,        3.00,        3.00
04/04/2015,  20:00:00,      133.05,      136.56,        3.00,        3.00
04/04/2015,  21:00:00,      132.53,      140.56,        3.00,        3.00
04/04/2015,  22:00:00,      132.54,      137.56,        3.00,        3.00
04/04/2015,  23:00:00,      132.04,      137.56,        3.00,        3.00
04/05/2015,  00:00:00,      132.53,      135.48,        3.00,        3.00
04/05/2015,  01:00:00,      132.03,      137.59,        3.00,        3.00
04/05/2015,  02:00:00,      131.54,      136.56,        3.00,        3.00
04/05/2015,  03:00:00,      132.79,      136.52,        3.00,        3.00
04/05/2015,  04:00:00,      132.28,      136.53,        3.00,        3.00
