Dorado Apartments
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
04/14/2016,  00:00:00,      107.49,      114.47,        3.00,        3.00
04/14/2016,  01:00:00,      107.01,      116.59,        3.00,        3.00
04/14/2016,  02:00:00,      105.80,      113.16,        3.00,        3.00
04/14/2016,  03:00:00,      104.20,      112.05,        3.00,        3.00
04/14/2016,  04:00:00,      103.48,      111.29,        3.00,        3.00
04/14/2016,  05:00:00,      107.63,      116.64,        3.00,        3.00
04/14/2016,  06:00:00,      106.54,      118.21,        3.00,        3.00
04/14/2016,  07:00:00,       99.17,      149.61,        3.00,        3.00
04/14/2016,  08:00:00,        0.00,        0.00,        3.00,        3.00
04/14/2016,  12:00:00,       63.19,      109.55,        3.00,        3.00
04/14/2016,  13:00:00,       88.11,      100.52,        3.00,        3.00
04/14/2016,  14:00:00,       94.69,      111.67,        3.00,        3.00
04/14/2016,  15:00:00,       97.78,      107.22,        3.00,        3.00
04/14/2016,  16:00:00,       98.35,      112.67,        3.00,        3.00
04/14/2016,  17:00:00,      104.30,      119.34,        3.00,        3.00
04/14/2016,  18:00:00,      110.53,      130.97,        3.00,        3.00
04/14/2016,  19:00:00,      118.71,      136.85,        3.00,        3.00
04/14/2016,  20:00:00,      120.13,      131.17,        3.00,        3.00
04/14/2016,  21:00:00,      117.55,      130.84,        3.00,        3.00
04/14/2016,  22:00:00,      112.82,      120.87,        3.00,        3.00
04/14/2016,  23:00:00,      106.71,      127.69,        3.00,        3.00
04/15/2016,  00:00:00,       95.04,      111.75,        3.00,        3.00
04/15/2016,  01:00:00,       90.79,       99.71,        3.00,        3.00
04/15/2016,  02:00:00,       89.24,       95.70,        3.00,        3.00
04/15/2016,  03:00:00,       90.04,      101.97,        3.00,        3.00
04/15/2016,  04:00:00,       93.50,      105.27,        3.00,        3.00
04/15/2016,  05:00:00,       99.72,      124.55,        3.00,        3.00
04/15/2016,  06:00:00,      103.23,      118.07,        3.00,        3.00
04/15/2016,  07:00:00,      100.42,      115.72,        3.00,        3.00
04/15/2016,  08:00:00,       97.27,      111.39,        3.00,        3.00
04/15/2016,  09:00:00,       96.08,      112.86,        3.00,        3.00
04/15/2016,  10:00:00,       96.04,      106.83,        3.00,        3.00
04/15/2016,  11:00:00,       96.25,      119.30,        3.00,        3.00
04/15/2016,  12:00:00,       96.70,      113.95,        3.00,        3.00
04/15/2016,  13:00:00,       96.33,      109.13,        3.00,        3.00
04/15/2016,  14:00:00,       98.86,      117.69,        3.00,        3.00
04/15/2016,  15:00:00,       98.84,      114.29,        3.00,        3.00
04/15/2016,  16:00:00,       98.29,      110.87,        3.00,        3.00
04/15/2016,  17:00:00,       99.83,      118.16,        3.00,        3.00
04/15/2016,  18:00:00,      105.63,      118.61,        3.00,        3.00
