Doral Arrowwood Hotel Conference Center
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
12/05/2012,  03:00:00,      384.24,      588.78,        3.00,        3.00
12/05/2012,  04:00:00,      572.13,      590.26,        3.00,        3.00
12/05/2012,  05:00:00,      605.75,      630.03,        3.00,        3.00
12/05/2012,  06:00:00,      618.34,      631.15,        3.00,        3.00
12/05/2012,  07:00:00,      641.10,      661.54,        3.00,        3.00
12/05/2012,  08:00:00,      643.97,      690.27,        3.00,        3.00
12/05/2012,  09:00:00,      618.06,      647.93,        3.00,        3.00
12/05/2012,  10:00:00,      606.19,      624.30,        3.00,        3.00
12/05/2012,  11:00:00,      603.62,      614.29,        3.00,        3.00
12/05/2012,  12:00:00,      585.60,      606.78,        3.00,        3.00
12/05/2012,  13:00:00,      606.75,      630.30,        3.00,        3.00
12/05/2012,  14:00:00,      602.54,      637.54,        3.00,        3.00
12/05/2012,  15:00:00,      600.09,      613.92,        3.00,        3.00
12/05/2012,  16:00:00,      618.62,      670.46,        3.00,        3.00
12/05/2012,  17:00:00,      665.16,      689.62,        3.00,        3.00
12/05/2012,  18:00:00,      667.47,      679.15,        3.00,        3.00
12/05/2012,  19:00:00,      647.47,      678.39,        3.00,        3.00
12/05/2012,  20:00:00,      648.31,      664.90,        3.00,        3.00
12/05/2012,  21:00:00,      625.78,      655.51,        3.00,        3.00
12/05/2012,  22:00:00,      610.38,      637.14,        3.00,        3.00
12/05/2012,  23:00:00,      591.91,      624.42,        3.00,        3.00
12/06/2012,  00:00:00,      582.72,      602.26,        3.00,        3.00
12/06/2012,  01:00:00,      577.94,      598.14,        3.00,        3.00
12/06/2012,  02:00:00,      574.75,      596.28,        3.00,        3.00
12/06/2012,  03:00:00,      573.15,      600.65,        3.00,        3.00
12/06/2012,  04:00:00,      582.84,      611.64,        3.00,        3.00
12/06/2012,  05:00:00,      601.16,      638.64,        3.00,        3.00
12/06/2012,  06:00:00,      603.56,      617.26,        3.00,        3.00
12/06/2012,  07:00:00,      629.00,      653.64,        3.00,        3.00
12/06/2012,  08:00:00,      650.28,      673.50,        3.00,        3.00
12/06/2012,  09:00:00,      639.54,      737.26,        3.00,        3.00
12/06/2012,  10:00:00,      645.87,      667.08,        3.00,        3.00
12/06/2012,  11:00:00,      652.44,      764.21,        3.00,        3.00
12/06/2012,  12:00:00,      650.16,      756.81,        3.00,        3.00
12/06/2012,  13:00:00,      640.19,      676.56,        3.00,        3.00
12/06/2012,  14:00:00,      640.60,      759.01,        3.00,        3.00
12/06/2012,  15:00:00,      634.28,      654.78,        3.00,        3.00
12/06/2012,  16:00:00,      634.50,      661.90,        3.00,        3.00
12/06/2012,  17:00:00,      671.18,      686.64,        3.00,        3.00
12/06/2012,  18:00:00,      676.07,      691.14,        3.00,        3.00
