East Rochester Elementary School
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
08/12/2008,  09:00:00,      491.86,      530.73,        3.00,        3.00
08/12/2008,  10:00:00,      351.16,      474.96,        3.00,        3.00
08/12/2008,  11:00:00,      455.94,      507.07,        3.00,        3.00
08/12/2008,  12:00:00,      393.41,      398.91,        3.00,        3.00
08/12/2008,  13:00:00,      388.75,      396.36,        0.00,        0.00
08/12/2008,  14:00:00,      374.61,      377.78,        3.00,        3.00
08/12/2008,  15:00:00,      342.29,      371.87,        3.00,        3.00
08/12/2008,  16:00:00,      308.70,      321.16,        3.00,        3.00
08/12/2008,  17:00:00,      296.87,      304.27,        3.00,        3.00
08/12/2008,  18:00:00,      286.73,      300.05,        3.00,        3.00
08/12/2008,  19:00:00,      300.04,      305.11,        3.00,        3.00
08/12/2008,  20:00:00,      301.52,      304.27,        3.00,        3.00
08/12/2008,  21:00:00,      219.98,      298.35,        3.00,        3.00
08/12/2008,  22:00:00,      177.52,      188.51,        3.00,        3.00
08/12/2008,  23:00:00,      178.99,      194.41,        3.00,        3.00
08/13/2008,  00:00:00,      176.67,      180.90,        3.00,        3.00
08/13/2008,  01:00:00,      238.36,      308.49,        3.00,        3.00
08/13/2008,  02:00:00,      229.70,      245.97,        3.00,        3.00
08/13/2008,  03:00:00,      222.09,      224.84,        3.00,        3.00
08/13/2008,  04:00:00,      243.21,      250.19,        3.00,        3.00
08/13/2008,  05:00:00,      258.85,      283.99,        3.00,        3.00
08/13/2008,  06:00:00,      283.77,      291.60,        3.00,        3.00
08/13/2008,  07:00:00,      309.55,      315.25,        3.00,        3.00
08/13/2008,  08:00:00,      313.35,      315.25,        3.00,        3.00
08/13/2008,  09:00:00,      306.37,      309.33,        3.00,        3.00
08/13/2008,  10:00:00,      300.88,      305.96,        3.00,        3.00
08/13/2008,  11:00:00,      472.00,      510.45,        3.00,        3.00
08/13/2008,  12:00:00,      416.86,      490.16,        3.00,        3.00
08/13/2008,  13:00:00,      270.46,      275.54,        3.00,        3.00
08/13/2008,  14:00:00,      255.46,      260.32,        3.00,        3.00
08/13/2008,  15:00:00,      224.41,      234.98,        3.00,        3.00
08/13/2008,  16:00:00,      205.82,      213.01,        3.00,        3.00
08/13/2008,  17:00:00,      211.95,      214.69,        3.00,        3.00
08/13/2008,  18:00:00,      217.86,      239.20,        3.00,        3.00
08/13/2008,  19:00:00,      237.72,      240.90,        3.00,        3.00
08/13/2008,  20:00:00,      233.92,      240.89,        3.00,        3.00
08/13/2008,  21:00:00,      206.67,      226.53,        3.00,        3.00
08/13/2008,  22:00:00,      194.21,      201.18,        3.00,        3.00
08/13/2008,  23:00:00,      183.85,      184.27,        3.00,        3.00
08/14/2008,  00:00:00,      191.24,      195.26,        3.00,        3.00
