Floyd Bennett Field
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
07/21/2005,  00:00:00,       52.14,       52.42,        0.00,        0.00
07/21/2005,  01:00:00,       51.90,       52.29,        0.00,        0.00
07/21/2005,  02:00:00,       52.24,       52.55,        0.00,        0.00
07/21/2005,  03:00:00,       53.52,       54.26,        0.00,        0.00
07/21/2005,  11:00:00,       47.67,       48.51,        0.00,        0.00
07/21/2005,  12:00:00,       48.10,       48.59,        0.00,        0.00
07/21/2005,  13:00:00,       31.88,       48.16,        0.00,        0.00
07/21/2005,  17:00:00,       47.18,       50.13,        0.00,        0.00
07/21/2005,  18:00:00,       50.41,       50.81,        0.00,        0.00
07/21/2005,  19:00:00,       50.95,       51.69,        0.00,        0.00
07/21/2005,  20:00:00,       51.85,       52.06,        0.00,        0.00
07/21/2005,  21:00:00,       51.97,       52.18,        0.00,        0.00
07/21/2005,  22:00:00,       51.72,       51.97,        0.00,        0.00
07/21/2005,  23:00:00,       51.75,       52.44,        0.00,        0.00
07/22/2005,  00:00:00,       52.37,       52.67,        0.00,        0.00
07/22/2005,  01:00:00,       52.72,       53.30,        0.00,        0.00
07/22/2005,  02:00:00,       51.89,       52.94,        0.00,        0.00
07/22/2005,  03:00:00,       51.83,       52.34,        0.00,        0.00
07/22/2005,  04:00:00,       40.17,       54.35,        0.00,        0.00
07/22/2005,  05:00:00,       53.28,       54.63,        0.00,        0.00
07/22/2005,  06:00:00,       53.84,       54.49,        0.00,        0.00
07/22/2005,  07:00:00,       51.65,       52.90,        0.00,        0.00
07/22/2005,  08:00:00,       50.57,       51.17,        0.00,        0.00
07/22/2005,  09:00:00,       49.51,       49.97,        0.00,        0.00
07/22/2005,  10:00:00,       48.56,       49.13,        0.00,        0.00
07/22/2005,  11:00:00,       48.44,       48.77,        0.00,        0.00
07/22/2005,  12:00:00,       47.74,       48.30,        0.00,        0.00
07/22/2005,  13:00:00,       47.27,       47.73,        0.00,        0.00
07/22/2005,  14:00:00,       47.39,       47.62,        0.00,        0.00
07/22/2005,  15:00:00,       47.63,       48.04,        0.00,        0.00
07/22/2005,  16:00:00,       48.23,       48.67,        0.00,        0.00
07/22/2005,  17:00:00,       48.90,       49.52,        0.00,        0.00
07/22/2005,  18:00:00,       49.98,       50.71,        0.00,        0.00
07/22/2005,  19:00:00,       50.65,       50.91,        0.00,        0.00
07/22/2005,  20:00:00,       48.95,       50.29,        0.00,        0.00
07/22/2005,  21:00:00,       48.77,       49.25,        0.00,        0.00
07/22/2005,  22:00:00,       49.45,       50.31,        0.00,        0.00
07/22/2005,  23:00:00,       49.98,       50.71,        0.00,        0.00
07/23/2005,  00:00:00,       51.12,       51.43,        0.00,        0.00
07/23/2005,  01:00:00,       50.95,       51.07,        0.00,        0.00
