Fonda-Fultonville CSD
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
08/29/2007,  23:00:00,      373.23,      382.96,        3.00,        3.00
08/30/2007,  00:00:00,      357.08,      363.68,        3.00,        3.00
08/30/2007,  01:00:00,      360.65,      372.73,        3.00,        3.00
08/30/2007,  02:00:00,      351.56,      379.94,        3.00,        3.00
08/30/2007,  03:00:00,      318.91,      330.25,        3.00,        3.00
08/30/2007,  04:00:00,      290.21,      304.25,        3.00,        3.00
08/30/2007,  05:00:00,      380.05,      416.42,        3.00,        3.00
08/30/2007,  06:00:00,      381.47,      386.59,        3.00,        3.00
08/30/2007,  07:00:00,      450.48,      494.65,        3.00,        3.00
08/30/2007,  08:00:00,      449.23,      463.86,        3.00,        3.00
08/30/2007,  09:00:00,      469.64,      484.66,        3.00,        3.00
08/30/2007,  10:00:00,      468.67,      484.59,        3.00,        3.00
08/30/2007,  11:00:00,      493.04,      506.06,        3.00,        3.00
08/30/2007,  12:00:00,      485.46,      507.29,        3.00,        3.00
08/30/2007,  13:00:00,      465.57,      478.31,        3.00,        3.00
08/30/2007,  14:00:00,      451.65,      461.67,        3.00,        3.00
08/30/2007,  15:00:00,      443.83,      450.23,        3.00,        3.00
08/30/2007,  16:00:00,      451.73,      469.25,        3.00,        3.00
08/30/2007,  17:00:00,      458.70,      462.93,        3.00,        3.00
08/30/2007,  18:00:00,      466.70,      477.12,        3.00,        3.00
08/30/2007,  19:00:00,      450.38,      472.69,        3.00,        3.00
08/30/2007,  20:00:00,      408.27,      431.69,        3.00,        3.00
08/30/2007,  21:00:00,      389.90,      428.13,        3.00,        3.00
08/30/2007,  22:00:00,      389.14,      402.87,        3.00,        3.00
08/30/2007,  23:00:00,      395.50,      405.73,        3.00,        3.00
08/31/2007,  00:00:00,      382.28,      392.29,        3.00,        3.00
08/31/2007,  01:00:00,      375.96,      385.21,        3.00,        3.00
08/31/2007,  02:00:00,      354.94,      379.30,        3.00,        3.00
08/31/2007,  03:00:00,      335.55,      365.71,        3.00,        3.00
08/31/2007,  04:00:00,      304.14,      319.60,        3.00,        3.00
08/31/2007,  05:00:00,      404.38,      445.33,        3.00,        3.00
08/31/2007,  06:00:00,      439.78,      472.06,        3.00,        3.00
08/31/2007,  07:00:00,      451.02,      466.45,        3.00,        3.00
08/31/2007,  08:00:00,      533.57,      616.54,        3.00,        3.00
08/31/2007,  09:00:00,      532.31,      677.97,        3.00,        3.00
08/31/2007,  10:00:00,      517.41,      534.77,        3.00,        3.00
08/31/2007,  11:00:00,      467.97,      486.33,        3.00,        3.00
08/31/2007,  12:00:00,      549.03,      633.89,        3.00,        3.00
08/31/2007,  13:00:00,      444.64,      475.43,        3.00,        3.00
08/31/2007,  14:00:00,      416.27,      460.88,        3.00,        3.00
