Gateway One Building
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
10/01/2015,  00:00:00,      812.00,      816.00,        3.00,        3.00
10/01/2015,  01:00:00,      779.00,      804.00,        3.00,        3.00
10/01/2015,  02:00:00,      744.00,      748.00,        3.00,        3.00
10/01/2015,  03:00:00,      741.00,      744.00,        3.00,        3.00
10/01/2015,  04:00:00,      734.00,      736.00,        3.00,        3.00
10/01/2015,  05:00:00,      809.02,     1027.90,        3.00,        3.00
10/01/2015,  06:00:00,     1160.05,     1327.30,        3.00,        3.00
10/01/2015,  07:00:00,     1133.03,     1145.40,        3.00,        3.00
10/01/2015,  08:00:00,     1143.05,     1182.70,        3.00,        3.00
10/01/2015,  09:00:00,     1254.65,     1292.80,        3.00,        3.00
10/01/2015,  10:00:00,     1304.67,     1327.00,        3.00,        3.00
10/01/2015,  11:00:00,     1318.62,     1330.90,        3.00,        3.00
10/01/2015,  12:00:00,     1348.95,     1371.40,        3.00,        3.00
10/01/2015,  13:00:00,     1383.12,     1394.40,        3.00,        3.00
10/01/2015,  14:00:00,     1418.40,     1441.30,        3.00,        3.00
10/01/2015,  15:00:00,     1362.47,     1374.60,        3.00,        3.00
10/01/2015,  16:00:00,     1327.65,     1349.20,        3.00,        3.00
10/01/2015,  17:00:00,     1274.78,     1303.60,        3.00,        3.00
10/01/2015,  18:00:00,     1042.03,     1219.90,        3.00,        3.00
10/01/2015,  19:00:00,      912.65,      928.10,        3.00,        3.00
10/01/2015,  20:00:00,      874.83,      885.30,        3.00,        3.00
10/01/2015,  21:00:00,      838.75,      853.80,        3.00,        3.00
10/01/2015,  22:00:00,      684.17,     1164.30,        3.00,        3.00
10/01/2015,  23:00:00,      755.00,      768.00,        3.00,        3.00
10/02/2015,  00:00:00,      747.00,      748.00,        3.00,        3.00
10/02/2015,  01:00:00,      727.00,      744.00,        3.00,        3.00
10/02/2015,  02:00:00,      706.00,      708.00,        3.00,        3.00
10/02/2015,  03:00:00,      705.00,      708.00,        3.00,        3.00
10/02/2015,  04:00:00,      701.00,      704.00,        3.00,        3.00
10/02/2015,  05:00:00,      724.95,      811.80,        3.00,        3.00
10/02/2015,  06:00:00,     1140.70,     1447.80,        3.00,        3.00
10/02/2015,  07:00:00,     1037.15,     1068.60,        3.00,        3.00
10/02/2015,  08:00:00,     1127.20,     1173.20,        3.00,        3.00
10/02/2015,  09:00:00,     1241.55,     1264.60,        3.00,        3.00
10/02/2015,  10:00:00,     1283.17,     1292.30,        3.00,        3.00
10/02/2015,  11:00:00,     1316.88,     1350.80,        3.00,        3.00
10/02/2015,  12:00:00,     1373.10,     1388.30,        3.00,        3.00
10/02/2015,  13:00:00,     1383.92,     1392.90,        3.00,        3.00
10/02/2015,  14:00:00,     1389.75,     1406.70,        3.00,        3.00
