Georgetown
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
11/01/2015,  00:00:00,      171.47,      234.00,        3.00,        3.00
11/01/2015,  01:00:00,      170.18,      225.00,        3.00,        3.00
11/01/2015,  02:00:00,      163.22,      192.00,        3.00,        3.00
11/01/2015,  03:00:00,      166.64,      230.00,        3.00,        3.00
11/01/2015,  04:00:00,      160.03,      188.00,        3.00,        3.00
11/01/2015,  05:00:00,      165.32,      302.00,        3.00,        3.00
11/01/2015,  06:00:00,      159.03,      184.00,        3.00,        3.00
11/01/2015,  07:00:00,      167.97,      236.00,        3.00,        3.00
11/01/2015,  08:00:00,      172.22,      233.00,        3.00,        3.00
11/01/2015,  09:00:00,      175.97,      232.00,        3.00,        3.00
11/01/2015,  10:00:00,      184.51,      242.00,        3.00,        3.00
11/01/2015,  11:00:00,      174.99,      236.00,        3.00,        3.00
11/01/2015,  12:00:00,      171.71,      234.50,        3.00,        3.00
11/01/2015,  13:00:00,      175.95,      225.00,        3.00,        3.00
11/01/2015,  14:00:00,      181.72,      234.00,        3.00,        3.00
11/01/2015,  15:00:00,      176.72,      232.00,        3.00,        3.00
11/01/2015,  16:00:00,      171.98,      242.00,        3.00,        3.00
11/01/2015,  17:00:00,      189.08,      246.00,        3.00,        3.00
11/01/2015,  18:00:00,      183.71,      266.00,        3.00,        3.00
11/01/2015,  19:00:00,      182.87,      254.00,        3.00,        3.00
11/01/2015,  20:00:00,      182.11,      238.00,        3.00,        3.00
11/01/2015,  21:00:00,      173.48,      236.00,        3.00,        3.00
11/01/2015,  22:00:00,      171.92,      220.00,        3.00,        3.00
11/01/2015,  23:00:00,      163.38,      184.00,        3.00,        3.00
11/02/2015,  00:00:00,      169.22,      220.00,        3.00,        3.00
11/02/2015,  01:00:00,      165.43,      214.00,        3.00,        3.00
11/02/2015,  02:00:00,      156.32,      171.00,        3.00,        3.00
11/02/2015,  03:00:00,      156.87,      172.00,        3.00,        3.00
11/02/2015,  04:00:00,      162.51,      213.00,        3.00,        3.00
11/02/2015,  05:00:00,      159.93,      188.00,        3.00,        3.00
11/02/2015,  06:00:00,      172.12,      226.00,        3.00,        3.00
11/02/2015,  07:00:00,      187.92,      246.50,        3.00,        3.00
11/02/2015,  08:00:00,      178.53,      224.00,        3.00,        3.00
11/02/2015,  09:00:00,      185.95,      240.00,        3.00,        3.00
11/02/2015,  10:00:00,      179.28,      243.00,        3.00,        3.00
11/02/2015,  11:00:00,      170.31,      238.00,        3.00,        3.00
11/02/2015,  12:00:00,      175.78,      222.00,        3.00,        3.00
11/02/2015,  13:00:00,      175.74,      224.00,        3.00,        3.00
11/02/2015,  14:00:00,      178.82,      232.00,        3.00,        3.00
11/02/2015,  15:00:00,      178.16,      238.00,        3.00,        3.00
