Gramercy House
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
05/01/2016,  00:00:00,       13.89,       16.73,        3.00,        3.00
05/01/2016,  01:00:00,       13.50,       15.54,        3.00,        3.00
05/01/2016,  02:00:00,       13.21,       16.40,        3.00,        3.00
05/01/2016,  03:00:00,       12.77,       14.96,        3.00,        3.00
05/01/2016,  04:00:00,       12.79,       15.89,        3.00,        3.00
05/01/2016,  05:00:00,       14.94,       18.36,        3.00,        3.00
05/01/2016,  06:00:00,       17.55,       21.05,        3.00,        3.00
05/01/2016,  07:00:00,       20.01,       24.05,        3.00,        3.00
05/01/2016,  08:00:00,       23.88,       28.71,        3.00,        3.00
05/01/2016,  09:00:00,       23.18,       28.09,        3.00,        3.00
05/01/2016,  10:00:00,       22.72,       27.16,        3.00,        3.00
05/01/2016,  11:00:00,       24.37,       29.48,        3.00,        3.00
05/01/2016,  12:00:00,       23.96,       27.84,        3.00,        3.00
05/01/2016,  13:00:00,       25.84,       31.12,        3.00,        3.00
05/01/2016,  14:00:00,       27.13,       32.26,        3.00,        3.00
05/01/2016,  15:00:00,       30.16,       33.61,        3.00,        3.00
05/01/2016,  16:00:00,       31.24,       36.08,        3.00,        3.00
05/01/2016,  17:00:00,       34.86,       44.06,        3.00,        3.00
05/01/2016,  18:00:00,       37.77,       41.80,        3.00,        3.00
05/01/2016,  19:00:00,       36.85,       42.33,        3.00,        3.00
05/01/2016,  20:00:00,       34.40,       39.84,        3.00,        3.00
05/01/2016,  21:00:00,       27.87,       34.25,        3.00,        3.00
05/01/2016,  22:00:00,       20.51,       24.88,        3.00,        3.00
05/01/2016,  23:00:00,       16.85,       20.02,        3.00,        3.00
05/02/2016,  00:00:00,       14.18,       16.19,        3.00,        3.00
05/02/2016,  01:00:00,       13.83,       17.66,        3.00,        3.00
05/02/2016,  02:00:00,       13.59,       16.28,        3.00,        3.00
05/02/2016,  03:00:00,       13.43,       17.31,        3.00,        3.00
05/02/2016,  04:00:00,       13.96,       18.61,        3.00,        3.00
05/02/2016,  05:00:00,       16.84,       24.50,        3.00,        3.00
05/02/2016,  06:00:00,       22.73,       32.78,        3.00,        3.00
05/02/2016,  07:00:00,       25.14,       33.51,        3.00,        3.00
05/02/2016,  08:00:00,       25.22,       29.54,        3.00,        3.00
05/02/2016,  09:00:00,       21.25,       24.36,        3.00,        3.00
05/02/2016,  10:00:00,       22.22,       27.93,        3.00,        3.00
05/02/2016,  11:00:00,       22.44,       25.93,        3.00,        3.00
05/02/2016,  12:00:00,       21.77,       28.04,        3.00,        3.00
05/02/2016,  13:00:00,       19.96,       23.95,        3.00,        3.00
05/02/2016,  14:00:00,       23.05,       27.17,        3.00,        3.00
05/02/2016,  15:00:00,       22.16,       26.78,        3.00,        3.00
