Sea Rise 1
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
08/30/2006,  00:00:00,      938.50,       41.20,        1.00,        3.00
08/30/2006,  01:00:00,      838.60,       41.45,        1.00,        3.00
08/30/2006,  02:00:00,      938.60,       41.38,        1.00,        3.00
08/30/2006,  03:00:00,      838.60,       41.15,        1.00,        3.00
08/30/2006,  04:00:00,      838.50,       40.17,        1.00,        3.00
08/30/2006,  05:00:00,      765.90,       83.11,        1.00,        3.00
08/30/2006,  06:00:00,      777.20,       84.80,        1.00,        3.00
08/30/2006,  07:00:00,      677.10,       80.90,        1.00,        3.00
08/30/2006,  08:00:00,    22777.10,       84.47,        1.00,        3.00
08/30/2006,  09:00:00,    47053.10,       85.51,        1.00,        3.00
08/30/2006,  10:00:00,      288.20,       82.00,        3.00,        3.00
08/30/2006,  11:00:00,      290.40,       85.90,        3.00,        3.00
08/30/2006,  12:00:00,      290.90,       84.30,        3.00,        3.00
08/30/2006,  13:00:00,      289.90,       83.56,        3.00,        3.00
08/30/2006,  14:00:00,      291.80,       84.34,        3.00,        3.00
08/30/2006,  15:00:00,      296.80,       84.73,        3.00,        3.00
08/30/2006,  16:00:00,      306.60,      323.96,        3.00,        3.00
08/30/2006,  17:00:00,      314.50,      343.56,        3.00,        3.00
08/30/2006,  18:00:00,      341.60,      372.53,        3.00,        3.00
08/30/2006,  19:00:00,      380.70,      412.03,        3.00,        3.00
08/30/2006,  20:00:00,      389.50,      403.17,        3.00,        3.00
08/30/2006,  21:00:00,      390.70,      405.11,        3.00,        3.00
08/30/2006,  22:00:00,      371.90,      400.42,        3.00,        3.00
08/30/2006,  23:00:00,      352.70,      362.15,        3.00,        3.00
08/31/2006,  00:00:00,      323.80,      332.93,        3.00,        3.00
08/31/2006,  01:00:00,      311.00,      314.23,        3.00,        3.00
08/31/2006,  02:00:00,      296.00,      306.71,        3.00,        3.00
08/31/2006,  03:00:00,      283.20,      295.78,        3.00,        3.00
08/31/2006,  04:00:00,      279.10,      283.21,        3.00,        3.00
08/31/2006,  05:00:00,      276.20,      333.15,        3.00,        3.00
08/31/2006,  06:00:00,      259.20,      275.34,        3.00,        3.00
08/31/2006,  07:00:00,      258.30,      273.99,        3.00,        3.00
08/31/2006,  08:00:00,      261.30,      283.78,        3.00,        3.00
08/31/2006,  09:00:00,      268.20,      279.17,        3.00,        3.00
08/31/2006,  10:00:00,      270.10,      280.86,        3.00,        3.00
08/31/2006,  11:00:00,      275.00,      284.44,        3.00,        3.00
08/31/2006,  12:00:00,      277.10,      301.08,        3.00,        3.00
08/31/2006,  13:00:00,      274.00,      284.74,        3.00,        3.00
08/31/2006,  14:00:00,      276.90,      280.48,        3.00,        3.00
08/31/2006,  15:00:00,      276.70,      288.18,        3.00,        3.00
