Harbec Plastics New
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
10/26/2015,  00:00:00,      411.07,      439.30,        3.00,        3.00
10/26/2015,  01:00:00,      410.17,      423.40,        3.00,        3.00
10/26/2015,  02:00:00,      420.52,      455.20,        3.00,        3.00
10/26/2015,  03:00:00,      426.02,      468.90,        3.00,        3.00
10/26/2015,  04:00:00,      431.02,      439.90,        3.00,        3.00
10/26/2015,  05:00:00,      453.55,      484.80,        3.00,        3.00
10/26/2015,  06:00:00,      512.33,      540.50,        3.00,        3.00
10/26/2015,  07:00:00,      429.32,      566.70,        3.00,        3.00
10/26/2015,  08:00:00,      442.55,      516.30,        3.00,        3.00
10/26/2015,  09:00:00,      465.23,      532.30,        3.00,        3.00
10/26/2015,  10:00:00,      479.75,      546.10,        3.00,        3.00
10/26/2015,  11:00:00,      542.88,      587.50,        3.00,        3.00
10/26/2015,  12:00:00,      519.73,      582.00,        3.00,        3.00
10/26/2015,  13:00:00,      555.80,      605.80,        3.00,        3.00
10/26/2015,  14:00:00,      571.25,      594.20,        3.00,        3.00
10/26/2015,  15:00:00,      535.45,      577.90,        3.00,        3.00
10/26/2015,  16:00:00,      494.18,      551.70,        3.00,        3.00
10/26/2015,  17:00:00,      475.18,      520.50,        3.00,        3.00
10/26/2015,  18:00:00,      472.52,      531.90,        3.00,        3.00
10/26/2015,  19:00:00,      466.12,      541.40,        3.00,        3.00
10/26/2015,  20:00:00,      441.95,      500.60,        3.00,        3.00
10/26/2015,  21:00:00,      451.83,      508.50,        3.00,        3.00
10/26/2015,  22:00:00,      429.40,      473.40,        3.00,        3.00
10/26/2015,  23:00:00,      465.67,      518.40,        3.00,        3.00
10/27/2015,  00:00:00,      436.62,      487.60,        3.00,        3.00
10/27/2015,  01:00:00,      443.10,      493.60,        3.00,        3.00
10/27/2015,  02:00:00,      465.10,      491.20,        3.00,        3.00
10/27/2015,  03:00:00,      441.42,      479.10,        3.00,        3.00
10/27/2015,  04:00:00,      445.33,      474.50,        3.00,        3.00
10/27/2015,  05:00:00,      424.82,      474.00,        3.00,        3.00
10/27/2015,  06:00:00,      488.00,      549.70,        3.00,        3.00
10/27/2015,  07:00:00,      512.05,      568.50,        3.00,        3.00
10/27/2015,  08:00:00,      538.65,      550.70,        3.00,        3.00
10/27/2015,  09:00:00,      525.52,      602.40,        3.00,        3.00
10/27/2015,  10:00:00,      551.60,      621.00,        3.00,        3.00
10/27/2015,  11:00:00,      579.95,      654.70,        3.00,        3.00
10/27/2015,  12:00:00,      582.00,      605.80,        3.00,        3.00
10/27/2015,  13:00:00,      586.12,      615.30,        3.00,        3.00
10/27/2015,  14:00:00,      585.23,      616.60,        3.00,        3.00
10/27/2015,  15:00:00,      547.92,      565.10,        3.00,        3.00
