Hayden on the Hudson
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
04/06/2016,  11:00:00,        0.77,        0.00,        0.00,        0.00
04/06/2016,  12:00:00,    29318.08,      104.15,        1.00,        3.00
04/06/2016,  13:00:00,       83.91,      109.19,        3.00,        3.00
04/06/2016,  14:00:00,       91.15,      174.13,        3.00,        3.00
04/06/2016,  15:00:00,       93.12,      174.14,        3.00,        3.00
04/06/2016,  16:00:00,       89.91,      177.63,        3.00,        3.00
04/06/2016,  17:00:00,       90.94,      103.85,        3.00,        3.00
04/06/2016,  18:00:00,       92.25,      105.27,        3.00,        3.00
04/06/2016,  19:00:00,       92.51,      107.40,        3.00,        3.00
04/06/2016,  20:00:00,       90.76,      101.76,        3.00,        3.00
04/06/2016,  21:00:00,       41.63,      101.87,        3.00,        3.00
04/06/2016,  22:00:00,       87.61,       95.58,        3.00,        3.00
04/06/2016,  23:00:00,       88.42,      102.28,        3.00,        3.00
04/07/2016,  00:00:00,       87.21,       93.11,        3.00,        3.00
04/07/2016,  01:00:00,       87.04,       92.68,        3.00,        3.00
04/07/2016,  02:00:00,       87.54,       94.30,        3.00,        3.00
04/07/2016,  03:00:00,       87.49,       95.08,        3.00,        3.00
04/07/2016,  04:00:00,       90.62,       98.34,        3.00,        3.00
04/07/2016,  05:00:00,       39.98,       97.46,        3.00,        3.00
04/07/2016,  06:00:00,       91.26,      104.96,        3.00,        3.00
04/07/2016,  07:00:00,       94.22,      113.32,        0.00,        0.00
04/07/2016,  08:00:00,       95.11,      107.64,        0.00,        0.00
04/07/2016,  09:00:00,       99.25,      126.93,        0.00,        0.00
04/07/2016,  10:00:00,       91.74,      177.32,        3.00,        3.00
04/07/2016,  11:00:00,       89.41,      105.30,        0.00,        0.00
04/07/2016,  12:00:00,       92.08,      110.19,        0.00,        0.00
04/07/2016,  13:00:00,       94.04,      114.43,        0.00,        0.00
04/07/2016,  14:00:00,       91.28,      120.69,        0.00,        0.00
04/07/2016,  15:00:00,       42.65,      118.15,        0.00,        0.00
04/07/2016,  16:00:00,       92.18,      114.77,        0.00,        0.00
04/07/2016,  17:00:00,       92.86,      105.58,        0.00,        0.00
04/07/2016,  18:00:00,       94.03,      100.34,        0.00,        0.00
04/07/2016,  19:00:00,       92.53,      111.85,        0.00,        0.00
04/07/2016,  20:00:00,       91.85,      108.15,        0.00,        0.00
04/07/2016,  21:00:00,       91.42,       99.41,        0.00,        0.00
04/07/2016,  22:00:00,       90.65,      105.69,        0.00,        0.00
04/07/2016,  23:00:00,       94.03,      106.69,        0.00,        0.00
04/08/2016,  00:00:00,       93.44,      104.33,        0.00,        0.00
04/08/2016,  01:00:00,       93.71,      102.84,        0.00,        0.00
04/08/2016,  02:00:00,       90.18,       95.11,        0.00,        0.00
