Hazel Towers
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
09/29/2006,  00:00:00,      197.93,      199.96,        3.00,        3.00
09/29/2006,  01:00:00,      183.53,      196.28,        3.00,        3.00
09/29/2006,  02:00:00,      176.12,      175.85,        3.00,        3.00
09/29/2006,  03:00:00,      181.58,      190.27,        3.00,        3.00
09/29/2006,  04:00:00,      177.12,      187.04,        3.00,        3.00
09/29/2006,  05:00:00,      182.39,      201.12,        3.00,        3.00
09/29/2006,  06:00:00,      206.31,      221.77,        3.00,        3.00
09/29/2006,  07:00:00,      200.90,      214.84,        3.00,        3.00
09/29/2006,  08:00:00,      205.67,      215.00,        3.00,        3.00
09/29/2006,  09:00:00,      194.06,      208.12,        3.00,        3.00
09/29/2006,  10:00:00,      195.67,      203.54,        3.00,        3.00
09/29/2006,  11:00:00,      182.34,      188.73,        3.00,        3.00
09/29/2006,  12:00:00,      179.24,      186.02,        3.00,        3.00
09/29/2006,  13:00:00,      185.36,      205.75,        3.00,        3.00
09/29/2006,  14:00:00,      172.78,      177.87,        3.00,        3.00
09/29/2006,  15:00:00,      193.87,      199.81,        3.00,        3.00
09/29/2006,  16:00:00,      205.82,      220.21,        3.00,        3.00
09/29/2006,  17:00:00,      224.87,      238.25,        3.00,        3.00
09/29/2006,  18:00:00,      253.17,      267.34,        3.00,        3.00
09/29/2006,  19:00:00,      253.18,      281.73,        3.00,        3.00
09/29/2006,  20:00:00,      254.93,      274.75,        3.00,        3.00
09/29/2006,  21:00:00,      229.13,      236.78,        3.00,        3.00
09/29/2006,  22:00:00,      208.71,      209.55,        3.00,        3.00
09/29/2006,  23:00:00,      180.60,      190.98,        3.00,        3.00
09/30/2006,  00:00:00,      173.93,      183.65,        3.00,        3.00
09/30/2006,  01:00:00,      156.13,      163.11,        3.00,        3.00
09/30/2006,  02:00:00,      150.10,      153.49,        3.00,        3.00
09/30/2006,  03:00:00,      150.78,      150.89,        3.00,        3.00
09/30/2006,  04:00:00,      147.58,      150.47,        3.00,        3.00
09/30/2006,  05:00:00,      148.44,      154.42,        3.00,        3.00
09/30/2006,  06:00:00,      157.31,      184.69,        3.00,        3.00
09/30/2006,  07:00:00,      184.30,      191.42,        3.00,        3.00
09/30/2006,  08:00:00,      183.32,      202.49,        3.00,        3.00
09/30/2006,  09:00:00,      197.30,      206.95,        3.00,        3.00
09/30/2006,  10:00:00,      196.89,      208.77,        3.00,        3.00
09/30/2006,  11:00:00,      210.45,      227.47,        3.00,        3.00
09/30/2006,  12:00:00,      209.25,      215.45,        3.00,        3.00
09/30/2006,  13:00:00,      180.49,      291.30,        3.00,        3.00
09/30/2006,  14:00:00,      207.36,      231.84,        3.00,        3.00
09/30/2006,  15:00:00,      222.71,      229.38,        3.00,        3.00
