Hilton-New York
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
09/07/2007,  00:00:00,        0.00,     4015.00,        0.00,        0.00
09/07/2007,  01:00:00,        0.00,     3859.00,        0.00,        0.00
09/07/2007,  02:00:00,        0.00,     3782.00,        0.00,        0.00
09/07/2007,  03:00:00,        0.00,     3721.00,        0.00,        0.00
09/07/2007,  04:00:00,        0.00,     3713.00,        0.00,        0.00
09/07/2007,  05:00:00,        0.00,     3810.00,        0.00,        0.00
09/07/2007,  06:00:00,        0.00,     4023.00,        0.00,        0.00
09/07/2007,  07:00:00,        0.00,     4193.00,        0.00,        0.00
09/07/2007,  08:00:00,        0.00,     4318.00,        0.00,        0.00
09/07/2007,  09:00:00,        0.00,     4359.00,        0.00,        0.00
09/07/2007,  10:00:00,        0.00,     4366.00,        0.00,        0.00
09/07/2007,  11:00:00,        0.00,     4602.00,        0.00,        0.00
09/07/2007,  12:00:00,        0.00,     4726.00,        0.00,        0.00
09/07/2007,  13:00:00,        0.00,     4706.00,        0.00,        0.00
09/07/2007,  14:00:00,        0.00,     4711.00,        0.00,        0.00
09/07/2007,  15:00:00,        0.00,     4769.00,        0.00,        0.00
09/07/2007,  16:00:00,        0.00,     4803.00,        0.00,        0.00
09/07/2007,  17:00:00,        0.00,     4696.00,        0.00,        0.00
09/07/2007,  18:00:00,        0.00,     4671.00,        0.00,        0.00
09/07/2007,  19:00:00,        0.00,     4702.00,        0.00,        0.00
09/07/2007,  20:00:00,        0.00,     4696.00,        0.00,        0.00
09/07/2007,  21:00:00,        0.00,     4539.00,        0.00,        0.00
09/07/2007,  22:00:00,        0.00,     4442.00,        0.00,        0.00
09/07/2007,  23:00:00,        0.00,     4342.00,        0.00,        0.00
09/08/2007,  00:00:00,        0.00,     4299.00,        0.00,        0.00
09/08/2007,  01:00:00,        0.00,     4220.00,        0.00,        0.00
09/08/2007,  02:00:00,        0.00,     4127.00,        0.00,        0.00
09/08/2007,  03:00:00,        0.00,     4032.00,        0.00,        0.00
09/08/2007,  04:00:00,        0.00,     3972.00,        0.00,        0.00
09/08/2007,  05:00:00,        0.00,     3979.00,        0.00,        0.00
09/08/2007,  06:00:00,        0.00,     4008.00,        0.00,        0.00
09/08/2007,  07:00:00,        0.00,     4131.00,        0.00,        0.00
09/08/2007,  08:00:00,        0.00,     4240.00,        0.00,        0.00
09/08/2007,  09:00:00,        0.00,     4333.00,        0.00,        0.00
09/08/2007,  10:00:00,        0.00,     4332.00,        0.00,        0.00
09/08/2007,  11:00:00,        0.00,     4349.00,        0.00,        0.00
09/08/2007,  12:00:00,        0.00,     4339.00,        0.00,        0.00
09/08/2007,  13:00:00,        0.00,     4403.00,        0.00,        0.00
09/08/2007,  14:00:00,        0.00,     4436.00,        0.00,        0.00
