Hotel Belleclaire
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
08/01/2016,  00:00:00,       96.87,      104.00,        3.00,        3.00
08/01/2016,  01:00:00,       92.60,       98.00,        3.00,        3.00
08/01/2016,  02:00:00,       86.75,       96.00,        3.00,        3.00
08/01/2016,  03:00:00,       85.87,       93.00,        3.00,        3.00
08/01/2016,  04:00:00,       84.77,       93.00,        3.00,        3.00
08/01/2016,  05:00:00,       91.70,      100.00,        3.00,        3.00
08/01/2016,  06:00:00,       96.32,      105.00,        3.00,        3.00
08/01/2016,  07:00:00,      104.53,      112.00,        3.00,        3.00
08/01/2016,  08:00:00,      106.87,      114.00,        3.00,        3.00
08/01/2016,  09:00:00,      109.98,      120.00,        3.00,        3.00
08/01/2016,  10:00:00,      110.35,      119.00,        3.00,        3.00
08/01/2016,  11:00:00,      106.35,      118.00,        3.00,        3.00
08/01/2016,  12:00:00,      106.65,      118.00,        3.00,        3.00
08/01/2016,  13:00:00,      118.65,      128.00,        3.00,        3.00
08/01/2016,  14:00:00,      120.17,      129.00,        3.00,        3.00
08/01/2016,  15:00:00,      125.80,      133.00,        3.00,        3.00
08/01/2016,  16:00:00,      124.67,      136.00,        3.00,        3.00
08/01/2016,  17:00:00,      115.70,      132.00,        3.00,        3.00
08/01/2016,  18:00:00,      111.58,      122.00,        3.00,        3.00
08/01/2016,  19:00:00,      110.40,      116.00,        3.00,        3.00
08/01/2016,  20:00:00,      111.32,      121.00,        3.00,        3.00
08/01/2016,  21:00:00,      108.28,      117.00,        3.00,        3.00
08/01/2016,  22:00:00,      100.63,      110.00,        3.00,        3.00
08/01/2016,  23:00:00,       90.63,      103.00,        3.00,        3.00
08/02/2016,  00:00:00,       87.10,       94.00,        3.00,        3.00
08/02/2016,  01:00:00,       80.38,       89.00,        3.00,        3.00
08/02/2016,  02:00:00,       76.52,       84.00,        3.00,        3.00
08/02/2016,  03:00:00,       74.72,       80.00,        3.00,        3.00
08/02/2016,  04:00:00,       73.33,       82.00,        3.00,        3.00
08/02/2016,  05:00:00,       82.87,       94.00,        3.00,        3.00
08/02/2016,  06:00:00,       93.82,      103.00,        3.00,        3.00
08/02/2016,  07:00:00,       97.77,      103.00,        3.00,        3.00
08/02/2016,  08:00:00,      104.60,      116.00,        3.00,        3.00
08/02/2016,  09:00:00,      101.23,      109.00,        3.00,        3.00
08/02/2016,  10:00:00,      103.82,      111.00,        3.00,        3.00
08/02/2016,  11:00:00,      105.90,      118.00,        3.00,        3.00
08/02/2016,  12:00:00,      102.77,      114.00,        3.00,        3.00
08/02/2016,  13:00:00,      106.98,      114.00,        3.00,        3.00
08/02/2016,  14:00:00,      107.33,      116.00,        3.00,        3.00
08/02/2016,  15:00:00,      108.53,      118.00,        3.00,        3.00
