Hunter's Point B
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
06/01/2016,  00:00:00,      121.26,      169.68,        3.00,        3.00
06/01/2016,  01:00:00,      164.20,      170.95,        3.00,        3.00
06/01/2016,  02:00:00,      161.58,      172.40,        1.00,        3.00
06/01/2016,  03:00:00,      158.52,      164.63,        1.00,        3.00
06/01/2016,  04:00:00,      157.82,      173.99,        1.00,        3.00
06/01/2016,  05:00:00,      152.17,      166.61,        3.00,        3.00
06/01/2016,  06:00:00,      169.20,      173.58,        3.00,        3.00
06/01/2016,  07:00:00,      171.40,      171.61,        3.00,        3.00
06/01/2016,  08:00:00,      170.89,      172.00,        3.00,        3.00
06/01/2016,  09:00:00,      170.34,      171.61,        3.00,        3.00
06/01/2016,  10:00:00,      170.22,      170.41,        3.00,        3.00
06/01/2016,  11:00:00,      169.90,      170.39,        3.00,        3.00
06/01/2016,  12:00:00,      168.85,      170.20,        3.00,        3.00
06/01/2016,  13:00:00,      167.22,      170.20,        3.00,        3.00
06/01/2016,  14:00:00,      167.35,      171.84,        3.00,        3.00
06/01/2016,  15:00:00,      168.16,      172.67,        3.00,        3.00
06/01/2016,  16:00:00,      168.70,      173.38,        3.00,        3.00
06/01/2016,  17:00:00,      170.58,      172.99,        3.00,        3.00
06/01/2016,  18:00:00,      169.87,      174.13,        3.00,        3.00
06/01/2016,  19:00:00,      170.58,      173.90,        3.00,        3.00
06/01/2016,  20:00:00,      167.69,      174.37,        3.00,        3.00
06/01/2016,  21:00:00,      155.20,      167.32,        3.00,        3.00
06/01/2016,  22:00:00,      161.28,      171.80,        1.00,        3.00
06/01/2016,  23:00:00,      156.18,      163.19,        1.00,        3.00
06/02/2016,  00:00:00,      154.06,      161.98,        1.00,        3.00
06/02/2016,  01:00:00,      153.32,      159.20,        1.00,        3.00
06/02/2016,  02:00:00,      152.41,      163.74,        1.00,        3.00
06/02/2016,  03:00:00,      151.81,      154.95,        1.00,        3.00
06/02/2016,  04:00:00,      154.54,      159.42,        1.00,        3.00
06/02/2016,  05:00:00,      153.82,      172.77,        3.00,        3.00
06/02/2016,  06:00:00,      170.40,      177.34,        3.00,        3.00
06/02/2016,  07:00:00,      174.96,      175.41,        3.00,        3.00
06/02/2016,  08:00:00,      174.57,      175.54,        3.00,        3.00
06/02/2016,  09:00:00,      173.87,      175.08,        3.00,        3.00
06/02/2016,  10:00:00,      173.50,      175.34,        3.00,        3.00
06/02/2016,  11:00:00,      172.66,      174.51,        3.00,        3.00
06/02/2016,  12:00:00,      173.78,      174.32,        3.00,        3.00
06/02/2016,  13:00:00,      173.27,      173.55,        3.00,        3.00
06/02/2016,  14:00:00,      172.64,      173.32,        3.00,        3.00
06/02/2016,  15:00:00,      173.74,      174.57,        3.00,        3.00
