Jewish Home and Hospital Greenwall Pavilion
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
03/30/2012,  15:00:00,       10.72,      117.54,        0.00,        0.00
03/30/2012,  16:00:00,      108.57,      122.28,        0.00,        0.00
03/30/2012,  17:00:00,      108.77,      120.54,        0.00,        0.00
03/30/2012,  18:00:00,      108.05,      121.62,        0.00,        0.00
03/30/2012,  19:00:00,      109.40,      121.50,        0.00,        0.00
03/30/2012,  20:00:00,      107.87,      121.44,        0.00,        0.00
03/30/2012,  21:00:00,      108.64,      123.48,        0.00,        0.00
03/30/2012,  22:00:00,      108.29,      121.62,        0.00,        0.00
03/30/2012,  23:00:00,      107.82,      120.66,        0.00,        0.00
03/31/2012,  00:00:00,      107.72,      131.52,        0.00,        0.00
03/31/2012,  01:00:00,      108.10,      120.72,        0.00,        0.00
03/31/2012,  02:00:00,      108.31,      121.20,        0.00,        0.00
03/31/2012,  03:00:00,      108.88,      122.76,        0.00,        0.00
03/31/2012,  04:00:00,      107.50,      120.12,        0.00,        0.00
03/31/2012,  05:00:00,      105.61,      133.56,        0.00,        0.00
03/31/2012,  06:00:00,      108.82,      123.12,        0.00,        0.00
03/31/2012,  07:00:00,      103.58,      132.60,        0.00,        0.00
03/31/2012,  08:00:00,      105.18,      133.44,        0.00,        0.00
03/31/2012,  09:00:00,       96.91,      122.16,        0.00,        0.00
03/31/2012,  10:00:00,       62.94,       66.61,        0.00,        0.00
03/31/2012,  11:00:00,       62.92,       67.32,        0.00,        0.00
03/31/2012,  12:00:00,       62.60,       65.53,        0.00,        0.00
03/31/2012,  13:00:00,       63.18,       66.36,        0.00,        0.00
03/31/2012,  14:00:00,       59.99,       64.32,        0.00,        0.00
03/31/2012,  15:00:00,       99.34,      129.23,        0.00,        0.00
03/31/2012,  16:00:00,      107.31,      118.43,        0.00,        0.00
03/31/2012,  17:00:00,      108.78,      119.87,        0.00,        0.00
03/31/2012,  18:00:00,      107.99,      120.85,        0.00,        0.00
03/31/2012,  19:00:00,      108.45,      121.67,        0.00,        0.00
03/31/2012,  20:00:00,      107.30,      120.71,        0.00,        0.00
03/31/2012,  21:00:00,      108.51,      120.24,        0.00,        0.00
03/31/2012,  22:00:00,      106.65,      121.56,        0.00,        0.00
03/31/2012,  23:00:00,      107.98,      122.05,        0.00,        0.00
04/01/2012,  00:00:00,      107.39,      120.11,        0.00,        0.00
04/01/2012,  01:00:00,      106.86,      120.24,        0.00,        0.00
04/01/2012,  02:00:00,      107.75,      122.15,        0.00,        0.00
04/01/2012,  03:00:00,      107.38,      119.63,        0.00,        0.00
04/01/2012,  04:00:00,      107.26,      121.31,        0.00,        0.00
04/01/2012,  05:00:00,      107.72,      122.17,        0.00,        0.00
04/01/2012,  06:00:00,      106.75,      121.21,        0.00,        0.00
