Macy's - Brooklyn
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
10/23/2008,  23:00:00,      375.63,      392.35,        3.00,        3.00
10/24/2008,  00:00:00,      384.85,      425.95,        3.00,        3.00
10/24/2008,  01:00:00,      363.79,      386.37,        3.00,        3.00
10/24/2008,  02:00:00,      371.43,      403.75,        3.00,        3.00
10/24/2008,  03:00:00,      388.41,      412.07,        3.00,        3.00
10/24/2008,  04:00:00,      391.18,      423.93,        3.00,        3.00
10/24/2008,  05:00:00,      432.73,      500.68,        3.00,        3.00
10/24/2008,  06:00:00,      523.07,      532.13,        3.00,        3.00
10/24/2008,  07:00:00,      550.02,      624.99,        3.00,        3.00
10/24/2008,  08:00:00,      615.00,      615.34,        3.00,        3.00
10/24/2008,  09:00:00,      685.69,      857.85,        3.00,        3.00
10/24/2008,  10:00:00,     1196.32,     1724.37,        3.00,        3.00
10/24/2008,  11:00:00,     1247.98,     1341.22,        3.00,        3.00
10/24/2008,  12:00:00,     1252.53,     1340.80,        3.00,        3.00
10/24/2008,  13:00:00,     1252.04,     1342.56,        3.00,        3.00
10/24/2008,  14:00:00,     1234.55,     1398.27,        3.00,        3.00
10/24/2008,  15:00:00,     1242.63,     1334.36,        3.00,        3.00
10/24/2008,  16:00:00,     1251.99,     1443.36,        3.00,        3.00
10/24/2008,  17:00:00,     1219.06,     1243.28,        3.00,        3.00
10/24/2008,  18:00:00,     1174.18,     1179.00,        3.00,        3.00
10/24/2008,  19:00:00,     1145.19,     1148.12,        3.00,        3.00
10/24/2008,  20:00:00,     1020.13,     1741.80,        3.00,        3.00
10/24/2008,  21:00:00,      451.27,      496.70,        3.00,        3.00
10/24/2008,  22:00:00,      387.32,      398.38,        3.00,        3.00
10/24/2008,  23:00:00,      372.90,      400.00,        3.00,        3.00
10/25/2008,  00:00:00,      363.67,      354.80,        3.00,        3.00
10/25/2008,  01:00:00,      374.40,      423.01,        3.00,        3.00
10/25/2008,  02:00:00,      369.05,      405.04,        3.00,        3.00
10/25/2008,  03:00:00,      384.67,      392.20,        3.00,        3.00
10/25/2008,  04:00:00,      393.79,      412.35,        3.00,        3.00
10/25/2008,  05:00:00,      418.88,      469.79,        3.00,        3.00
10/25/2008,  06:00:00,      496.77,      503.85,        3.00,        3.00
10/25/2008,  07:00:00,      540.37,      667.00,        3.00,        3.00
10/25/2008,  08:00:00,      564.47,      568.75,        3.00,        3.00
10/25/2008,  09:00:00,      605.73,      804.80,        3.00,        3.00
10/25/2008,  10:00:00,     1093.39,     1377.47,        3.00,        3.00
10/25/2008,  11:00:00,     1150.19,     1358.07,        3.00,        3.00
10/25/2008,  12:00:00,     1168.99,     1221.98,        3.00,        3.00
10/25/2008,  13:00:00,     1148.11,     1153.48,        3.00,        3.00
