Madison House 
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
10/15/2015,  00:00:00,       28.87,       32.43,        0.00,        0.00
10/15/2015,  01:00:00,       27.75,       31.88,        0.00,        0.00
10/15/2015,  02:00:00,       27.05,       31.56,        0.00,        0.00
10/15/2015,  03:00:00,       25.91,       30.11,        0.00,        0.00
10/15/2015,  04:00:00,       28.34,       31.52,        0.00,        0.00
10/15/2015,  05:00:00,       33.24,       38.05,        0.00,        0.00
10/15/2015,  06:00:00,       34.10,       39.67,        0.00,        0.00
10/15/2015,  07:00:00,       34.79,       41.66,        0.00,        0.00
10/15/2015,  08:00:00,       34.11,       38.55,        0.00,        0.00
10/15/2015,  09:00:00,       33.58,       41.34,        3.00,        3.00
10/15/2015,  10:00:00,       35.32,       40.19,        3.00,        3.00
10/15/2015,  11:00:00,       29.89,       75.99,        3.00,        3.00
10/15/2015,  12:00:00,       37.66,       69.72,        3.00,        3.00
10/15/2015,  13:00:00,       43.43,       61.08,        3.00,        3.00
10/15/2015,  14:00:00,       47.70,       64.42,        3.00,        3.00
10/15/2015,  15:00:00,       51.00,       69.53,        3.00,        3.00
10/15/2015,  16:00:00,       54.71,       66.32,        3.00,        3.00
10/15/2015,  17:00:00,       58.52,       66.95,        3.00,        3.00
10/15/2015,  18:00:00,       63.43,       68.78,        3.00,        3.00
10/15/2015,  19:00:00,       64.42,       70.66,        3.00,        3.00
10/15/2015,  20:00:00,       60.06,       69.84,        3.00,        3.00
10/15/2015,  21:00:00,       56.75,       67.86,        3.00,        3.00
10/15/2015,  22:00:00,       48.92,       61.95,        3.00,        3.00
10/15/2015,  23:00:00,       40.43,       51.96,        3.00,        3.00
10/16/2015,  00:00:00,       35.94,       42.91,        3.00,        3.00
10/16/2015,  01:00:00,       34.21,       40.77,        3.00,        3.00
10/16/2015,  02:00:00,       34.50,       43.45,        3.00,        3.00
10/16/2015,  03:00:00,       34.13,       44.18,        3.00,        3.00
10/16/2015,  04:00:00,       33.62,       43.74,        3.00,        3.00
10/16/2015,  05:00:00,       42.20,       54.81,        3.00,        3.00
10/16/2015,  06:00:00,       45.02,       60.56,        3.00,        3.00
10/16/2015,  07:00:00,       41.04,       58.97,        3.00,        3.00
10/16/2015,  08:00:00,       39.49,       53.08,        3.00,        3.00
10/16/2015,  09:00:00,       39.07,       51.15,        3.00,        3.00
10/16/2015,  10:00:00,       36.29,       45.27,        3.00,        3.00
10/16/2015,  11:00:00,       39.11,       53.46,        3.00,        3.00
10/16/2015,  12:00:00,       39.82,       50.38,        3.00,        3.00
10/16/2015,  13:00:00,       39.25,       53.50,        3.00,        3.00
10/16/2015,  14:00:00,       45.82,       59.58,        3.00,        3.00
10/16/2015,  15:00:00,       50.18,       65.42,        3.00,        3.00
