Matlink Farm
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
10/28/2004,  00:00:00,        0.00,        0.00,        3.00,        3.00
10/28/2004,  01:00:00,        0.00,        0.00,        3.00,        3.00
10/28/2004,  02:00:00,        0.00,        0.00,        3.00,        3.00
10/28/2004,  03:00:00,        0.00,        0.00,        3.00,        3.00
10/28/2004,  04:00:00,        0.00,        0.00,        3.00,        3.00
10/28/2004,  05:00:00,        0.00,        0.00,        3.00,        3.00
10/28/2004,  06:00:00,        0.00,        0.00,        3.00,        3.00
10/28/2004,  07:00:00,        0.00,        0.00,        3.00,        3.00
10/28/2004,  08:00:00,        0.00,        0.00,        3.00,        3.00
10/28/2004,  09:00:00,        0.00,        0.00,        3.00,        3.00
10/28/2004,  10:00:00,        0.00,        0.00,        3.00,        3.00
10/28/2004,  11:00:00,        0.00,        0.00,        3.00,        3.00
10/28/2004,  12:00:00,        0.00,        0.00,        3.00,        3.00
10/28/2004,  13:00:00,        0.00,        0.00,        3.00,        3.00
10/28/2004,  14:00:00,        0.00,        0.00,        3.00,        3.00
10/28/2004,  15:00:00,        0.00,        0.00,        3.00,        3.00
10/28/2004,  16:00:00,        0.00,        0.00,        3.00,        3.00
10/28/2004,  17:00:00,        0.00,        0.00,        3.00,        3.00
10/28/2004,  18:00:00,        0.00,        0.00,        3.00,        3.00
10/28/2004,  19:00:00,        0.00,        0.00,        1.00,        3.00
10/28/2004,  20:00:00,      145.97,        0.00,        1.00,        3.00
10/28/2004,  21:00:00,        0.00,        0.00,        3.00,        3.00
10/28/2004,  22:00:00,        0.00,        0.00,        3.00,        3.00
10/28/2004,  23:00:00,        0.00,        0.00,        3.00,        3.00
10/29/2004,  00:00:00,        0.00,        0.00,        3.00,        3.00
10/29/2004,  01:00:00,        0.00,        0.00,        3.00,        3.00
10/29/2004,  02:00:00,        0.00,        0.00,        3.00,        3.00
10/29/2004,  03:00:00,        0.00,        0.00,        3.00,        3.00
10/29/2004,  04:00:00,        0.00,        0.00,        3.00,        3.00
10/29/2004,  05:00:00,        0.00,        0.00,        3.00,        3.00
10/29/2004,  06:00:00,        0.00,        0.00,        3.00,        3.00
10/29/2004,  07:00:00,        0.00,        0.00,        3.00,        3.00
10/29/2004,  08:00:00,        0.00,        0.00,        3.00,        3.00
10/29/2004,  09:00:00,        0.00,        0.00,        3.00,        3.00
10/29/2004,  10:00:00,  3103019.70,        1.77,        1.00,        3.00
10/29/2004,  11:00:00,      130.00,        3.59,        3.00,        3.00
10/29/2004,  12:00:00,      139.65,       10.13,        3.00,        3.00
10/29/2004,  13:00:00,      140.03,       15.32,        3.00,        3.00
10/29/2004,  14:00:00,       89.62,       12.10,        3.00,        2.00
10/29/2004,  15:00:00,        0.00,       13.60,        3.00,        2.00
