Millennium Broadway
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
02/01/2016,  00:00:00,      250.22,      300.95,        0.00,        0.00
02/01/2016,  01:00:00,      280.98,      296.18,        0.00,        0.00
02/01/2016,  02:00:00,      247.41,      254.44,        0.00,        0.00
02/01/2016,  03:00:00,      229.10,      242.41,        0.00,        0.00
02/01/2016,  04:00:00,      226.32,      263.68,        0.00,        0.00
02/01/2016,  05:00:00,      243.46,      262.29,        0.00,        0.00
02/01/2016,  06:00:00,      221.38,      224.53,        0.00,        0.00
02/01/2016,  07:00:00,      253.20,      282.16,        0.00,        0.00
02/01/2016,  08:00:00,      276.55,      296.77,        0.00,        0.00
02/01/2016,  09:00:00,      267.55,      297.17,        0.00,        0.00
02/01/2016,  10:00:00,      274.06,      296.17,        0.00,        0.00
02/01/2016,  11:00:00,      384.70,      513.38,        0.00,        0.00
02/01/2016,  12:00:00,      426.44,      460.52,        0.00,        0.00
02/01/2016,  13:00:00,      438.00,      466.79,        0.00,        0.00
02/01/2016,  14:00:00,      460.73,      482.69,        0.00,        0.00
02/01/2016,  15:00:00,      427.54,      463.81,        0.00,        0.00
02/01/2016,  16:00:00,      413.55,      427.64,        0.00,        0.00
02/01/2016,  17:00:00,      407.30,      447.42,        0.00,        0.00
02/01/2016,  18:00:00,      402.85,      453.98,        0.00,        0.00
02/01/2016,  19:00:00,      387.34,      438.76,        0.00,        0.00
02/01/2016,  20:00:00,      381.90,      412.63,        0.00,        0.00
02/01/2016,  21:00:00,      401.65,      469.67,        0.00,        0.00
02/01/2016,  22:00:00,      396.44,      415.41,        0.00,        0.00
02/01/2016,  23:00:00,      177.05,      423.12,        0.00,        0.00
02/02/2016,  00:00:00,      374.94,      401.60,        0.00,        0.00
02/02/2016,  01:00:00,      349.48,      380.74,        0.00,        0.00
02/02/2016,  02:00:00,      356.59,      368.81,        0.00,        0.00
02/02/2016,  03:00:00,      368.86,      424.66,        0.00,        0.00
02/02/2016,  04:00:00,      359.62,      396.73,        0.00,        0.00
02/02/2016,  05:00:00,      341.83,      352.31,        0.00,        0.00
02/02/2016,  06:00:00,      353.14,      360.06,        0.00,        0.00
02/02/2016,  07:00:00,      403.39,      426.74,        0.00,        0.00
02/02/2016,  08:00:00,      407.89,      463.81,        0.00,        0.00
02/02/2016,  09:00:00,      430.79,      473.94,        0.00,        0.00
02/02/2016,  10:00:00,      455.28,      472.55,        0.00,        0.00
02/02/2016,  11:00:00,      341.24,      446.21,        0.00,        0.00
02/02/2016,  12:00:00,      371.01,      456.76,        0.00,        0.00
02/02/2016,  13:00:00,      243.14,      447.22,        0.00,        0.00
02/02/2016,  14:00:00,       22.29,       98.74,        0.00,        0.00
02/02/2016,  15:00:00,      185.47,      252.07,        0.00,        0.00
