New York Presbyterian Hospital
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
11/16/2009,  00:00:00,     5826.36,     7836.17,        3.00,        3.00
11/16/2009,  01:00:00,     7382.95,     7536.62,        3.00,        3.00
11/16/2009,  02:00:00,     7337.56,     7378.27,        3.00,        3.00
11/16/2009,  03:00:00,     7262.14,     7301.53,        3.00,        3.00
11/16/2009,  04:00:00,     7169.66,     7254.97,        3.00,        3.00
11/16/2009,  05:00:00,     7370.53,     7393.93,        3.00,        3.00
11/16/2009,  06:00:00,     7475.29,     7541.45,        3.00,        3.00
11/16/2009,  07:00:00,     7570.35,     7603.94,        3.00,        3.00
11/16/2009,  08:00:00,     7748.56,     7866.93,        3.00,        3.00
11/16/2009,  09:00:00,     8049.59,     8127.23,        3.00,        3.00
11/16/2009,  10:00:00,     8181.93,     8232.78,        3.00,        3.00
11/16/2009,  11:00:00,     8519.58,     8808.87,        3.00,        3.00
11/16/2009,  12:00:00,     8641.23,     8677.12,        3.00,        3.00
11/16/2009,  13:00:00,     8639.81,     8704.16,        3.00,        3.00
11/16/2009,  14:00:00,     8640.47,     8706.19,        3.00,        3.00
11/16/2009,  15:00:00,     8593.75,     8662.75,        3.00,        3.00
11/16/2009,  16:00:00,     8488.42,     8567.97,        3.00,        3.00
11/16/2009,  17:00:00,     8443.67,     8557.95,        3.00,        3.00
11/16/2009,  18:00:00,     7992.26,     8165.34,        3.00,        3.00
11/16/2009,  19:00:00,     7775.03,     7914.81,        3.00,        3.00
11/16/2009,  20:00:00,     7651.01,     7729.12,        3.00,        3.00
11/16/2009,  21:00:00,     7576.58,     7639.98,        3.00,        3.00
11/16/2009,  22:00:00,     7475.82,     7587.74,        3.00,        3.00
11/16/2009,  23:00:00,     7360.21,     7400.46,        3.00,        3.00
11/17/2009,  00:00:00,     7090.79,     7201.95,        3.00,        3.00
11/17/2009,  01:00:00,     7064.56,     7125.56,        3.00,        3.00
11/17/2009,  02:00:00,     7081.89,     7109.84,        3.00,        3.00
11/17/2009,  03:00:00,     6598.13,     7039.59,        3.00,        3.00
11/17/2009,  04:00:00,     5827.34,     5848.45,        3.00,        3.00
11/17/2009,  05:00:00,     4630.45,     6362.64,        3.00,        3.00
11/17/2009,  06:00:00,     5568.68,     6216.54,        3.00,        3.00
11/17/2009,  07:00:00,     6346.75,     6440.49,        3.00,        3.00
11/17/2009,  08:00:00,     6650.07,     6753.63,        3.00,        3.00
11/17/2009,  09:00:00,     6917.69,     7016.84,        3.00,        3.00
11/17/2009,  10:00:00,     8286.56,     8557.22,        3.00,        3.00
11/17/2009,  11:00:00,     8526.28,     8636.07,        3.00,        3.00
11/17/2009,  12:00:00,     8291.91,     8434.75,        3.00,        3.00
11/17/2009,  13:00:00,     8303.61,     8363.74,        3.00,        3.00
