NYC Marriott Downtown
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
06/13/2010,  13:00:00,      288.38,      546.27,        0.00,        0.00
06/13/2010,  14:00:00,      546.22,      567.26,        0.00,        0.00
06/13/2010,  15:00:00,      564.22,      582.36,        0.00,        0.00
06/13/2010,  16:00:00,      569.22,      584.57,        0.00,        0.00
06/13/2010,  17:00:00,      566.22,      583.39,        0.00,        0.00
06/13/2010,  18:00:00,      575.22,      589.37,        0.00,        0.00
06/13/2010,  19:00:00,      577.22,      590.20,        0.00,        0.00
06/13/2010,  20:00:00,      571.22,      588.46,        0.00,        0.00
06/13/2010,  21:00:00,      567.22,      581.94,        0.00,        0.00
06/13/2010,  22:00:00,      574.22,      591.82,        0.00,        0.00
06/13/2010,  23:00:00,      544.22,      591.07,        0.00,        0.00
06/14/2010,  00:00:00,      521.22,      567.19,        0.00,        0.00
06/14/2010,  01:00:00,      519.22,      560.12,        0.00,        0.00
06/14/2010,  02:00:00,      555.22,      594.61,        0.00,        0.00
06/14/2010,  03:00:00,      572.22,      595.12,        0.00,        0.00
06/14/2010,  04:00:00,      574.22,      599.53,        0.00,        0.00
06/14/2010,  05:00:00,      583.22,      598.49,        0.00,        0.00
06/14/2010,  06:00:00,      584.22,      598.28,        0.00,        0.00
06/14/2010,  07:00:00,      581.22,      596.00,        0.00,        0.00
06/14/2010,  08:00:00,      578.22,      592.90,        0.00,        0.00
06/14/2010,  09:00:00,      576.22,      589.46,        0.00,        0.00
06/14/2010,  10:00:00,      572.22,      587.12,        0.00,        0.00
06/14/2010,  11:00:00,      565.22,      585.64,        0.00,        0.00
06/14/2010,  12:00:00,      552.22,      571.14,        0.00,        0.00
06/14/2010,  13:00:00,      539.22,      564.08,        0.00,        0.00
06/14/2010,  14:00:00,      532.22,      544.00,        0.00,        0.00
06/14/2010,  15:00:00,      530.22,      540.54,        0.00,        0.00
06/14/2010,  16:00:00,      532.22,      543.61,        0.00,        0.00
06/14/2010,  17:00:00,      538.22,      551.29,        0.00,        0.00
06/14/2010,  18:00:00,      534.22,      551.44,        0.00,        0.00
06/14/2010,  19:00:00,      548.22,      561.19,        0.00,        0.00
06/14/2010,  20:00:00,      544.22,      557.79,        0.00,        0.00
06/14/2010,  21:00:00,      547.22,      563.00,        0.00,        0.00
06/14/2010,  22:00:00,      562.22,      578.53,        0.00,        0.00
06/14/2010,  23:00:00,      546.22,      580.17,        0.00,        0.00
06/15/2010,  00:00:00,      529.22,      565.56,        0.00,        0.00
06/15/2010,  01:00:00,      536.22,      568.32,        0.00,        0.00
06/15/2010,  02:00:00,      562.22,      579.94,        0.00,        0.00
06/15/2010,  03:00:00,      562.22,      587.17,        0.00,        0.00
06/15/2010,  04:00:00,      562.22,      592.73,        0.00,        0.00
