Octagon
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
05/17/2011,  12:00:00,       63.00,      227.08,        0.00,        0.00
05/17/2011,  13:00:00,      222.00,      227.86,        0.00,        0.00
05/17/2011,  14:00:00,      181.99,      227.30,        0.00,        0.00
05/17/2011,  15:00:00,      223.01,      227.32,        0.00,        0.00
05/17/2011,  16:00:00,      224.99,      227.52,        0.00,        0.00
05/17/2011,  17:00:00,      222.00,      227.42,        0.00,        0.00
05/17/2011,  18:00:00,      223.01,      227.56,        0.00,        0.00
05/17/2011,  19:00:00,      222.99,      227.40,        0.00,        0.00
05/17/2011,  20:00:00,      225.01,      227.34,        0.00,        0.00
05/17/2011,  21:00:00,      222.99,      227.36,        0.00,        0.00
05/17/2011,  22:00:00,      222.00,      227.82,        0.00,        0.00
05/17/2011,  23:00:00,      223.01,      228.04,        0.00,        0.00
05/18/2011,  00:00:00,      225.01,      228.10,        0.00,        0.00
05/18/2011,  01:00:00,      222.00,      227.44,        0.00,        0.00
05/18/2011,  02:00:00,      222.99,      227.66,        0.00,        0.00
05/18/2011,  03:00:00,      223.01,      228.10,        0.00,        0.00
05/18/2011,  04:00:00,      222.00,      227.62,        0.00,        0.00
05/18/2011,  05:00:00,      226.00,      227.42,        0.00,        0.00
05/18/2011,  06:00:00,      222.00,      228.04,        0.00,        0.00
05/18/2011,  07:00:00,      222.99,      227.90,        0.00,        0.00
05/18/2011,  08:00:00,      223.01,      227.72,        0.00,        0.00
05/18/2011,  09:00:00,      224.99,      227.28,        0.00,        0.00
05/18/2011,  10:00:00,      223.01,      227.76,        0.00,        0.00
05/18/2011,  11:00:00,      222.99,      227.32,        0.00,        0.00
05/18/2011,  12:00:00,      222.00,      227.12,        0.00,        0.00
05/18/2011,  13:00:00,      223.01,      227.20,        0.00,        0.00
05/18/2011,  14:00:00,      225.01,      227.50,        0.00,        0.00
05/18/2011,  15:00:00,      222.99,      227.58,        0.00,        0.00
05/18/2011,  16:00:00,      223.01,      227.66,        0.00,        0.00
05/18/2011,  17:00:00,      222.00,      228.02,        0.00,        0.00
05/18/2011,  18:00:00,      224.99,      227.90,        0.00,        0.00
05/18/2011,  19:00:00,      223.01,      228.12,        0.00,        0.00
05/18/2011,  20:00:00,      222.99,      227.90,        0.00,        0.00
05/18/2011,  21:00:00,      223.01,      227.14,        0.00,        0.00
05/18/2011,  22:00:00,      224.99,      226.98,        0.00,        0.00
05/18/2011,  23:00:00,      222.00,      227.00,        0.00,        0.00
05/19/2011,  00:00:00,      223.01,      227.58,        0.00,        0.00
05/19/2011,  01:00:00,      222.99,      227.18,        0.00,        0.00
05/19/2011,  02:00:00,      222.00,      227.78,        0.00,        0.00
05/19/2011,  03:00:00,      222.00,      227.58,        0.00,        0.00
