One Lincoln
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
10/01/2015,  12:00:00,      112.30,      769.58,        3.00,        3.00
10/01/2015,  13:00:00,      301.58,      756.43,        3.00,        3.00
10/01/2015,  14:00:00,      708.01,      748.78,        3.00,        3.00
10/01/2015,  15:00:00,      680.60,      712.91,        3.00,        3.00
10/01/2015,  16:00:00,      665.71,      701.34,        3.00,        3.00
10/01/2015,  17:00:00,      651.19,      692.39,        3.00,        3.00
10/01/2015,  18:00:00,      611.46,      645.57,        3.00,        3.00
10/01/2015,  19:00:00,      581.17,      620.68,        3.00,        3.00
10/01/2015,  20:00:00,      576.84,      620.72,        3.00,        3.00
10/01/2015,  21:00:00,      583.25,      611.01,        3.00,        3.00
10/01/2015,  22:00:00,      567.71,      610.94,        3.00,        3.00
10/01/2015,  23:00:00,      467.20,      503.41,        3.00,        3.00
10/02/2015,  00:00:00,      448.94,      474.77,        3.00,        3.00
10/02/2015,  01:00:00,      438.18,      477.41,        3.00,        3.00
10/02/2015,  02:00:00,      439.46,      462.78,        3.00,        3.00
10/02/2015,  03:00:00,      441.72,      480.35,        3.00,        3.00
10/02/2015,  04:00:00,      447.57,      483.23,        3.00,        3.00
10/02/2015,  05:00:00,      477.63,      513.28,        3.00,        3.00
10/02/2015,  06:00:00,      576.14,      653.62,        3.00,        3.00
10/02/2015,  07:00:00,      645.64,      690.12,        3.00,        3.00
10/02/2015,  08:00:00,      697.04,      740.32,        3.00,        3.00
10/02/2015,  09:00:00,      724.02,      755.49,        3.00,        3.00
10/02/2015,  10:00:00,      713.50,      770.69,        3.00,        3.00
10/02/2015,  11:00:00,      729.59,      777.83,        3.00,        3.00
10/02/2015,  12:00:00,      723.38,      769.74,        3.00,        3.00
10/02/2015,  13:00:00,      725.14,      793.53,        3.00,        3.00
10/02/2015,  14:00:00,      711.46,      763.35,        3.00,        3.00
10/02/2015,  15:00:00,      696.66,      726.61,        3.00,        3.00
10/02/2015,  16:00:00,      668.82,      734.39,        3.00,        3.00
10/02/2015,  17:00:00,      654.82,      690.01,        3.00,        3.00
10/02/2015,  18:00:00,      612.06,      645.78,        3.00,        3.00
10/02/2015,  19:00:00,      590.26,      629.44,        3.00,        3.00
10/02/2015,  20:00:00,      585.37,      613.57,        3.00,        3.00
10/02/2015,  21:00:00,      582.03,      624.20,        3.00,        3.00
10/02/2015,  22:00:00,      555.51,      596.20,        3.00,        3.00
10/02/2015,  23:00:00,      469.31,      499.86,        3.00,        3.00
10/03/2015,  00:00:00,      473.60,      515.30,        3.00,        3.00
10/03/2015,  01:00:00,      458.96,      497.80,        3.00,        3.00
10/03/2015,  02:00:00,      438.46,      483.58,        3.00,        3.00
10/03/2015,  03:00:00,      447.71,      484.10,        3.00,        3.00
