One Penn Plaza
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
10/01/2010,  00:00:00,     2639.43,     2742.59,        3.00,        3.00
10/01/2010,  01:00:00,     2545.33,     2562.50,        3.00,        3.00
10/01/2010,  02:00:00,     2500.57,     2520.21,        3.00,        3.00
10/01/2010,  03:00:00,     2490.82,     2503.67,        3.00,        3.00
10/01/2010,  04:00:00,     2517.51,     2570.87,        3.00,        3.00
10/01/2010,  05:00:00,     2706.52,     3044.65,        3.00,        3.00
10/01/2010,  06:00:00,     4861.75,     5174.14,        3.00,        3.00
10/01/2010,  07:00:00,     5526.36,    10418.77,        3.00,        3.00
10/01/2010,  08:00:00,     5887.53,     6028.26,        3.00,        3.00
10/01/2010,  09:00:00,     6258.64,     6396.99,        3.00,        3.00
10/01/2010,  10:00:00,     6428.52,     6468.65,        3.00,        3.00
10/01/2010,  11:00:00,     6392.36,     6406.87,        3.00,        3.00
10/01/2010,  12:00:00,     6452.52,     6478.79,        3.00,        3.00
10/01/2010,  13:00:00,     6428.41,     6486.48,        3.00,        3.00
10/01/2010,  14:00:00,     6352.13,     6401.92,        3.00,        3.00
10/01/2010,  15:00:00,     6322.45,     6385.11,        3.00,        3.00
10/01/2010,  16:00:00,     6212.79,     6268.10,        3.00,        3.00
10/01/2010,  17:00:00,     6047.16,     6124.93,        3.00,        3.00
10/01/2010,  18:00:00,     3784.38,     4832.58,        3.00,        3.00
10/01/2010,  19:00:00,     3282.77,     3353.97,        3.00,        3.00
10/01/2010,  20:00:00,     3147.44,     3176.39,        3.00,        3.00
10/01/2010,  21:00:00,     3050.17,     3067.63,        3.00,        3.00
10/01/2010,  22:00:00,     2919.27,     2966.34,        3.00,        3.00
10/01/2010,  23:00:00,     2773.21,     2806.36,        3.00,        3.00
10/02/2010,  00:00:00,     2536.27,     2643.17,        3.00,        3.00
10/02/2010,  01:00:00,     2428.69,     2447.68,        3.00,        3.00
10/02/2010,  02:00:00,     2353.51,     2367.45,        3.00,        3.00
10/02/2010,  03:00:00,     2340.03,     2362.64,        3.00,        3.00
10/02/2010,  04:00:00,     2354.04,     2381.80,        3.00,        3.00
10/02/2010,  05:00:00,     2368.83,     2385.37,        3.00,        3.00
10/02/2010,  06:00:00,     2412.54,     2443.00,        3.00,        3.00
10/02/2010,  07:00:00,     3281.69,     4054.45,        3.00,        3.00
10/02/2010,  08:00:00,     4094.95,     4121.34,        3.00,        3.00
10/02/2010,  09:00:00,     4138.94,     4160.74,        3.00,        3.00
10/02/2010,  10:00:00,     4183.56,     4247.97,        3.00,        3.00
10/02/2010,  11:00:00,     4246.57,     4261.27,        3.00,        3.00
10/02/2010,  12:00:00,     4263.28,     4284.72,        3.00,        3.00
10/02/2010,  13:00:00,     2931.38,     3677.85,        3.00,        3.00
