Parc East
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
11/04/2016,  00:00:00,       83.30,      115.30,        3.00,        3.00
11/04/2016,  01:00:00,       81.21,      100.31,        3.00,        3.00
11/04/2016,  02:00:00,       80.41,      102.04,        3.00,        3.00
11/04/2016,  03:00:00,       82.40,       98.47,        3.00,        3.00
11/04/2016,  04:00:00,       85.01,      106.31,        3.00,        3.00
11/04/2016,  05:00:00,       91.10,      117.12,        3.00,        3.00
11/04/2016,  06:00:00,      107.04,      133.89,        3.00,        3.00
11/04/2016,  07:00:00,      111.95,      124.29,        3.00,        3.00
11/04/2016,  08:00:00,      103.60,      118.86,        3.00,        3.00
11/04/2016,  09:00:00,       91.43,      113.60,        3.00,        3.00
11/04/2016,  10:00:00,      103.20,      117.10,        3.00,        3.00
11/04/2016,  11:00:00,      104.05,      119.46,        3.00,        3.00
11/04/2016,  12:00:00,       94.89,      120.40,        3.00,        3.00
11/04/2016,  13:00:00,       95.28,      116.21,        3.00,        3.00
11/04/2016,  14:00:00,       90.48,      113.80,        3.00,        3.00
11/04/2016,  15:00:00,       92.30,      117.97,        3.00,        3.00
11/04/2016,  16:00:00,      104.92,      130.56,        3.00,        3.00
11/04/2016,  17:00:00,      107.75,      132.99,        3.00,        3.00
11/04/2016,  18:00:00,      106.26,      127.73,        3.00,        3.00
11/04/2016,  19:00:00,      106.95,      128.73,        3.00,        3.00
11/04/2016,  20:00:00,      103.35,      113.77,        3.00,        3.00
11/04/2016,  21:00:00,      106.72,      125.20,        3.00,        3.00
11/04/2016,  22:00:00,      105.36,      127.59,        3.00,        3.00
11/04/2016,  23:00:00,      100.50,      123.44,        3.00,        3.00
11/05/2016,  00:00:00,       98.16,      125.20,        3.00,        3.00
11/05/2016,  01:00:00,      103.54,      125.14,        3.00,        3.00
11/05/2016,  02:00:00,       96.26,      124.01,        3.00,        3.00
11/05/2016,  03:00:00,       93.80,      123.33,        3.00,        3.00
11/05/2016,  04:00:00,       94.54,      117.97,        3.00,        3.00
11/05/2016,  05:00:00,       93.08,      125.74,        3.00,        3.00
11/05/2016,  06:00:00,       97.58,      119.77,        3.00,        3.00
11/05/2016,  07:00:00,      104.86,      125.13,        3.00,        3.00
11/05/2016,  08:00:00,      109.70,      130.61,        3.00,        3.00
11/05/2016,  09:00:00,      107.77,      130.56,        3.00,        3.00
11/05/2016,  10:00:00,      107.34,      129.43,        3.00,        3.00
11/05/2016,  11:00:00,      115.24,      136.56,        3.00,        3.00
11/05/2016,  12:00:00,      100.52,      117.99,        3.00,        3.00
11/05/2016,  13:00:00,      108.60,      129.37,        3.00,        3.00
11/05/2016,  14:00:00,       91.97,      111.96,        3.00,        3.00
11/05/2016,  15:00:00,       96.66,      138.35,        3.00,        3.00
