Price Chopper - UTC Power
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
12/01/2009,  12:00:00,        0.00,        0.00,        3.00,        3.00
12/01/2009,  13:00:00,        0.00,        0.00,        3.00,        3.00
12/01/2009,  14:00:00,    28123.34,   426440.03,        1.00,        1.00
12/01/2009,  15:00:00,    29492.89,   460193.59,        1.00,        1.00
12/01/2009,  16:00:00,    29544.54,   458412.66,        1.00,        1.00
12/01/2009,  17:00:00,    28956.65,   458119.00,        1.00,        1.00
12/01/2009,  18:00:00,    28598.09,   445595.69,        1.00,        1.00
12/01/2009,  19:00:00,    29431.30,   460689.09,        1.00,        1.00
12/01/2009,  20:00:00,    27836.90,   424709.00,        1.00,        1.00
12/01/2009,  21:00:00,    25087.44,   384623.41,        1.00,        1.00
12/01/2009,  22:00:00,    25156.14,   391143.72,        1.00,        1.00
12/01/2009,  23:00:00,    23624.28,   372503.78,        1.00,        1.00
12/02/2009,  00:00:00,    23266.37,   373582.22,        1.00,        1.00
12/02/2009,  01:00:00,    24301.68,   380452.88,        1.00,        1.00
12/02/2009,  02:00:00,    25377.58,   398857.16,        1.00,        1.00
12/02/2009,  03:00:00,    26189.76,   401739.84,        1.00,        1.00
12/02/2009,  04:00:00,    24968.75,   387768.12,        1.00,        1.00
12/02/2009,  05:00:00,    24111.92,   407761.25,        1.00,        1.00
12/02/2009,  06:00:00,    25538.58,   396172.75,        1.00,        1.00
12/02/2009,  07:00:00,    27305.52,   427537.41,        1.00,        1.00
12/02/2009,  08:00:00,    28614.75,   464522.88,        1.00,        1.00
12/02/2009,  09:00:00,    28186.82,   448525.88,        1.00,        1.00
12/02/2009,  10:00:00,    28654.06,   434585.56,        1.00,        1.00
12/02/2009,  11:00:00,    28475.74,   444952.03,        1.00,        1.00
12/02/2009,  12:00:00,    28752.57,   444928.53,        1.00,        1.00
12/02/2009,  13:00:00,    29595.81,   454576.97,        1.00,        1.00
12/02/2009,  14:00:00,        0.00,        0.00,        3.00,        3.00
12/02/2009,  15:00:00,    29205.14,   467568.16,        1.00,        1.00
12/02/2009,  16:00:00,    29488.88,   451400.84,        1.00,        1.00
12/02/2009,  17:00:00,    29366.26,   452855.56,        1.00,        1.00
12/02/2009,  18:00:00,    30072.02,   491591.94,        1.00,        1.00
12/02/2009,  19:00:00,    30255.15,   479364.50,        1.00,        1.00
12/02/2009,  20:00:00,    29187.57,   447261.81,        1.00,        1.00
12/02/2009,  21:00:00,    26471.57,   404486.81,        1.00,        1.00
12/02/2009,  22:00:00,    25436.33,   400146.75,        1.00,        1.00
12/02/2009,  23:00:00,    24188.28,   369141.22,        1.00,        1.00
12/03/2009,  00:00:00,    23362.98,   358149.72,        1.00,        1.00
12/03/2009,  01:00:00,    25123.90,   406664.19,        1.00,        1.00
