Remeeder House - Alabama
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
05/03/2017,  18:00:00,       24.78,       33.13,        0.00,        0.00
05/03/2017,  19:00:00,       33.26,       33.24,        0.00,        0.00
05/03/2017,  20:00:00,       33.29,       33.37,        0.00,        0.00
05/03/2017,  21:00:00,       33.32,       33.42,        0.00,        0.00
05/03/2017,  22:00:00,       33.45,       33.50,        0.00,        0.00
05/03/2017,  23:00:00,       33.57,       33.63,        0.00,        0.00
05/04/2017,  00:00:00,       33.66,       33.72,        0.00,        0.00
05/04/2017,  01:00:00,       33.51,       33.65,        0.00,        0.00
05/04/2017,  02:00:00,       30.32,       31.67,        0.00,        0.00
05/04/2017,  03:00:00,       29.23,       29.72,        0.00,        0.00
05/04/2017,  04:00:00,       28.13,       28.54,        0.00,        0.00
05/04/2017,  05:00:00,       29.82,       30.34,        0.00,        0.00
05/04/2017,  06:00:00,       30.13,       31.27,        0.00,        0.00
05/04/2017,  07:00:00,       29.85,       30.38,        0.00,        0.00
05/04/2017,  08:00:00,       30.82,       31.25,        0.00,        0.00
05/04/2017,  09:00:00,       31.60,       32.25,        0.00,        0.00
05/04/2017,  10:00:00,       32.60,       33.31,        0.00,        0.00
05/04/2017,  11:00:00,       31.88,       33.14,        0.00,        0.00
05/04/2017,  12:00:00,       30.29,       30.81,        0.00,        0.00
05/04/2017,  13:00:00,       31.91,       33.28,        0.00,        0.00
05/04/2017,  14:00:00,       31.13,       32.88,        0.00,        0.00
05/04/2017,  15:00:00,       33.63,       33.66,        0.00,        0.00
05/04/2017,  16:00:00,       23.16,       33.72,        0.00,        0.00
05/04/2017,  17:00:00,       33.66,       33.81,        0.00,        0.00
05/04/2017,  18:00:00,       33.88,       33.92,        0.00,        0.00
05/04/2017,  19:00:00,       33.88,       33.93,        0.00,        0.00
05/04/2017,  20:00:00,       33.88,       33.94,        0.00,        0.00
05/04/2017,  21:00:00,       33.85,       33.92,        0.00,        0.00
05/04/2017,  22:00:00,       33.79,       33.75,        0.00,        0.00
05/04/2017,  23:00:00,       33.82,       33.93,        0.00,        0.00
05/05/2017,  00:00:00,       33.88,       33.93,        0.00,        0.00
05/05/2017,  01:00:00,       32.29,       33.54,        0.00,        0.00
05/05/2017,  02:00:00,       31.13,       31.42,        0.00,        0.00
05/05/2017,  03:00:00,       30.35,       30.16,        0.00,        0.00
05/05/2017,  04:00:00,       29.26,       29.72,        0.00,        0.00
05/05/2017,  05:00:00,       29.98,       30.58,        0.00,        0.00
05/05/2017,  06:00:00,       30.29,       31.39,        0.00,        0.00
05/05/2017,  07:00:00,       30.01,       30.61,        0.00,        0.00
05/05/2017,  08:00:00,       31.63,       32.69,        0.00,        0.00
05/05/2017,  09:00:00,       31.48,       32.33,        0.00,        0.00
