Remeeder House - Blake
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
05/11/2017,  12:00:00,       32.72,       32.97,        0.00,        0.00
05/11/2017,  13:00:00,       33.09,       33.18,        0.00,        0.00
05/11/2017,  14:00:00,       33.10,       33.18,        0.00,        0.00
05/11/2017,  15:00:00,       32.90,       33.08,        0.00,        0.00
05/11/2017,  16:00:00,       33.11,       33.18,        0.00,        0.00
05/11/2017,  17:00:00,       32.94,       33.18,        0.00,        0.00
05/11/2017,  18:00:00,       33.29,       33.36,        0.00,        0.00
05/11/2017,  19:00:00,       33.42,       33.49,        0.00,        0.00
05/11/2017,  20:00:00,       33.48,       33.53,        0.00,        0.00
05/11/2017,  21:00:00,       33.36,       33.59,        0.00,        0.00
05/11/2017,  22:00:00,       33.37,       33.40,        0.00,        0.00
05/11/2017,  23:00:00,       33.35,       33.42,        0.00,        0.00
05/12/2017,  00:00:00,       26.34,       33.46,        0.00,        0.00
05/12/2017,  01:00:00,       24.48,       33.61,        0.00,        0.00
05/12/2017,  02:00:00,       17.95,       22.51,        0.00,        0.00
05/12/2017,  03:00:00,       11.55,       18.91,        0.00,        0.00
05/12/2017,  04:00:00,       13.64,       18.55,        0.00,        0.00
05/12/2017,  05:00:00,       17.29,       33.70,        0.00,        0.00
05/12/2017,  06:00:00,       26.99,       33.52,        0.00,        0.00
05/12/2017,  07:00:00,       33.54,       33.56,        0.00,        0.00
05/12/2017,  08:00:00,       28.18,       33.58,        0.00,        0.00
05/12/2017,  09:00:00,       24.67,       33.48,        0.00,        0.00
05/12/2017,  10:00:00,       33.50,       33.51,        0.00,        0.00
05/12/2017,  11:00:00,       21.77,       32.64,        0.00,        0.00
05/12/2017,  12:00:00,       33.36,       33.41,        0.00,        0.00
05/12/2017,  13:00:00,       32.69,       33.02,        0.00,        0.00
05/12/2017,  14:00:00,       33.24,       33.30,        0.00,        0.00
05/12/2017,  15:00:00,       33.37,       33.40,        0.00,        0.00
05/12/2017,  16:00:00,       33.06,       33.39,        0.00,        0.00
05/12/2017,  17:00:00,       33.33,       33.39,        0.00,        0.00
05/12/2017,  18:00:00,       33.29,       33.39,        0.00,        0.00
05/12/2017,  19:00:00,       32.70,       32.88,        0.00,        0.00
05/12/2017,  20:00:00,       33.29,       33.48,        0.00,        0.00
05/12/2017,  21:00:00,       33.21,       33.48,        0.00,        0.00
05/12/2017,  22:00:00,       32.58,       32.84,        0.00,        0.00
05/12/2017,  23:00:00,       32.69,       32.94,        0.00,        0.00
05/13/2017,  00:00:00,       32.80,       33.11,        0.00,        0.00
05/13/2017,  01:00:00,       32.82,       33.17,        0.00,        0.00
05/13/2017,  02:00:00,       32.59,       32.65,        0.00,        0.00
05/13/2017,  03:00:00,       32.47,       32.56,        0.00,        0.00
