Remeeder House - Sutter
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
05/11/2017,  12:00:00,        0.00,        0.00,        0.00,        0.00
05/11/2017,  13:00:00,        0.00,        0.00,        0.00,        0.00
05/11/2017,  14:00:00,        0.00,       11.26,        0.00,        0.00
05/11/2017,  15:00:00,       22.13,       29.94,        0.00,        0.00
05/11/2017,  16:00:00,       27.85,       29.32,        0.00,        0.00
05/11/2017,  17:00:00,       26.68,       28.46,        0.00,        0.00
05/11/2017,  18:00:00,       26.04,       26.49,        0.00,        0.00
05/11/2017,  19:00:00,       30.01,       32.03,        0.00,        0.00
05/11/2017,  20:00:00,       33.75,       33.88,        0.00,        0.00
05/11/2017,  21:00:00,       33.74,       33.87,        0.00,        0.00
05/11/2017,  22:00:00,       33.69,       33.87,        0.00,        0.00
05/11/2017,  23:00:00,       31.24,       32.81,        0.00,        0.00
05/12/2017,  00:00:00,       22.24,       27.40,        0.00,        0.00
05/12/2017,  01:00:00,        9.48,       15.02,        0.00,        0.00
05/12/2017,  02:00:00,       20.25,       20.44,        0.00,        0.00
05/12/2017,  03:00:00,       12.93,       22.40,        0.00,        0.00
05/12/2017,  04:00:00,       16.30,       23.71,        0.00,        0.00
05/12/2017,  05:00:00,       13.53,       20.69,        0.00,        0.00
05/12/2017,  06:00:00,       18.72,       27.70,        0.00,        0.00
05/12/2017,  07:00:00,       29.84,       30.14,        0.00,        0.00
05/12/2017,  08:00:00,       28.69,       30.52,        0.00,        0.00
05/12/2017,  09:00:00,       24.98,       27.67,        0.00,        0.00
05/12/2017,  10:00:00,       18.36,       23.60,        0.00,        0.00
05/12/2017,  11:00:00,       16.75,       21.53,        0.00,        0.00
05/12/2017,  12:00:00,       21.27,       22.85,        0.00,        0.00
05/12/2017,  13:00:00,       23.75,       25.43,        0.00,        0.00
05/12/2017,  14:00:00,       26.22,       28.53,        0.00,        0.00
05/12/2017,  15:00:00,       30.57,       31.42,        0.00,        0.00
05/12/2017,  16:00:00,       31.01,       31.38,        0.00,        0.00
05/12/2017,  17:00:00,       31.34,       32.80,        0.00,        0.00
05/12/2017,  18:00:00,       32.00,       33.37,        0.00,        0.00
05/12/2017,  19:00:00,       33.81,       33.86,        0.00,        0.00
05/12/2017,  20:00:00,       33.83,       33.86,        0.00,        0.00
05/12/2017,  21:00:00,       32.71,       33.69,        0.00,        0.00
05/12/2017,  22:00:00,       33.83,       33.85,        0.00,        0.00
05/12/2017,  23:00:00,       32.15,       33.86,        0.00,        0.00
05/13/2017,  00:00:00,       30.33,       30.38,        0.00,        0.00
05/13/2017,  01:00:00,       29.81,       30.57,        0.00,        0.00
05/13/2017,  02:00:00,       28.73,       30.30,        0.00,        0.00
05/13/2017,  03:00:00,       23.10,       26.35,        0.00,        0.00
