Riverpoint Towers
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
03/01/2008,  00:00:00,       80.40,      127.20,        0.00,        0.00
03/01/2008,  01:00:00,       59.50,       67.20,        0.00,        0.00
03/01/2008,  02:00:00,       45.15,       52.80,        0.00,        0.00
03/01/2008,  03:00:00,       33.85,       37.40,        0.00,        0.00
03/01/2008,  04:00:00,       45.60,       62.80,        0.00,        0.00
03/01/2008,  05:00:00,       25.25,       26.00,        0.00,        0.00
03/01/2008,  06:00:00,       45.85,       59.60,        0.00,        0.00
03/01/2008,  07:00:00,       65.60,       78.80,        0.00,        0.00
03/01/2008,  08:00:00,       88.15,       92.20,        0.00,        0.00
03/01/2008,  09:00:00,      111.20,      130.00,        0.00,        0.00
03/01/2008,  10:00:00,       96.10,       97.40,        0.00,        0.00
03/01/2008,  11:00:00,       93.75,      100.40,        0.00,        0.00
03/01/2008,  12:00:00,       99.35,      100.40,        0.00,        0.00
03/01/2008,  13:00:00,       93.95,       97.40,        0.00,        0.00
03/01/2008,  14:00:00,       87.55,       90.20,        0.00,        0.00
03/01/2008,  15:00:00,       93.75,       97.00,        0.00,        0.00
03/01/2008,  16:00:00,       89.40,       93.20,        0.00,        0.00
03/01/2008,  17:00:00,      112.80,      141.20,        0.00,        0.00
03/01/2008,  18:00:00,      169.95,      191.00,        0.00,        0.00
03/01/2008,  19:00:00,      204.05,      208.40,        0.00,        0.00
03/01/2008,  20:00:00,      218.10,      233.80,        0.00,        0.00
03/01/2008,  21:00:00,      186.60,      196.40,        0.00,        0.00
03/01/2008,  22:00:00,      163.90,      175.60,        0.00,        0.00
03/01/2008,  23:00:00,      149.05,      165.60,        0.00,        0.00
03/02/2008,  00:00:00,      111.95,      125.20,        0.00,        0.00
03/02/2008,  01:00:00,       70.50,       86.00,        0.00,        0.00
03/02/2008,  02:00:00,       50.65,       76.80,        0.00,        0.00
03/02/2008,  03:00:00,       38.85,       64.40,        0.00,        0.00
03/02/2008,  04:00:00,       31.45,       64.40,        0.00,        0.00
03/02/2008,  05:00:00,       20.15,       21.20,        0.00,        0.00
03/02/2008,  06:00:00,       38.40,       76.80,        0.00,        0.00
03/02/2008,  07:00:00,       62.00,       76.80,        0.00,        0.00
03/02/2008,  08:00:00,       80.70,      105.60,        0.00,        0.00
03/02/2008,  09:00:00,      108.35,      115.20,        0.00,        0.00
03/02/2008,  10:00:00,       94.35,      103.20,        0.00,        0.00
03/02/2008,  11:00:00,       64.55,      103.20,        0.00,        0.00
03/02/2008,  12:00:00,       97.65,      120.40,        0.00,        0.00
03/02/2008,  13:00:00,       60.20,      100.40,        0.00,        0.00
03/02/2008,  14:00:00,       66.90,       77.20,        0.00,        0.00
03/02/2008,  15:00:00,       49.65,       77.20,        0.00,        0.00
